prediction_date,n_days_backtest,tuple_area,mape_cases,mape_deaths,mae_cases,mae_deaths,mse_cases,mse_deaths,param_perturbed
2020-07-02,30,"('Africa', 'South Africa', 'None')",69.357,53.117,243038.355,2919.258,69614030128.548,10885446.935,p_d
2020-07-02,30,"('Asia', 'Japan', 'None')",27.607,2.856,7787.935,28.226,89831605.097,819.452,p_d
2020-07-02,30,"('Asia', 'Russia', 'None')",26.864,28.863,205769.742,3534.871,45113060037.677,13711513.323,p_d
2020-07-02,30,"('Europe', 'Italy', 'None')",2.55,1.655,6240.29,579.806,42577456.935,343454.0,p_d
2020-07-02,30,"('Europe', 'Spain', 'None')",7.784,1.785,21022.645,507.355,589438949.613,257729.742,p_d
2020-07-02,30,"('North America', 'US', 'Alabama')",57.236,27.54,37933.387,366.871,1670462289.194,168219.323,p_d
2020-07-02,30,"('North America', 'US', 'Alaska')",56.288,30.063,1135.032,5.677,1680554.387,36.903,p_d
2020-07-02,30,"('North America', 'US', 'Arizona')",61.31,31.912,84997.968,928.355,7889760111.065,1188234.161,p_d
2020-07-02,30,"('North America', 'US', 'Arkansas')",53.513,24.006,17750.065,89.742,355155188.774,9997.484,p_d
2020-07-02,30,"('North America', 'US', 'California')",53.767,16.565,208780.871,1333.806,49940823807.774,2379267.161,p_d
2020-07-02,30,"('North America', 'US', 'Colorado')",24.734,2.206,10141.097,39.516,121300662.516,2720.226,p_d
2020-07-02,30,"('North America', 'US', 'Connecticut')",4.504,1.407,2177.065,61.903,5552518.548,4581.387,p_d
2020-07-02,30,"('North America', 'US', 'Delaware')",17.818,5.575,2427.032,31.0,6678633.355,1511.71,p_d
2020-07-02,30,"('North America', 'US', 'District of Columbia')",11.998,1.087,1367.742,6.29,2165279.935,55.71,p_d
2020-07-02,30,"('North America', 'US', 'Florida')",66.078,30.38,224582.0,1625.129,59424834884.387,3604411.903,p_d
2020-07-02,30,"('North America', 'US', 'Georgia')",51.376,12.692,73433.419,426.419,6352797072.258,252453.194,p_d
2020-07-02,30,"('North America', 'US', 'Hawaii')",43.775,23.311,649.935,5.581,531755.29,40.226,p_d
2020-07-02,30,"('North America', 'US', 'Idaho')",67.013,23.686,9680.677,34.226,113866661.129,2080.097,p_d
2020-07-02,30,"('North America', 'US', 'Illinois')",13.094,5.952,21730.806,445.774,580554800.355,222639.903,p_d
2020-07-02,30,"('North America', 'US', 'Indiana')",21.809,7.822,12651.677,222.258,197024171.032,55676.839,p_d
2020-07-02,30,"('North America', 'US', 'Iowa')",38.308,13.264,14770.613,106.387,239133441.903,13102.194,p_d
2020-07-02,30,"('North America', 'US', 'Kansas')",46.009,20.025,10195.129,63.71,118746714.935,4598.161,p_d
2020-07-02,30,"('North America', 'US', 'Kentucky')",40.813,18.817,9652.29,126.129,113452888.548,18072.323,p_d
2020-07-02,30,"('North America', 'US', 'Louisiana')",42.699,12.969,39895.613,471.29,1899775439.419,267543.355,p_d
2020-07-02,30,"('North America', 'US', 'Maine')",17.73,8.29,650.419,9.71,447597.903,114.29,p_d
2020-07-02,30,"('North America', 'US', 'Maryland')",13.116,5.951,10546.613,201.484,146570611.839,45281.613,p_d
2020-07-02,30,"('North America', 'US', 'Massachusetts')",3.934,1.9,4289.935,160.774,22533159.548,33067.29,p_d
2020-07-02,30,"('North America', 'US', 'Michigan')",16.437,3.431,13613.968,218.323,220243866.484,52425.677,p_d
2020-07-02,30,"('North America', 'US', 'Minnesota')",26.326,3.881,12397.258,61.548,181347170.742,4453.097,p_d
2020-07-02,30,"('North America', 'US', 'Mississippi')",44.22,19.132,19786.903,271.387,477580591.032,97641.065,p_d
2020-07-02,30,"('North America', 'US', 'Missouri')",41.782,13.005,15284.0,151.548,308331586.645,27371.677,p_d
2020-07-02,30,"('North America', 'US', 'Montana')",65.429,40.368,1680.323,17.0,3677592.194,422.29,p_d
2020-07-02,30,"('North America', 'US', 'Nebraska')",16.219,7.529,3797.903,23.258,18198538.161,684.935,p_d
2020-07-02,30,"('North America', 'US', 'Nevada')",57.238,24.684,20260.871,169.742,490126509.065,37192.0,p_d
2020-07-02,30,"('North America', 'US', 'New Hampshire')",9.21,0.812,576.742,3.226,375187.903,14.645,p_d
2020-07-02,30,"('North America', 'US', 'New Jersey')",4.993,4.688,8860.645,733.323,85402434.71,576698.742,p_d
2020-07-02,30,"('North America', 'US', 'New Mexico')",34.269,10.126,5911.355,60.065,41029937.548,4917.742,p_d
