prediction_date,n_days_backtest,tuple_area,mape_cases,mape_deaths,mae_cases,mae_deaths,mse_cases,mse_deaths,param_perturbed
2020-07-02,30,"('North America', 'US', 'Indiana')",25.854,8.217,14891.645,233.484,260675491.323,61466.452,r_i
2020-07-02,30,"('North America', 'US', 'Iowa')",31.208,5.782,12128.774,47.677,167407235.226,3864.581,r_i
2020-07-02,30,"('North America', 'US', 'Kansas')",39.933,16.373,8936.452,52.387,94430062.258,3274.968,r_i
2020-07-02,30,"('North America', 'US', 'Kentucky')",41.282,16.284,9755.968,109.581,115593610.742,14129.258,r_i
2020-07-02,30,"('North America', 'US', 'Louisiana')",43.761,12.842,40808.839,466.871,1975043155.548,263919.323,r_i
2020-07-02,30,"('North America', 'US', 'Maine')",25.056,7.773,916.71,9.129,869137.871,105.968,r_i
2020-07-02,30,"('North America', 'US', 'Maryland')",20.604,3.058,16319.742,104.065,305195540.387,13949.355,r_i
2020-07-02,30,"('North America', 'US', 'Massachusetts')",5.791,2.233,6298.355,188.742,44131155.839,43229.581,r_i
2020-07-02,30,"('North America', 'US', 'Michigan')",16.522,4.493,13683.806,285.677,222482178.194,86894.065,r_i
2020-07-02,30,"('North America', 'US', 'Minnesota')",30.138,2.44,14118.065,38.968,228461525.484,2193.935,r_i
2020-07-02,30,"('North America', 'US', 'Mississippi')",47.423,18.523,21095.903,263.129,532743439.065,92687.0,r_i
2020-07-02,30,"('North America', 'US', 'Missouri')",46.561,11.065,16813.0,129.419,358229817.774,20909.032,r_i
2020-07-02,30,"('North America', 'US', 'Montana')",68.645,40.368,1745.29,17.0,3901963.677,422.29,r_i
2020-07-02,30,"('North America', 'US', 'Nebraska')",18.122,6.207,4228.581,19.194,21892822.452,478.226,r_i
2020-07-02,30,"('North America', 'US', 'Nevada')",63.332,21.356,22177.677,148.29,572555486.774,30043.323,r_i
2020-07-02,30,"('North America', 'US', 'New Hampshire')",12.442,3.058,777.097,12.194,653737.677,160.387,r_i
2020-07-02,30,"('North America', 'US', 'New Jersey')",5.72,4.352,10145.871,680.935,110086954.516,501205.839,r_i
2020-07-02,30,"('North America', 'US', 'New Mexico')",39.22,9.216,6718.194,54.742,51445930.903,4152.613,r_i
2020-07-02,30,"('North America', 'US', 'New York')",5.984,2.941,24346.129,955.516,631192416.839,938039.065,r_i
2020-07-02,30,"('North America', 'US', 'North Carolina')",47.859,17.723,48631.29,304.871,2656064325.161,119067.323,r_i
2020-07-02,30,"('North America', 'US', 'North Dakota')",28.842,10.813,1531.903,10.387,3144853.129,160.903,r_i
2020-07-02,30,"('North America', 'US', 'Ohio')",37.966,9.821,28625.935,317.806,952479634.839,127099.548,r_i
2020-07-02,30,"('North America', 'US', 'Oklahoma')",60.835,17.688,15686.516,83.774,293069810.774,9153.71,r_i
2020-07-02,30,"('North America', 'US', 'Oregon')",56.792,23.978,8137.548,65.032,74417833.742,5382.129,r_i
2020-07-02,30,"('North America', 'US', 'Pennsylvania')",20.005,3.627,21306.645,255.452,510473876.71,77278.097,r_i
2020-07-02,30,"('North America', 'US', 'Rhode Island')",8.138,2.05,1469.742,20.387,2556021.484,448.968,r_i
