prediction_date,n_days_backtest,tuple_area,mape_cases,mape_deaths,mae_cases,mae_deaths,mse_cases,mse_deaths,param_perturbed
2020-07-02,30,"('Africa', 'South Africa', 'None')",69.423,52.929,243221.29,2909.677,69694016361.161,10821156.645,p_h
2020-07-02,30,"('Asia', 'Japan', 'None')",26.298,2.693,7466.871,26.613,84892494.355,728.548,p_h
2020-07-02,30,"('Asia', 'Russia', 'None')",32.689,34.25,249654.419,4180.452,65258819973.065,18867653.032,p_h
2020-07-02,30,"('Europe', 'Italy', 'None')",2.888,2.094,7064.613,733.484,53619570.161,546047.355,p_h
2020-07-02,30,"('Europe', 'Spain', 'None')",7.496,1.934,20266.194,549.677,558147554.129,302472.839,p_h
2020-07-02,30,"('North America', 'US', 'Alabama')",52.586,26.729,35147.581,356.226,1466176310.226,158993.194,p_h
2020-07-02,30,"('North America', 'US', 'Alaska')",56.09,29.873,1131.677,5.645,1672741.29,36.613,p_h
2020-07-02,30,"('North America', 'US', 'Arizona')",62.247,32.218,86243.129,935.484,8109883283.968,1199238.129,p_h
2020-07-02,30,"('North America', 'US', 'Arkansas')",55.029,25.845,18220.548,96.29,372311398.742,11306.548,p_h
2020-07-02,30,"('North America', 'US', 'California')",54.613,18.876,211833.194,1509.129,51254304439.452,2902870.29,p_h
2020-07-02,30,"('North America', 'US', 'Colorado')",21.506,3.408,8873.452,60.71,96826755.516,5173.613,p_h
2020-07-02,30,"('North America', 'US', 'Connecticut')",4.525,1.057,2187.032,46.516,5587894.452,2838.323,p_h
2020-07-02,30,"('North America', 'US', 'Delaware')",19.429,5.855,2641.71,32.484,7784644.613,1594.548,p_h
2020-07-02,30,"('North America', 'US', 'District of Columbia')",11.043,4.281,1260.839,24.645,1881991.484,660.323,p_h
2020-07-02,30,"('North America', 'US', 'Florida')",66.481,31.452,225771.323,1676.323,59962405005.71,3777822.323,p_h
2020-07-02,30,"('North America', 'US', 'Georgia')",47.405,14.617,68244.355,488.581,5599830712.097,315188.0,p_h
2020-07-02,30,"('North America', 'US', 'Hawaii')",43.926,23.311,651.935,5.581,534359.032,40.226,p_h
2020-07-02,30,"('North America', 'US', 'Idaho')",69.678,25.382,10004.581,36.226,120286840.774,2221.0,p_h
2020-07-02,30,"('North America', 'US', 'Illinois')",11.377,6.751,18957.516,505.258,463297130.742,281433.71,p_h
2020-07-02,30,"('North America', 'US', 'Indiana')",22.058,8.049,12793.548,228.677,201163971.677,58800.742,p_h
2020-07-02,30,"('North America', 'US', 'Iowa')",28.77,5.694,11208.871,46.968,144834950.806,3773.226,p_h
2020-07-02,30,"('North America', 'US', 'Kansas')",43.408,16.015,9656.613,51.258,107965345.065,3146.677,p_h
2020-07-02,30,"('North America', 'US', 'Kentucky')",36.054,15.85,8619.097,106.742,94099113.742,13501.387,p_h
2020-07-02,30,"('North America', 'US', 'Louisiana')",41.706,12.378,39044.677,450.355,1831715644.484,248002.29,p_h
2020-07-02,30,"('North America', 'US', 'Maine')",16.548,9.381,607.548,10.968,393696.903,141.548,p_h
2020-07-02,30,"('North America', 'US', 'Maryland')",14.774,4.835,11822.323,163.935,175448179.032,30995.677,p_h
2020-07-02,30,"('North America', 'US', 'Massachusetts')",4.033,1.559,4397.097,132.0,23492421.742,23451.871,p_h
2020-07-02,30,"('North America', 'US', 'Michigan')",15.568,3.758,12915.484,239.0,201501616.452,61944.935,p_h
2020-07-02,30,"('North America', 'US', 'Minnesota')",24.639,2.519,11636.194,40.161,162475621.548,2215.194,p_h
2020-07-02,30,"('North America', 'US', 'Mississippi')",45.58,17.08,20338.032,243.129,500021789.323,80288.29,p_h
2020-07-02,30,"('North America', 'US', 'Missouri')",46.205,12.406,16697.806,144.71,354217871.613,25242.645,p_h
2020-07-02,30,"('North America', 'US', 'Montana')",67.748,40.368,1727.29,17.0,3839457.226,422.29,p_h
2020-07-02,30,"('North America', 'US', 'Nebraska')",13.665,9.168,3222.129,28.226,13932964.387,958.806,p_h
2020-07-02,30,"('North America', 'US', 'Nevada')",57.403,21.348,20311.258,148.387,492107060.742,30254.452,p_h
2020-07-02,30,"('North America', 'US', 'New Hampshire')",7.329,0.445,460.29,1.774,252069.516,5.516,p_h
2020-07-02,30,"('North America', 'US', 'New Jersey')",4.805,4.887,8528.613,764.419,79609469.194,625786.29,p_h
2020-07-02,30,"('North America', 'US', 'New Mexico')",30.425,10.97,5282.548,64.935,33749720.613,5612.419,p_h
2020-07-02,30,"('North America', 'US', 'New York')",5.647,2.544,22980.903,826.774,566014709.613,707401.097,p_h
2020-07-02,30,"('North America', 'US', 'North Carolina')",51.794,16.885,52399.968,290.161,3040457262.032,107155.968,p_h
2020-07-02,30,"('North America', 'US', 'North Dakota')",25.973,9.535,1391.871,9.161,2702413.548,126.194,p_h
2020-07-02,30,"('North America', 'US', 'Ohio')",33.664,9.766,25556.968,316.065,781209823.226,125829.935,p_h
2020-07-02,30,"('North America', 'US', 'Oklahoma')",59.658,17.688,15417.032,83.774,284587036.581,9153.71,p_h
2020-07-02,30,"('North America', 'US', 'Oregon')",50.502,25.022,7296.516,67.71,61274008.839,5757.0,p_h
2020-07-02,30,"('North America', 'US', 'Pennsylvania')",19.458,1.941,20735.548,137.226,485844024.581,25680.387,p_h
2020-07-02,30,"('North America', 'US', 'Rhode Island')",6.598,0.487,1195.032,4.839,1799238.258,50.516,p_h
2020-07-02,30,"('North America', 'US', 'South Carolina')",64.353,31.873,43525.065,416.194,2133587883.194,255266.968,p_h
2020-07-02,30,"('North America', 'US', 'South Dakota')",17.362,16.044,1387.871,18.903,2216244.839,439.419,p_h
2020-07-02,30,"('North America', 'US', 'Tennessee')",49.576,28.206,39374.516,247.968,1888676920.839,78463.71,p_h
2020-07-02,30,"('North America', 'US', 'Texas')",64.112,38.291,208112.871,2026.516,50050926621.194,6039582.839,p_h
2020-07-02,30,"('North America', 'US', 'Utah')",47.631,24.095,15874.484,61.71,279702772.29,5038.806,p_h
2020-07-02,30,"('North America', 'US', 'Vermont')",18.212,0.17,244.516,0.097,63641.097,0.097,p_h
2020-07-02,30,"('North America', 'US', 'Virginia')",24.543,12.203,19326.226,248.0,438973869.194,68807.742,p_h
2020-07-02,30,"('North America', 'US', 'Washington')",38.635,13.531,18155.194,198.71,379454480.032,43866.129,p_h
2020-07-02,30,"('North America', 'US', 'West Virginia')",42.039,6.848,2156.935,7.194,5805308.871,85.903,p_h
2020-07-02,30,"('North America', 'US', 'Wisconsin')",41.975,8.462,17959.742,73.516,376577044.065,6857.774,p_h
2020-07-02,30,"('North America', 'US', 'Wyoming')",37.267,7.888,822.613,1.935,806894.613,5.806,p_h
2020-07-02,30,"('South America', 'Brazil', 'None')",52.473,26.651,1109345.323,21290.774,1351737825546.29,512193238.129,p_h
