state,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered,people_vaccinated,people_fully_vaccinated,daily_vaccinations
New Hampshire,2020-01-22,-61,0,0,,,,,,,,,
New Hampshire,2020-01-23,-60,0,0,,,,,,,,,
New Hampshire,2020-01-24,-59,0,0,,,,,,,,,
New Hampshire,2020-01-25,-58,0,0,,,,,,,,,
New Hampshire,2020-01-26,-57,0,0,,,,,,,,,
New Hampshire,2020-01-27,-56,0,0,,,,,,,,,
New Hampshire,2020-01-28,-55,0,0,,,,,,,,,
New Hampshire,2020-01-29,-54,0,0,,,,,,,,,
New Hampshire,2020-01-30,-53,0,0,,,,,,,,,
New Hampshire,2020-01-31,-52,0,0,,,,,,,,,
New Hampshire,2020-02-01,-51,0,0,,,,,,,,,
New Hampshire,2020-02-02,-50,0,0,,,,,,,,,
New Hampshire,2020-02-03,-49,0,0,,,,,,,,,
New Hampshire,2020-02-04,-48,0,0,,,,,,,,,
New Hampshire,2020-02-05,-47,0,0,,,,,,,,,
New Hampshire,2020-02-06,-46,0,0,,,,,,,,,
New Hampshire,2020-02-07,-45,0,0,,,,,,,,,
New Hampshire,2020-02-08,-44,0,0,,,,,,,,,
New Hampshire,2020-02-09,-43,0,0,,,,,,,,,
New Hampshire,2020-02-10,-42,0,0,,,,,,,,,
New Hampshire,2020-02-11,-41,0,0,,,,,,,,,
New Hampshire,2020-02-12,-40,0,0,,,,,,,,,
New Hampshire,2020-02-13,-39,0,0,,,,,,,,,
New Hampshire,2020-02-14,-38,0,0,,,,,,,,,
New Hampshire,2020-02-15,-37,0,0,,,,,,,,,
New Hampshire,2020-02-16,-36,0,0,,,,,,,,,
New Hampshire,2020-02-17,-35,0,0,,,,,,,,,
New Hampshire,2020-02-18,-34,0,0,,,,,,,,,
New Hampshire,2020-02-19,-33,0,0,,,,,,,,,
New Hampshire,2020-02-20,-32,0,0,,,,,,,,,
New Hampshire,2020-02-21,-31,0,0,,,,,,,,,
New Hampshire,2020-02-22,-30,0,0,,,,,,,,,
New Hampshire,2020-02-23,-29,0,0,,,,,,,,,
New Hampshire,2020-02-24,-28,0,0,,,,,,,,,
New Hampshire,2020-02-25,-27,0,0,,,,,,,,,
New Hampshire,2020-02-26,-26,0,0,,,,,,,,,
New Hampshire,2020-02-27,-25,0,0,,,,,,,,,
New Hampshire,2020-02-28,-24,0,0,,,,,,,,,
New Hampshire,2020-02-29,-23,0,0,,,,,,,,,
New Hampshire,2020-03-01,-22,0,0,,,,,,,,,
New Hampshire,2020-03-02,-21,1,0,,,,,,,,,
New Hampshire,2020-03-03,-20,2,0,,,,,,,,,
New Hampshire,2020-03-04,-19,2,0,,,,,,,,,
New Hampshire,2020-03-05,-18,2,0,,,,,,,,,
New Hampshire,2020-03-06,-17,2,0,,,,,,,,,
New Hampshire,2020-03-07,-16,2,0,,,,,,,,,
New Hampshire,2020-03-08,-15,4,0,,,,,,,,,
New Hampshire,2020-03-09,-14,4,0,,,,,,,,,
New Hampshire,2020-03-10,-13,4,0,,,,,,,,,
New Hampshire,2020-03-11,-12,5,0,,,,,,,,,
New Hampshire,2020-03-12,-11,6,0,,,,,,,,,
New Hampshire,2020-03-13,-10,6,0,,,,,,,,,
New Hampshire,2020-03-14,-9,7,0,,,,,,,,,
New Hampshire,2020-03-15,-8,7,0,,,,,,,,,
New Hampshire,2020-03-16,-7,17,0,,,,,,,,,
New Hampshire,2020-03-17,-6,26,0,,,,,,,,,
New Hampshire,2020-03-18,-5,37,0,,,,,,,,,
New Hampshire,2020-03-19,-4,42,0,,,,,,,,,
New Hampshire,2020-03-20,-3,53,0,,,,,,,,,
New Hampshire,2020-03-21,-2,61,0,,,,,,,,,
New Hampshire,2020-03-22,-1,73,0,,,,,,,,,
New Hampshire,2020-03-23,0,101,1,,,,,,,,,
New Hampshire,2020-03-24,1,101,1,,,,,,,,,
New Hampshire,2020-03-25,2,108,1,,,,,,,,,
New Hampshire,2020-03-26,3,137,1,,,,,,,,,
New Hampshire,2020-03-27,4,158,1,,,,,,,,,
New Hampshire,2020-03-28,5,187,2,,,,,,,,,
New Hampshire,2020-03-29,6,214,2,,,,,,,,,
New Hampshire,2020-03-30,7,314,3,,,,,,,,,
New Hampshire,2020-03-31,8,357,3,,,,,,,,,
New Hampshire,2020-04-01,9,367,3,,,,,,,,,
New Hampshire,2020-04-02,10,479,3,,,,,,,,,
New Hampshire,2020-04-03,11,479,5,,,,,,,,,
New Hampshire,2020-04-04,12,540,7,,,,,,,,,
New Hampshire,2020-04-05,13,621,9,,,,,,,,,
New Hampshire,2020-04-06,14,715,9,,,,,,,,,
New Hampshire,2020-04-07,15,715,9,,,,,,,,,
New Hampshire,2020-04-08,16,747,13,,,,,,,,,
New Hampshire,2020-04-09,17,819,21,,,,,,,,,
New Hampshire,2020-04-10,18,819,21,,,,,,,,,
New Hampshire,2020-04-11,19,885,22,,,,,,,,,
New Hampshire,2020-04-12,20,929,23,,,,,,,,,
New Hampshire,2020-04-13,21,985,23,,,,,,,,,
New Hampshire,2020-04-14,22,922,25,,72.0,,,,,,,
New Hampshire,2020-04-15,23,1139,32,,70.0,,,,,,,
New Hampshire,2020-04-16,24,1139,32,,70.0,,,,,,,
New Hampshire,2020-04-17,25,1287,37,,74.0,,,,,,,
New Hampshire,2020-04-18,26,1342,38,,86.0,,,,,,,
New Hampshire,2020-04-19,27,1390,38,,85.0,,,,,,,
New Hampshire,2020-04-20,28,1447,42,,79.0,,,,,,,
New Hampshire,2020-04-21,29,1490,42,,78.0,,,,,,,
New Hampshire,2020-04-22,30,1588,48,,94.0,,,,,,,
New Hampshire,2020-04-23,31,1670,51,,91.0,,,,,,,
New Hampshire,2020-04-24,32,1720,53,,92.0,,,,,,,
New Hampshire,2020-04-25,33,1797,53,,89.0,,,,,,,
New Hampshire,2020-04-26,34,1864,60,,95.0,,,,,,,
New Hampshire,2020-04-27,35,1938,60,,101.0,,,,,,,
New Hampshire,2020-04-28,36,2010,60,,99.0,,,,,,,
New Hampshire,2020-04-29,37,2058,60,,106.0,,,,,,,
New Hampshire,2020-04-30,38,2146,72,,107.0,,,,,,,
New Hampshire,2020-05-01,39,2310,81,,112.0,,,,,,,
New Hampshire,2020-05-02,40,2429,84,,103.0,,,,,,,
New Hampshire,2020-05-03,41,2518,86,,103.0,,,,,,,
New Hampshire,2020-05-04,42,2588,86,,103.0,,,,,,,
New Hampshire,2020-05-05,43,2636,92,,111.0,,,,,,,
New Hampshire,2020-05-06,44,2741,92,,115.0,,,,,,,
New Hampshire,2020-05-07,45,2843,114,,113.0,,,,,,,
New Hampshire,2020-05-08,46,2947,121,,113.0,,,,,,,
New Hampshire,2020-05-09,47,3011,131,,112.0,,,,,,,
New Hampshire,2020-05-10,48,3071,133,,107.0,,,,,,,
New Hampshire,2020-05-11,49,3160,133,,113.0,,,,,,,
New Hampshire,2020-05-12,50,3239,142,,117.0,,,,,,,
New Hampshire,2020-05-13,51,3299,150,,121.0,,,,,,,
New Hampshire,2020-05-14,52,3382,151,,126.0,,,,,,,
New Hampshire,2020-05-15,53,3453,159,,115.0,,,,,,,
New Hampshire,2020-05-16,54,3556,171,,110.0,,,,,,,
New Hampshire,2020-05-17,55,3596,172,,115.0,,,,,,,
New Hampshire,2020-05-18,56,3652,172,,114.0,,,,,,,
New Hampshire,2020-05-19,57,3721,172,,109.0,,,,,,,
New Hampshire,2020-05-20,58,3868,190,,105.0,,,,,,,
New Hampshire,2020-05-21,59,3935,199,,103.0,,,,,,,
New Hampshire,2020-05-22,60,4014,204,,97.0,,,,,,,
New Hampshire,2020-05-23,61,4089,208,,93.0,,,,,,,
New Hampshire,2020-05-24,62,4149,209,,93.0,,,,,,,
New Hampshire,2020-05-25,63,4197,210,,92.0,,,,,,,
New Hampshire,2020-05-26,64,4231,214,,91.0,,,,,,,
New Hampshire,2020-05-27,65,4286,223,,91.0,,,,,,,
New Hampshire,2020-05-28,66,4389,232,,105.0,,,,,,,
New Hampshire,2020-05-29,67,4492,238,,110.0,,,,,,,
New Hampshire,2020-05-30,68,4492,238,,105.0,,,,,,,
New Hampshire,2020-05-31,69,4651,245,,107.0,,,,,,,
New Hampshire,2020-06-01,70,4685,245,,96.0,,,,,,,
New Hampshire,2020-06-02,71,4749,256,,98.0,,,,,,,
New Hampshire,2020-06-03,72,4795,265,,97.0,,,,,,,
New Hampshire,2020-06-04,73,4876,273,,88.0,,,,,,,
New Hampshire,2020-06-05,74,4953,278,,86.0,,,,,,,
New Hampshire,2020-06-06,75,5019,283,,84.0,,,,,,,
New Hampshire,2020-06-07,76,5043,286,,84.0,,,,,,,
New Hampshire,2020-06-08,77,5079,286,,86.0,,,,,,,
New Hampshire,2020-06-09,78,5079,286,,78.0,,,,,,,
New Hampshire,2020-06-10,79,5178,301,,80.0,,,,,,,
New Hampshire,2020-06-11,80,5209,308,,81.0,,,,,,,
New Hampshire,2020-06-12,81,5251,315,,73.0,,,,,,,
New Hampshire,2020-06-13,82,5299,318,,76.0,,,,,,,
