state,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
Iowa,2020-01-22,-61,0,0,,,,,,
Iowa,2020-01-23,-60,0,0,,,,,,
Iowa,2020-01-24,-59,0,0,,,,,,
Iowa,2020-01-25,-58,0,0,,,,,,
Iowa,2020-01-26,-57,0,0,,,,,,
Iowa,2020-01-27,-56,0,0,,,,,,
Iowa,2020-01-28,-55,0,0,,,,,,
Iowa,2020-01-29,-54,0,0,,,,,,
Iowa,2020-01-30,-53,0,0,,,,,,
Iowa,2020-01-31,-52,0,0,,,,,,
Iowa,2020-02-01,-51,0,0,,,,,,
Iowa,2020-02-02,-50,0,0,,,,,,
Iowa,2020-02-03,-49,0,0,,,,,,
Iowa,2020-02-04,-48,0,0,,,,,,
Iowa,2020-02-05,-47,0,0,,,,,,
Iowa,2020-02-06,-46,0,0,,,,,,
Iowa,2020-02-07,-45,0,0,,,,,,
Iowa,2020-02-08,-44,0,0,,,,,,
Iowa,2020-02-09,-43,0,0,,,,,,
Iowa,2020-02-10,-42,0,0,,,,,,
Iowa,2020-02-11,-41,0,0,,,,,,
Iowa,2020-02-12,-40,0,0,,,,,,
Iowa,2020-02-13,-39,0,0,,,,,,
Iowa,2020-02-14,-38,0,0,,,,,,
Iowa,2020-02-15,-37,0,0,,,,,,
Iowa,2020-02-16,-36,0,0,,,,,,
Iowa,2020-02-17,-35,0,0,,,,,,
Iowa,2020-02-18,-34,0,0,,,,,,
Iowa,2020-02-19,-33,0,0,,,,,,
Iowa,2020-02-20,-32,0,0,,,,,,
Iowa,2020-02-21,-31,0,0,,,,,,
Iowa,2020-02-22,-30,0,0,,,,,,
Iowa,2020-02-23,-29,0,0,,,,,,
Iowa,2020-02-24,-28,0,0,,,,,,
Iowa,2020-02-25,-27,0,0,,,,,,
Iowa,2020-02-26,-26,0,0,,,,,,
Iowa,2020-02-27,-25,0,0,,,,,,
Iowa,2020-02-28,-24,0,0,,,,,,
Iowa,2020-02-29,-23,0,0,,,,,,
Iowa,2020-03-01,-22,0,0,,,,,,
Iowa,2020-03-02,-21,0,0,,,,,,
Iowa,2020-03-03,-20,0,0,,,,,,
Iowa,2020-03-04,-19,0,0,,,,,,
Iowa,2020-03-05,-18,0,0,,,,,,
Iowa,2020-03-06,-17,0,0,,,,,,
Iowa,2020-03-07,-16,0,0,,,,,,
Iowa,2020-03-08,-15,0,0,,,,,,
Iowa,2020-03-09,-14,3,0,,,,,,
Iowa,2020-03-10,-13,8,0,,,,,,
Iowa,2020-03-11,-12,13,0,,,,,,
Iowa,2020-03-12,-11,14,0,,,,,,
Iowa,2020-03-13,-10,17,0,,,,,,
Iowa,2020-03-14,-9,17,0,,,,,,
Iowa,2020-03-15,-8,18,0,,,,,,
Iowa,2020-03-16,-7,23,0,,,,,,
Iowa,2020-03-17,-6,23,0,,,,,,
Iowa,2020-03-18,-5,38,0,,,,,,
Iowa,2020-03-19,-4,44,0,,,,,,
Iowa,2020-03-20,-3,45,0,,,,,,
Iowa,2020-03-21,-2,69,0,,,,,,
Iowa,2020-03-22,-1,90,0,,,,,,
Iowa,2020-03-23,0,105,0,,,,,,
Iowa,2020-03-24,1,124,0,,,,,,
Iowa,2020-03-25,2,146,1,,,,,,
Iowa,2020-03-26,3,179,1,,,,,,
Iowa,2020-03-27,4,235,3,,,,,,
Iowa,2020-03-28,5,298,3,,,,,,
Iowa,2020-03-29,6,336,4,,,,,,
Iowa,2020-03-30,7,424,6,,,,,,
Iowa,2020-03-31,8,497,7,,,,,,
Iowa,2020-04-01,9,547,9,,,,,,
Iowa,2020-04-02,10,614,11,,,,,,
Iowa,2020-04-03,11,699,11,,,,,,
Iowa,2020-04-04,12,787,14,,,,,,
Iowa,2020-04-05,13,869,18,,,,,,
Iowa,2020-04-06,14,946,25,,,,,,
Iowa,2020-04-07,15,1046,25,,,,,,
Iowa,2020-04-08,16,1145,27,,,,,,
Iowa,2020-04-09,17,1270,29,,,,,,
Iowa,2020-04-10,18,1388,31,,,,,,
Iowa,2020-04-11,19,1510,34,,,,,,
Iowa,2020-04-12,20,1587,41,,,,,,
Iowa,2020-04-13,21,1710,41,,,,,,
Iowa,2020-04-14,22,1899,49,,,,,,
Iowa,2020-04-15,23,1995,53,,,,,,
Iowa,2020-04-16,24,2141,60,,,,,,
Iowa,2020-04-17,25,2332,64,,,,,,
Iowa,2020-04-18,26,2513,74,,,,,,
Iowa,2020-04-19,27,2902,75,,,,,,
Iowa,2020-04-20,28,3159,79,,,,,,
Iowa,2020-04-21,29,3641,83,,,,,,
Iowa,2020-04-22,30,3748,90,,,,,,
Iowa,2020-04-23,31,3924,96,,,,,,
Iowa,2020-04-24,32,4445,107,,,,,,
Iowa,2020-04-25,33,5092,112,,,,,,
Iowa,2020-04-26,34,5476,118,,,,,,
Iowa,2020-04-27,35,5868,127,,,,,,
Iowa,2020-04-28,36,6376,136,,,,,,
Iowa,2020-04-29,37,6843,148,,,,,,
Iowa,2020-04-30,38,7145,162,,,,,,
Iowa,2020-05-01,39,7884,170,,,,,,
Iowa,2020-05-02,40,8643,175,,,,,,
Iowa,2020-05-03,41,9175,184,,,,,,
Iowa,2020-05-04,42,9703,188,,,,,,
Iowa,2020-05-05,43,10111,207,,,,,,
Iowa,2020-05-06,44,10404,219,,,,,,
Iowa,2020-05-07,45,11059,231,,,,,,
Iowa,2020-05-08,46,11457,243,,,,,,
Iowa,2020-05-09,47,11671,252,,,,,,
Iowa,2020-05-10,48,11959,265,,,,,,
Iowa,2020-05-11,49,12373,271,,,,,,
Iowa,2020-05-12,50,12912,289,,,,,,
Iowa,2020-05-13,51,13289,306,,,,,,
Iowa,2020-05-14,52,13675,318,,,,,,
Iowa,2020-05-15,53,14049,336,,,,,,
Iowa,2020-05-16,54,14328,346,,,,,,
Iowa,2020-05-17,55,14651,351,,,,,,
Iowa,2020-05-18,56,14955,355,,,,,,
Iowa,2020-05-19,57,15296,367,,,,,,
Iowa,2020-05-20,58,15620,393,,,,,,
Iowa,2020-05-21,59,16170,410,,,,,,
Iowa,2020-05-22,60,16492,424,,,,,,
Iowa,2020-05-23,61,16898,446,,,,,,
Iowa,2020-05-24,62,17251,456,,,,,,
Iowa,2020-05-25,63,17557,456,,,,,,
Iowa,2020-05-26,64,17703,477,,,,,,
Iowa,2020-05-27,65,18369,496,,,,,,
Iowa,2020-05-28,66,18586,506,,,,,,
Iowa,2020-05-29,67,18957,524,,,,,,
Iowa,2020-05-30,68,19244,531,,,,,,
Iowa,2020-05-31,69,19552,535,,,,,,
Iowa,2020-06-01,70,19699,555,,,,,,
Iowa,2020-06-02,71,20019,561,,,,,,
Iowa,2020-06-03,72,20300,574,,,,,,
Iowa,2020-06-04,73,20806,583,,,,,,
Iowa,2020-06-05,74,21154,593,,,,,,
Iowa,2020-06-06,75,21478,599,,,,,,
Iowa,2020-06-07,76,21712,605,,,,,,
Iowa,2020-06-08,77,22007,617,,,,,,
Iowa,2020-06-09,78,22237,626,,,,,,
Iowa,2020-06-10,79,22626,631,,,,,,
Iowa,2020-06-11,80,22973,640,,,,,,
Iowa,2020-06-12,81,23350,644,,,,,,
Iowa,2020-06-13,82,23717,650,,,,,,
Iowa,2020-06-14,83,23926,652,,,,,,
Iowa,2020-06-15,84,24082,658,,,,,,
Iowa,2020-06-16,85,24179,665,,,,,,
Iowa,2020-06-17,86,24460,675,,,,,,
Iowa,2020-06-18,87,24861,680,,,,,,
Iowa,2020-06-19,88,25274,681,,,,,,
Iowa,2020-06-20,89,25496,681,,,,,,
Iowa,2020-06-21,90,25963,686,,,,,,
Iowa,2020-06-22,91,26146,686,,,,,,
Iowa,2020-06-23,92,26469,689,,,,,,
Iowa,2020-06-24,93,26601,690,,,,,,
Iowa,2020-06-25,94,27373,696,,,,,,
Iowa,2020-06-26,95,27717,704,,,,,,
Iowa,2020-06-27,96,28073,704,,,,,,
Iowa,2020-06-28,97,28520,706,,,,,,
Iowa,2020-06-29,98,28845,711,,,,,,
Iowa,2020-06-30,99,29074,716,,,,,,
Iowa,2020-07-01,100,29514,717,,,,,,
Iowa,2020-07-02,101,30259,719,,,,,,
Iowa,2020-07-03,102,30463,721,,,,,,
Iowa,2020-07-04,103,31061,721,,,,,,
Iowa,2020-07-05,104,31517,721,,,,,,
