Date,Cumulative Cases,Cumulative Deaths,Population,City
2020-03-09,1,0,980263,Tucson
2020-03-10,1,0,980263,Tucson
2020-03-11,1,0,980263,Tucson
2020-03-12,1,0,980263,Tucson
2020-03-13,1,0,980263,Tucson
2020-03-14,2,0,980263,Tucson
2020-03-15,3,0,980263,Tucson
2020-03-16,4,0,980263,Tucson
2020-03-17,4,0,980263,Tucson
2020-03-18,5,0,980263,Tucson
2020-03-19,7,0,980263,Tucson
2020-03-20,8,0,980263,Tucson
2020-03-21,12,0,980263,Tucson
2020-03-22,17,0,980263,Tucson
2020-03-23,24,0,980263,Tucson
2020-03-24,42,0,980263,Tucson
2020-03-25,49,0,980263,Tucson
2020-03-26,75,0,980263,Tucson
2020-03-27,102,4,980263,Tucson
2020-03-28,120,5,980263,Tucson
2020-03-29,153,6,980263,Tucson
2020-03-30,187,6,980263,Tucson
2020-03-31,202,6,980263,Tucson
2020-04-01,217,10,980263,Tucson
2020-04-02,237,11,980263,Tucson
2020-04-03,280,11,980263,Tucson
2020-04-04,326,12,980263,Tucson
2020-04-05,372,12,980263,Tucson
2020-04-06,415,13,980263,Tucson
2020-04-07,415,13,980263,Tucson
2020-04-08,464,16,980263,Tucson
2020-04-09,512,20,980263,Tucson
2020-04-10,543,20,980263,Tucson
2020-04-11,591,29,980263,Tucson
2020-04-12,622,29,980263,Tucson
2020-04-13,668,29,980263,Tucson
2020-04-14,685,32,980263,Tucson
2020-04-15,700,34,980263,Tucson
2020-04-16,760,37,980263,Tucson
2020-04-17,819,51,980263,Tucson
2020-04-18,856,56,980263,Tucson
2020-04-19,913,56,980263,Tucson
2020-04-20,941,58,980263,Tucson
2020-04-21,963,65,980263,Tucson
2020-04-22,973,68,980263,Tucson
2020-04-23,1026,70,980263,Tucson
2020-04-24,1060,74,980263,Tucson
2020-04-25,1090,76,980263,Tucson
2020-04-26,1136,76,980263,Tucson
2020-04-27,1164,76,980263,Tucson
2020-04-28,1188,78,980263,Tucson
2020-04-29,1215,80,980263,Tucson
2020-04-30,1241,80,980263,Tucson
2020-05-01,1267,81,980263,Tucson
2020-05-02,1300,89,980263,Tucson
2020-05-03,1326,89,980263,Tucson
2020-05-04,1346,89,980263,Tucson
2020-05-05,1379,105,980263,Tucson
2020-05-06,1425,116,980263,Tucson
2020-05-07,1465,118,980263,Tucson
2020-05-08,1520,131,980263,Tucson
2020-05-09,1554,133,980263,Tucson
2020-05-10,1585,134,980263,Tucson
2020-05-11,1602,134,980263,Tucson
2020-05-12,1623,136,980263,Tucson
2020-05-13,1661,144,980263,Tucson
2020-05-14,1696,152,980263,Tucson
2020-05-15,1750,155,980263,Tucson
2020-05-16,1781,157,980263,Tucson
2020-05-17,1814,157,980263,Tucson
2020-05-18,1825,157,980263,Tucson
2020-05-19,1888,158,980263,Tucson
2020-05-20,1903,167,980263,Tucson
2020-05-21,1944,174,980263,Tucson
2020-05-22,1974,174,980263,Tucson
2020-05-23,2002,174,980263,Tucson
2020-05-24,2027,173,980263,Tucson
2020-05-25,2046,173,980263,Tucson
2020-05-26,2075,173,980263,Tucson
2020-05-27,2119,175,980263,Tucson
2020-05-28,2167,186,980263,Tucson
2020-05-29,2234,185,980263,Tucson
2020-05-30,2290,185,980263,Tucson
2020-05-31,2368,185,980263,Tucson
2020-06-01,2382,185,980263,Tucson
2020-06-02,2496,191,980263,Tucson
2020-06-03,2627,196,980263,Tucson
