Date,Cumulative Cases,Cumulative Deaths,Population,City
2020-03-23,123,1,2753149,Baltimore_Columbia_Towson
2020-03-24,148,1,2753149,Baltimore_Columbia_Towson
2020-03-25,181,1,2753149,Baltimore_Columbia_Towson
2020-03-26,261,1,2753149,Baltimore_Columbia_Towson
2020-03-27,359,2,2753149,Baltimore_Columbia_Towson
2020-03-28,519,4,2753149,Baltimore_Columbia_Towson
2020-03-29,581,5,2753149,Baltimore_Columbia_Towson
2020-03-30,655,6,2753149,Baltimore_Columbia_Towson
2020-03-31,781,8,2753149,Baltimore_Columbia_Towson
2020-04-01,913,11,2753149,Baltimore_Columbia_Towson
2020-04-02,1126,11,2753149,Baltimore_Columbia_Towson
2020-04-03,1337,18,2753149,Baltimore_Columbia_Towson
2020-04-04,1494,25,2753149,Baltimore_Columbia_Towson
2020-04-05,1709,30,2753149,Baltimore_Columbia_Towson
2020-04-06,1860,40,2753149,Baltimore_Columbia_Towson
2020-04-07,1950,47,2753149,Baltimore_Columbia_Towson
2020-04-08,2465,55,2753149,Baltimore_Columbia_Towson
2020-04-09,2742,63,2753149,Baltimore_Columbia_Towson
2020-04-10,2975,78,2753149,Baltimore_Columbia_Towson
2020-04-11,3248,99,2753149,Baltimore_Columbia_Towson
2020-04-12,3483,112,2753149,Baltimore_Columbia_Towson
2020-04-13,3755,122,2753149,Baltimore_Columbia_Towson
2020-04-14,3950,140,2753149,Baltimore_Columbia_Towson
2020-04-15,4265,133,2753149,Baltimore_Columbia_Towson
2020-04-16,4509,153,2753149,Baltimore_Columbia_Towson
2020-04-17,4792,174,2753149,Baltimore_Columbia_Towson
2020-04-18,5108,185,2753149,Baltimore_Columbia_Towson
2020-04-19,5259,203,2753149,Baltimore_Columbia_Towson
2020-04-20,5633,209,2753149,Baltimore_Columbia_Towson
2020-04-21,5804,229,2753149,Baltimore_Columbia_Towson
2020-04-22,6067,249,2753149,Baltimore_Columbia_Towson
2020-04-23,6413,261,2753149,Baltimore_Columbia_Towson
2020-04-24,6710,245,2753149,Baltimore_Columbia_Towson
2020-04-25,7064,304,2753149,Baltimore_Columbia_Towson
2020-04-26,7387,308,2753149,Baltimore_Columbia_Towson
2020-04-27,7645,328,2753149,Baltimore_Columbia_Towson
2020-04-28,7846,354,2753149,Baltimore_Columbia_Towson
2020-04-29,8131,391,2753149,Baltimore_Columbia_Towson
2020-04-30,8429,418,2753149,Baltimore_Columbia_Towson
2020-05-01,8864,433,2753149,Baltimore_Columbia_Towson
2020-05-02,9279,462,2753149,Baltimore_Columbia_Towson
2020-05-03,9619,475,2753149,Baltimore_Columbia_Towson
2020-05-04,9968,486,2753149,Baltimore_Columbia_Towson
2020-05-05,10209,508,2753149,Baltimore_Columbia_Towson
2020-05-06,10582,526,2753149,Baltimore_Columbia_Towson
2020-05-07,11001,540,2753149,Baltimore_Columbia_Towson
2020-05-08,11355,563,2753149,Baltimore_Columbia_Towson
2020-05-09,11738,586,2753149,Baltimore_Columbia_Towson
2020-05-10,12131,602,2753149,Baltimore_Columbia_Towson
2020-05-11,12343,612,2753149,Baltimore_Columbia_Towson
2020-05-12,12555,640,2753149,Baltimore_Columbia_Towson
2020-05-13,12858,673,2753149,Baltimore_Columbia_Towson
2020-05-14,13169,693,2753149,Baltimore_Columbia_Towson
2020-05-15,13524,707,2753149,Baltimore_Columbia_Towson
2020-05-16,13882,732,2753149,Baltimore_Columbia_Towson
2020-05-17,14153,749,2753149,Baltimore_Columbia_Towson
2020-05-18,14455,762,2753149,Baltimore_Columbia_Towson
2020-05-19,14960,782,2753149,Baltimore_Columbia_Towson
2020-05-20,15319,808,2753149,Baltimore_Columbia_Towson
2020-05-21,15804,821,2753149,Baltimore_Columbia_Towson
2020-05-22,16136,842,2753149,Baltimore_Columbia_Towson
2020-05-23,16599,864,2753149,Baltimore_Columbia_Towson
2020-05-24,16879,872,2753149,Baltimore_Columbia_Towson
2020-05-25,17220,889,2753149,Baltimore_Columbia_Towson
2020-05-26,17419,900,2753149,Baltimore_Columbia_Towson
2020-05-27,17637,920,2753149,Baltimore_Columbia_Towson
2020-05-28,18113,928,2753149,Baltimore_Columbia_Towson
2020-05-29,18673,955,2753149,Baltimore_Columbia_Towson
2020-05-30,19107,975,2753149,Baltimore_Columbia_Towson
2020-05-31,19437,988,2753149,Baltimore_Columbia_Towson
2020-06-01,19688,1001,2753149,Baltimore_Columbia_Towson
2020-06-02,19994,1016,2753149,Baltimore_Columbia_Towson
2020-06-03,20318,1030,2753149,Baltimore_Columbia_Towson
