Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Africa,None,None,2020-03-18,116,116,17,17,0,4
Africa,None,None,2020-03-19,257,245,37,39,0,9
Africa,None,None,2020-03-20,389,357,55,58,1,14
Africa,None,None,2020-03-21,527,468,73,79,1,18
Africa,None,None,2020-03-22,684,591,92,103,2,23
Africa,None,None,2020-03-23,871,734,116,131,3,28
Africa,None,None,2020-03-24,1090,900,143,163,4,34
Africa,None,None,2020-03-25,1342,1088,173,201,5,42
Africa,None,None,2020-03-26,1633,1301,208,245,6,50
Africa,None,None,2020-03-27,1963,1538,247,294,8,59
Africa,None,None,2020-03-28,2334,1801,290,350,10,69
Africa,None,None,2020-03-29,2750,2090,338,413,13,81
Africa,None,None,2020-03-30,3213,2407,391,482,16,93
Africa,None,None,2020-03-31,3725,2751,448,559,19,106
Africa,None,None,2020-04-01,4287,3122,510,643,23,121
Africa,None,None,2020-04-02,4903,3521,577,735,27,136
Africa,None,None,2020-04-03,5575,3951,650,836,32,153
Africa,None,None,2020-04-04,6303,4407,727,946,38,171
Africa,None,None,2020-04-05,7086,4888,809,1063,44,190
Africa,None,None,2020-04-06,7925,5392,895,1189,50,210
Africa,None,None,2020-04-07,8822,5921,986,1323,58,231
Africa,None,None,2020-04-08,9778,6474,1082,1467,66,252
Africa,None,None,2020-04-09,10789,7046,1181,1618,75,275
Africa,None,None,2020-04-10,11852,7632,1284,1778,85,298
Africa,None,None,2020-04-11,12966,8231,1389,1945,95,322
Africa,None,None,2020-04-12,14131,8840,1497,2120,107,346
Africa,None,None,2020-04-13,15348,9462,1607,2302,119,371
Africa,None,None,2020-04-14,16611,10091,1720,2492,132,396
Africa,None,None,2020-04-15,17915,10719,1833,2687,146,421
Africa,None,None,2020-04-16,19256,11344,1947,2888,161,446
Africa,None,None,2020-04-17,20632,11963,2061,3095,176,471
Africa,None,None,2020-04-18,22041,12575,2174,3306,193,496
Africa,None,None,2020-04-19,23482,13181,2287,3522,211,520
Africa,None,None,2020-04-20,24949,13774,2398,3742,229,544
Africa,None,None,2020-04-21,26436,14350,2508,3965,248,568
Africa,None,None,2020-04-22,27938,14903,2615,4191,268,590
Africa,None,None,2020-04-23,29452,15433,2718,4418,289,612
Africa,None,None,2020-04-24,30975,15939,2818,4646,311,633
Africa,None,None,2020-04-25,32506,16422,2915,4876,333,653
Africa,None,None,2020-04-26,34041,16878,3008,5106,356,672
Africa,None,None,2020-04-27,35574,17305,3097,5336,380,690
Africa,None,None,2020-04-28,37101,17699,3181,5565,404,707
Africa,None,None,2020-04-29,38618,18059,3259,5793,430,722
Africa,None,None,2020-04-30,40123,18384,3332,6018,455,736
Africa,None,None,2020-05-01,41612,18675,3400,6242,481,749
Africa,None,None,2020-05-02,43085,18932,3462,6463,508,760
Africa,None,None,2020-05-03,44539,19154,3518,6681,535,770
Africa,None,None,2020-05-04,45968,19339,3569,6895,562,779
Africa,None,None,2020-05-05,47372,19488,3613,7106,590,786
Africa,None,None,2020-05-06,48751,19604,3651,7313,618,792
Africa,None,None,2020-05-07,50102,19687,3684,7515,647,796
Africa,None,None,2020-05-08,51425,19739,3711,7714,675,799
Africa,None,None,2020-05-09,52718,19758,3733,7908,704,801
Africa,None,None,2020-05-10,53978,19745,3749,8097,732,802
Africa,None,None,2020-05-11,55202,19699,3759,8280,761,801
Africa,None,None,2020-05-12,56387,19617,3762,8458,790,799
Africa,None,None,2020-05-13,57534,19504,3760,8630,819,796
Africa,None,None,2020-05-14,58646,19365,3753,8797,848,791
Africa,None,None,2020-05-15,59725,19202,3741,8959,876,786
Africa,None,None,2020-05-16,60770,19018,3725,9115,905,780
Africa,None,None,2020-05-17,61778,18810,3705,9267,933,772
Africa,None,None,2020-05-18,62747,18577,3679,9412,961,764
Africa,None,None,2020-05-19,63677,18322,3649,9551,989,755
Africa,None,None,2020-05-20,64571,18048,3615,9686,1017,745
Africa,None,None,2020-05-21,65431,17759,3577,9815,1044,734
Africa,None,None,2020-05-22,66257,17455,3537,9939,1071,722
Africa,None,None,2020-05-23,67049,17138,3493,10057,1098,711
Africa,None,None,2020-05-24,67806,16807,3446,10171,1124,698
Africa,None,None,2020-05-25,68527,16462,3395,10279,1150,685
Africa,None,None,2020-05-26,69214,16106,3342,10382,1175,671
Africa,None,None,2020-05-27,69871,15744,3288,10481,1200,657
Africa,None,None,2020-05-28,70499,15376,3231,10575,1224,643
Africa,None,None,2020-05-29,71098,15004,3173,10665,1248,628
Africa,None,None,2020-05-30,71669,14628,3113,10750,1272,614
Africa,None,None,2020-05-31,72209,14246,3051,10831,1295,599
Africa,None,None,2020-06-01,72718,13858,2988,10908,1317,583
