Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Africa,None,None,2020-03-18,116,116,17,17,0,4
Africa,None,None,2020-03-19,120,113,17,18,0,4
Africa,None,None,2020-03-20,126,111,17,19,0,4
Africa,None,None,2020-03-21,133,111,18,20,0,4
Africa,None,None,2020-03-22,143,114,18,21,1,4
Africa,None,None,2020-03-23,157,120,19,24,1,4
Africa,None,None,2020-03-24,175,130,21,26,1,5
Africa,None,None,2020-03-25,198,144,24,30,1,5
Africa,None,None,2020-03-26,227,163,27,34,1,6
Africa,None,None,2020-03-27,263,188,31,39,2,7
Africa,None,None,2020-03-28,306,218,36,46,2,8
Africa,None,None,2020-03-29,359,255,42,54,2,9
Africa,None,None,2020-03-30,423,301,49,63,3,11
Africa,None,None,2020-03-31,498,355,58,75,3,13
Africa,None,None,2020-04-01,589,420,69,88,4,16
Africa,None,None,2020-04-02,696,498,81,104,4,18
Africa,None,None,2020-04-03,821,588,96,123,5,22
Africa,None,None,2020-04-04,967,692,113,145,6,26
Africa,None,None,2020-04-05,1136,812,133,170,7,30
Africa,None,None,2020-04-06,1331,950,155,200,9,35
Africa,None,None,2020-04-07,1554,1107,181,233,10,41
Africa,None,None,2020-04-08,1808,1283,210,271,12,47
Africa,None,None,2020-04-09,2095,1480,243,314,14,55
Africa,None,None,2020-04-10,2418,1699,279,363,16,63
Africa,None,None,2020-04-11,2780,1943,320,417,19,72
Africa,None,None,2020-04-12,3183,2212,364,477,22,82
Africa,None,None,2020-04-13,3628,2504,413,544,25,92
Africa,None,None,2020-04-14,4118,2820,466,618,29,104
Africa,None,None,2020-04-15,4656,3164,524,698,34,116
Africa,None,None,2020-04-16,5245,3535,587,787,39,130
Africa,None,None,2020-04-17,5884,3931,654,883,44,145
Africa,None,None,2020-04-18,6573,4352,725,986,50,160
Africa,None,None,2020-04-19,7314,4796,801,1097,57,176
Africa,None,None,2020-04-20,8110,5265,881,1217,65,193
Africa,None,None,2020-04-21,8963,5759,967,1344,73,211
Africa,None,None,2020-04-22,9871,6277,1056,1481,82,230
Africa,None,None,2020-04-23,10831,6813,1149,1625,92,250
Africa,None,None,2020-04-24,11845,7365,1246,1777,103,270
Africa,None,None,2020-04-25,12911,7935,1345,1937,114,291
Africa,None,None,2020-04-26,14032,8522,1449,2105,127,312
Africa,None,None,2020-04-27,15207,9125,1556,2281,140,334
Africa,None,None,2020-04-28,16432,9738,1665,2465,154,356
Africa,None,None,2020-04-29,17704,10358,1776,2656,170,379
Africa,None,None,2020-04-30,19020,10982,1889,2853,186,401
