Country,Province_State,Date,Cum_Cases,new_cases,Cum_Deaths,new_deaths,Population
Chile,Antofagasta,2/26/2020,0,0,0,0,607534
Chile,Antofagasta,2/27/2020,0,0,0,0,607534
Chile,Antofagasta,2/28/2020,0,0,0,0,607534
Chile,Antofagasta,2/29/2020,0,0,0,0,607534
Chile,Antofagasta,3/1/2020,0,0,0,0,607534
Chile,Antofagasta,3/2/2020,0,0,0,0,607534
Chile,Antofagasta,3/3/2020,0,0,0,0,607534
Chile,Antofagasta,3/4/2020,0,0,0,0,607534
Chile,Antofagasta,3/5/2020,0,0,0,0,607534
Chile,Antofagasta,3/6/2020,0,0,0,0,607534
Chile,Antofagasta,3/7/2020,0,0,0,0,607534
Chile,Antofagasta,3/8/2020,0,0,0,0,607534
Chile,Antofagasta,3/9/2020,0,0,0,0,607534
Chile,Antofagasta,3/10/2020,0,0,0,0,607534
Chile,Antofagasta,3/11/2020,0,0,0,0,607534
Chile,Antofagasta,3/12/2020,0,0,0,0,607534
Chile,Antofagasta,3/13/2020,0,0,0,0,607534
Chile,Antofagasta,3/14/2020,2,2,0,0,607534
Chile,Antofagasta,3/15/2020,2,0,0,0,607534
Chile,Antofagasta,3/16/2020,2,0,0,0,607534
Chile,Antofagasta,3/17/2020,2,0,0,0,607534
Chile,Antofagasta,3/18/2020,2,0,0,0,607534
Chile,Antofagasta,3/19/2020,2,0,0,0,607534
Chile,Antofagasta,3/20/2020,6,4,0,0,607534
Chile,Antofagasta,3/21/2020,10,4,0,0,607534
Chile,Antofagasta,3/22/2020,11,1,0,0,607534
Chile,Antofagasta,3/23/2020,11,0,0,0,607534
Chile,Antofagasta,3/24/2020,13,2,0,0,607534
Chile,Antofagasta,3/25/2020,19,6,0,0,607534
Chile,Antofagasta,3/26/2020,20,1,0,0,607534
Chile,Antofagasta,3/27/2020,21,1,0,0,607534
Chile,Antofagasta,3/28/2020,25,4,0,0,607534
Chile,Antofagasta,3/29/2020,27,2,0,0,607534
Chile,Antofagasta,3/30/2020,35,8,0,0,607534
Chile,Antofagasta,3/31/2020,35,0,0,0,607534
Chile,Antofagasta,4/1/2020,39,4,0,0,607534
Chile,Antofagasta,4/2/2020,47,8,0,0,607534
Chile,Antofagasta,4/3/2020,54,7,0,0,607534
Chile,Antofagasta,4/4/2020,55,1,0,0,607534
Chile,Antofagasta,4/5/2020,60,5,0,0,607534
Chile,Antofagasta,4/6/2020,68,8,0,0,607534
Chile,Antofagasta,4/7/2020,69,1,1,1,607534
Chile,Antofagasta,4/8/2020,77,8,1,0,607534
Chile,Antofagasta,4/9/2020,92,15,1,0,607534
Chile,Antofagasta,4/10/2020,110,18,1,0,607534
Chile,Antofagasta,4/11/2020,117,7,1,0,607534
Chile,Antofagasta,4/12/2020,138,21,1,0,607534
Chile,Antofagasta,4/13/2020,149,11,1,0,607534
Chile,Antofagasta,4/14/2020,155,6,1,0,607534
Chile,Antofagasta,4/15/2020,176,21,1,0,607534
Chile,Antofagasta,4/16/2020,192,16,1,0,607534
Chile,Antofagasta,4/17/2020,211,19,1,0,607534
Chile,Antofagasta,4/18/2020,226,15,1,0,607534
Chile,Antofagasta,4/19/2020,249,23,1,0,607534
Chile,Antofagasta,4/20/2020,263,14,1,0,607534
Chile,Antofagasta,4/21/2020,291,28,1,0,607534
Chile,Antofagasta,4/22/2020,326,35,2,1,607534
Chile,Antofagasta,4/23/2020,340,14,2,0,607534
Chile,Antofagasta,4/24/2020,366,26,2,0,607534
Chile,Antofagasta,4/25/2020,391,25,3,1,607534
Chile,Antofagasta,4/26/2020,443,52,4,1,607534
Chile,Antofagasta,4/27/2020,457,14,4,0,607534
Chile,Antofagasta,4/28/2020,481,24,4,0,607534
Chile,Antofagasta,4/29/2020,514,33,4,0,607534
Chile,Antofagasta,4/30/2020,546,32,5,1,607534
Chile,Antofagasta,5/1/2020,589,43,7,2,607534
Chile,Antofagasta,5/2/2020,679,90,7,0,607534
Chile,Antofagasta,5/3/2020,740,61,7,0,607534
Chile,Antofagasta,5/4/2020,760,20,7,0,607534
Chile,Antofagasta,5/5/2020,811,51,7,0,607534
Chile,Antofagasta,5/6/2020,855,44,7,0,607534
Chile,Antofagasta,5/7/2020,895,40,7,0,607534
Chile,Antofagasta,5/8/2020,923,28,9,2,607534
Chile,Antofagasta,5/9/2020,947,24,10,1,607534
Chile,Antofagasta,5/10/2020,978,31,10,0,607534
Chile,Antofagasta,5/11/2020,1014,36,10,0,607534
Chile,Antofagasta,5/12/2020,1109,95,10,0,607534
Chile,Antofagasta,5/13/2020,1216,107,11,1,607534
Chile,Antofagasta,5/14/2020,1277,61,11,0,607534
Chile,Antofagasta,5/15/2020,1331,54,12,1,607534
Chile,Antofagasta,5/16/2020,1429,98,12,0,607534
Chile,Antofagasta,5/17/2020,1505,76,13,1,607534
Chile,Antofagasta,5/18/2020,1589,84,14,1,607534
Chile,Antofagasta,5/19/2020,1648,59,16,2,607534
Chile,Antofagasta,5/20/2020,1731,83,17,1,607534
Chile,Antofagasta,5/21/2020,1778,47,17,0,607534
Chile,Antofagasta,5/22/2020,1841,63,17,0,607534
Chile,Antofagasta,5/23/2020,1897,56,21,4,607534
Chile,Antofagasta,5/24/2020,1947,50,21,0,607534
Chile,Antofagasta,5/25/2020,2015,68,21,0,607534
Chile,Antofagasta,5/26/2020,2063,48,23,2,607534
Chile,Antofagasta,5/27/2020,2137,74,25,2,607534
Chile,Antofagasta,5/28/2020,2248,111,28,3,607534
Chile,Antofagasta,5/29/2020,2318,70,28,0,607534
Chile,Antofagasta,5/30/2020,2429,111,29,1,607534
Chile,Antofagasta,5/31/2020,2510,81,31,2,607534
Chile,Antofagasta,6/1/2020,2585,75,32,1,607534
Chile,Araucania,2/26/2020,0,0,0,0,957224
Chile,Araucania,2/27/2020,0,0,0,0,957224
Chile,Araucania,2/28/2020,0,0,0,0,957224
Chile,Araucania,2/29/2020,0,0,0,0,957224
Chile,Araucania,3/1/2020,0,0,0,0,957224
Chile,Araucania,3/2/2020,0,0,0,0,957224
Chile,Araucania,3/3/2020,0,0,0,0,957224
Chile,Araucania,3/4/2020,0,0,0,0,957224
Chile,Araucania,3/5/2020,0,0,0,0,957224
Chile,Araucania,3/6/2020,0,0,0,0,957224
Chile,Araucania,3/7/2020,0,0,0,0,957224
Chile,Araucania,3/8/2020,0,0,0,0,957224
Chile,Araucania,3/9/2020,0,0,0,0,957224
Chile,Araucania,3/10/2020,0,0,0,0,957224
Chile,Araucania,3/11/2020,0,0,0,0,957224
Chile,Araucania,3/12/2020,0,0,0,0,957224
Chile,Araucania,3/13/2020,0,0,0,0,957224
Chile,Araucania,3/14/2020,0,0,0,0,957224
Chile,Araucania,3/15/2020,0,0,0,0,957224
Chile,Araucania,3/16/2020,1,1,0,0,957224
Chile,Araucania,3/17/2020,1,0,0,0,957224
Chile,Araucania,3/18/2020,4,3,0,0,957224
Chile,Araucania,3/19/2020,7,3,0,0,957224
Chile,Araucania,3/20/2020,9,2,0,0,957224
Chile,Araucania,3/21/2020,15,6,0,0,957224
Chile,Araucania,3/22/2020,27,12,0,0,957224
Chile,Araucania,3/23/2020,40,13,0,0,957224
Chile,Araucania,3/24/2020,59,19,0,0,957224
Chile,Araucania,3/25/2020,74,15,0,0,957224
Chile,Araucania,3/26/2020,111,37,0,0,957224
Chile,Araucania,3/27/2020,143,32,0,0,957224
Chile,Araucania,3/28/2020,177,34,1,1,957224
Chile,Araucania,3/29/2020,205,28,2,1,957224
Chile,Araucania,3/30/2020,247,42,2,0,957224
Chile,Araucania,3/31/2020,302,55,4,2,957224
Chile,Araucania,4/1/2020,343,41,6,2,957224
Chile,Araucania,4/2/2020,389,46,7,1,957224
Chile,Araucania,4/3/2020,432,43,7,0,957224
Chile,Araucania,4/4/2020,477,45,9,2,957224
Chile,Araucania,4/5/2020,509,32,13,4,957224
Chile,Araucania,4/6/2020,562,53,14,1,957224
Chile,Araucania,4/7/2020,612,50,14,0,957224
Chile,Araucania,4/8/2020,669,57,15,1,957224
Chile,Araucania,4/9/2020,689,20,16,1,957224
Chile,Araucania,4/10/2020,712,23,16,0,957224
Chile,Araucania,4/11/2020,739,27,17,1,957224
Chile,Araucania,4/12/2020,775,36,17,0,957224
Chile,Araucania,4/13/2020,795,20,17,0,957224
Chile,Araucania,4/14/2020,816,21,20,3,957224
Chile,Araucania,4/15/2020,826,10,21,1,957224
Chile,Araucania,4/16/2020,882,56,21,0,957224
Chile,Araucania,4/17/2020,907,25,22,1,957224
