Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
Asia,Afghanistan,None,2020-03-27,12.296942153609043,2.953970854384584,-48.60028871187339,0.8860666143828193,0.03516059808391498,0.09507418751463197,1.8566817286168324,0.04747080232942879
Europe,Albania,None,2020-03-23,13.512772889097402,1.3460728245148776,-28.801194998466862,1.157842723972451,0.07973313805343099,0.0525286435727124,1.9952092758721245,0.23868232100956066
Africa,Algeria,None,2020-03-21,14.43307943306621,0.9536750821293083,-15.668855094112638,0.728235881787181,0.10475398894935319,0.1637161590126755,5.588845606365434,3.8942492591806226
Europe,Andorra,None,2020-03-22,10.776171265634515,1.0800932801072853,-18.203326979659924,3.1920132832358514,0.11084797474266726,0.06163511012141691,3.349802000574185,0.3600627607446917
South America,Argentina,None,2020-03-20,6.349455607044855,0.5262105791086727,-10.713538394729445,0.21515326859106296,0.04035356986606524,0.10734494281636583,3.0924528563000644,2.3150524572725515
Asia,Armenia,None,2020-03-19,13.796683237558899,1.464820466106223,-52.13950284879321,0.5283611120776004,0.08866916201233661,0.02320442002698691,1.903205731116257,0.13776810486693272
Oceania,Australia,Australian Capital Territory,2020-04-09,4.263640936742598,0.6672335722457464,-40.6139355814889,4.1801253349499765,0.04002823279487212,0.020309454544265977,0.04409764339464684,0.021463276884264436
Oceania,Australia,New South Wales,2020-03-14,17.425065280471657,1.6725368405158592,-1.6844487718211294,7.439087733530858,0.035605471921062615,0.017757391223889373,3.091290249837254,3.8778402939172425
Oceania,Australia,Queensland,2020-03-19,9.118847381428894,0.1722770984497042,-11.190552959076019,4.381127863870273,0.037930281287216726,0.008954974899948964,5.250903015112974,0.5135322989723317
Oceania,Australia,South Australia,2020-03-22,9.202895239279334,0.16113219455163366,-31.020366794956036,4.481920458643615,0.046665650177273164,0.012383133317255402,1.87675370044555,1.4358931010690956
Oceania,Australia,Tasmania,2020-04-09,4.48926157756744,0.2718557302553603,-30.13726735700454,3.2427424349369853,0.03524128675158701,0.09944053925880814,0.8290025804047104,0.34021168882845626
Oceania,Australia,Victoria,2020-03-18,7.5004275619614225,0.554169564232367,-9.386622775022857,4.174852513291604,0.054272167384831975,0.016412162116603065,7.7894490196933965,0.05712980758293007
Oceania,Australia,Western Australia,2020-03-22,7.033555825867074,0.2129751361208777,-19.927239725354365,3.47090696418202,0.03582847051006854,0.020741646742089385,3.138645681473311,0.38892835306698437
Europe,Austria,None,2020-03-08,72.84555689281837,2.3527290536191785,-1.2022220039478748,6.2473299877079675,0.033714923122888076,0.05888627726697511,15.49981200858413,3.0884014560265327
Asia,Azerbaijan,None,2020-03-26,7.1375702737320985,1.187778955305467,-6.687525408936612,2.468313424202415,0.04085029643118278,0.02319319094428016,4.072686570129566,0.5971851051217553
Asia,Bahrain,None,2020-03-10,24.8801401625348,0.6626502119969667,-0.10893319205364063,0.2860664330612283,0.08615638293307892,0.00453284565204695,0.32319727882599153,0.6327718605631465
Asia,Bangladesh,None,2020-04-06,24.6330604379935,1.1509502587039393,-1.082167348659972,1.343702731312985,0.04881424654901682,0.05739386255423937,7.871755163082378,7.47736293887023
Europe,Belarus,None,2020-03-30,28.271652209714315,0.9421738234125887,1.9582962554431056,0.8991291944117287,0.04549030781561351,0.01791057503770491,7.618166212115435,0.2783384949273567
Europe,Belgium,None,2020-03-06,56.715466197547386,1.7404532811867341,9.475084650098907,3.090028949884959,0.1098234654680819,0.1935167670433015,1.3474861143753047,0.023947802197696336
South America,Bolivia,None,2020-03-31,12.42123740620064,2.3143360601615526,-26.789257956596092,0.9599515709843565,0.036659512118452295,0.16091803372371105,0.7242309998908171,0.2969273249651164
Europe,Bosnia and Herzegovina,None,2020-03-22,8.870660432595567,0.9157579437873198,-31.672823785632435,0.6082275513692778,0.09819198176180927,0.052940409070507115,3.047390320947102,0.1431989773790233
South America,Brazil,None,2020-03-13,35.06738057876941,0.811855613958142,5.181110120289146,0.30458152599966726,0.057172694256036105,0.15769407293651702,10.227043663981103,0.34216669696444746
Europe,Bulgaria,None,2020-03-20,13.919558788001932,1.8153843612519123,-45.94046136307156,0.7346922136541819,0.03568700070854548,0.103659527391475,1.1372510786264216,0.22909195347050715
Africa,Burkina Faso,None,2020-03-24,7.585530516043204,1.9201041229066487,-30.19909552508167,2.798265498998791,0.06803522492083953,0.08685108173884559,2.624559343511798,0.32233218084884646
Africa,Cabo Verde,None,2020-04-26,11.513083190819968,1.639696014909172,-10.934153510431525,1.3271747943070282,0.045962259981340646,0.02296617660027013,0.6443032120186245,0.07959626420201169
Asia,Cambodia,None,2020-03-29,,0.8189687028901896,-37.515946980963314,4.3690598904461595,0.0673571129995438,0.0021463301488992095,0.08546474607179497,0.07914976639862698
Africa,Cameroon,None,2020-03-29,16.524789958941643,1.5331413899674757,-30.904770104934894,1.1265609341938891,0.05664686238536121,0.05414186512745825,3.080839756488425,1.049021308186454
North America,Canada,Alberta,2020-03-19,20.12749270928598,1.0171965784090957,-16.28444652603253,0.5122517228858742,0.05928870693324693,0.03455904570058645,2.375651784336155,0.32653709238745415
North America,Canada,British Columbia,2020-03-16,7.68741431490345,1.1577917561321345,-19.73182464934025,1.2716691859125115,0.033276528714816074,0.09857879312173602,4.176756875009316,1.6048952029849075
North America,Canada,Manitoba,2020-03-31,4.94596280498302,0.9519230713960056,-28.08678695239153,2.3906156088247403,0.0832626641465379,0.023021173183374734,0.08869735750616461,1.0251263980962004
