Continent,Country,Province,Data Start Date,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
North America,US,Georgia,3/16/2020,1.264277707,4.127359949,2.117653335,1.837143964,0.045006995,8.719376518,0.121776547
North America,US,Hawaii,3/26/2020,0.653028204,-17.89232411,2.585363846,12.83388025,0.03552276,3.093476681,0.31301219
North America,US,Idaho,3/25/2020,0.876821533,-26.77700021,3.299516123,12.66629844,0.050289132,10.03131804,0.325177432
North America,US,Illinois,3/16/2020,1.184156299,3.022720976,1.359486443,17.14922077,0.117093773,10.09410044,2.254372954
North America,US,Indiana,3/21/2020,1.272359758,1.333378814,2.21155179,12.10506639,0.108201694,8.456508943,1.899886159
North America,US,Iowa,3/23/2020,0.930100501,-0.034332638,0.468120444,12.7455806,0.062851073,1.363167653,0.700724378
North America,US,Kansas,3/24/2020,1.459155878,-12.87504214,1.105631265,14.54443961,0.105180245,4.076575462,0.060564804
North America,US,Kentucky,3/22/2020,0.980801025,-10.79518781,0.792937156,2.941313439,0.064203513,6.45675127,0.099907236
North America,US,Louisiana,3/15/2020,0.741879052,13.55603199,6.066149383,6.530638805,0.075982894,11.17856587,1.289031086
North America,US,Maine,3/23/2020,1.195591817,-28.09476273,1.036747129,13.99787586,0.083634744,1.865128051,0.559116817
North America,US,Maryland,3/19/2020,1.200860192,4.017321343,1.56491845,19.80529474,0.131594466,7.215466684,0.067685246
North America,US,Massachusetts,3/12/2020,1.419598639,6.40617125,1.535901163,21.24178679,0.156836206,4.624881889,0.09855668
North America,US,Michigan,3/19/2020,0.875879025,6.973061624,3.177789163,12.83020371,0.156086004,9.188182823,1.289036902
North America,US,Minnesota,3/20/2020,0.809920529,-1.470653955,0.513497978,15.30087623,0.171968992,1.943528306,0.261042721
North America,US,Mississippi,3/21/2020,0.722450905,-7.761496678,0.469886065,6.962178929,0.06017598,5.600671112,0.272346656
North America,US,Missouri,3/22/2020,1.219979496,-0.446735989,2.726225072,15.36915134,0.085185114,8.997395895,0.705891679
North America,US,Montana,3/27/2020,1.110388288,-34.53093117,3.106895234,1.728674986,0.024996394,1.858398676,0.345623754
North America,US,Nebraska,3/27/2020,1.69781401,-22.64243511,0.626829605,19.76064098,0.071029882,1.96092527,0.053596394
North America,US,Nevada,3/20/2020,0.790883856,-3.781390725,1.141321114,11.11587138,0.078034515,5.629454803,0.11640365
North America,US,New Hampshire,3/23/2020,0.974503051,-24.57186114,0.643011506,16.56826239,0.071668622,3.783098795,0.121142684
North America,US,New Jersey,3/16/2020,1.149265284,6.512061028,2.195843505,11.37174669,0.098605251,9.49469392,7.014595999
North America,US,New Mexico,3/24/2020,1.132105616,-0.839191472,1.501280816,16.83637024,0.091177489,2.719730441,0.089687391
North America,US,New York,3/8/2020,1.483342823,9.104434538,2.77996501,10.62613199,0.097596427,8.181068889,4.263633351
North America,US,North Carolina,3/19/2020,1.352305153,-10.75647718,1.128492467,16.96535925,0.082299117,5.604080733,1.495402647
North America,US,North Dakota,3/30/2020,1.755142193,-23.96708188,0.857522337,15.7059463,0.046589883,0.24319729,0.498497063
North America,US,Ohio,3/19/2020,1.007133909,-0.161156304,0.969530424,16.11015336,0.118450671,8.39779585,0.309096949
North America,US,Oklahoma,3/24/2020,1.027945383,-6.217909133,1.911904688,9.55921631,0.096864828,8.727719666,0.880544242
North America,US,Oregon,3/20/2020,0.962080972,-12.82641288,1.187135991,11.45644589,0.065459629,5.669055943,0.094020157
North America,US,Pennsylvania,3/17/2020,1.506844432,7.441567801,3.304121623,16.59765035,0.106112769,5.276649148,0.682295147
North America,US,Rhode Island,3/23/2020,1.127901121,5.324646642,1.49157152,8.404072153,0.059403832,0.074789627,1.282960033
North America,US,South Carolina,3/20/2020,1.447072165,0.574321032,3.26225751,12.97448558,0.058517309,5.803983973,0.079950247
North America,US,South Dakota,3/30/2020,0.573204833,8.947645031,1.440305419,16.51405023,0.012921601,4.511813463,0.192645996
North America,US,Tennessee,3/19/2020,1.134122633,-1.417873682,1.785455771,12.95939304,0.042965235,6.998072898,0.106191929
North America,US,Texas,3/17/2020,1.222266317,5.848499878,2.340578608,5.877413114,0.03762168,9.041625215,0.343567278
North America,US,Utah,3/20/2020,1.125995061,-1.209831963,1.775837647,6.010328748,0.013371687,4.225194098,0.094434122
North America,US,Vermont,3/24/2020,1.020719214,-15.83747674,3.328145937,10.36716692,0.065770136,6.394093299,0.078383951
North America,US,Virginia,3/20/2020,1.257454626,-12.20509722,0.773185201,13.00722519,0.079717879,6.260949178,1.456087612
North America,US,Washington,3/7/2020,0.867744297,11.62157177,2.351601231,2.678199657,0.058097047,8.82215656,9.141198374
North America,US,West Virginia,3/28/2020,1.304866518,-10.47021698,2.297087474,7.803308968,0.045360909,2.97888874,0.062560992
North America,US,Wisconsin,3/18/2020,1.3791885,-9.548908809,1.499653653,17.10622314,0.114004173,7.17059922,0.101396403
North America,US,Wyoming,3/31/2020,1.400463369,-33.88175341,1.988735504,9.237469523,0.01877388,0.821999636,0.341966455
Asia,Uzbekistan,None,3/28/2020,1.388819905,-4.846010097,2.497140145,21.19629489,0.008797641,3.493422613,0.747180843
South America,Venezuela,None,3/26/2020,1.703269887,-25.9735358,1.933697268,15.92114806,0.070231385,0.603977109,0.074614932
Asia,Vietnam,None,3/22/2020,1.251604147,-26.25397411,2.477991507,24.35021437,0.006239722,0.089781818,0.651081711
