Continent,Country,Province,Day,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT
None,None,None,2020-03-07,47083778.05540269,35661.913764514815,6661.030832798756,230.8554896329809,8.657080861236786,49.056791547008444,173.14451036701905,6.492919138763215,36.79320845299155,425.0,85.0,15.15,2.1642702153091964,1.6232297846908037,17.0,203.0
None,None,None,2020-03-08,66530608.05650192,36467.04740794317,9355.979360521931,2263.6157113299355,85.77576612235367,481.01833865761137,600.6482733637065,22.524310251138996,127.63775808978764,514.6479932047049,150.0485785914891,112.07750188832182,21.221397293718148,5.631077562784749,30.00971571829782,849.1833459221457
None,None,None,2020-03-09,66519924.79688823,41745.530946421124,11200.96518055423,4218.6016911630095,161.78156621679958,896.4528593721396,1146.878577817093,43.00794666814099,243.71169778613225,791.0721526083372,304.20049316598374,218.8712095439291,39.54939085465322,10.751986667035247,60.84009863319676,1561.1413969595274
None,None,None,2020-03-10,66506427.0118899,48979.61377834134,13238.789078631191,6463.27531173378,250.30100559643202,1373.4460037434283,1757.2139541660335,65.89552328122626,373.4079652602822,1247.0676665231258,500.9778228241084,345.64755759385247,60.59320604750418,16.473880820306565,100.19556456482168,2406.317050625683
None,None,None,2020-03-11,66489642.22740891,58348.76138232559,15659.713205273802,9105.68764396416,355.60119862882846,1934.9586243423842,2389.669891250934,89.61262092191005,507.80485189082356,1912.0470253997623,730.9161470992277,495.4889401049408,85.365821662164,22.403155230477513,146.18322941984553,3405.2596006996055
None,None,None,2020-03-12,73358735.29684421,72330.24712904947,18633.948911611555,12643.413001076024,496.641127257485,2686.7252627286543,3065.326926157328,114.94975973089981,651.3819718084325,2824.9666334054928,997.1024329497436,689.1152134534217,118.5319968850877,28.737439932724953,199.42048658994872,4696.101423022811
None,None,None,2020-03-13,73334673.67656869,85479.27867541378,22442.12659163566,16423.3530387184,649.636443275556,3489.96252072766,3711.733139267839,139.1899927225439,788.7432920944153,4067.452822994458,1314.846914457627,902.2475449277548,153.968934737985,34.797498180635976,262.96938289152547,6116.983632851699
None,None,None,2020-03-14,79056487.12341341,108929.21993757693,26883.122373366543,21287.048194632982,846.2936688106093,4523.497741359509,4430.360953219428,166.13853574572855,941.4517025591284,5717.744215723813,1703.9992636041575,1171.3960282696605,199.5660768246842,41.53463393643214,340.7998527208315,7923.306855131069
None,None,None,2020-03-15,79024327.06721367,124902.69419156718,32744.747380946963,26813.990811973224,1071.6909709004888,5697.97304754431,5131.168511601026,192.4188191850385,1090.3733087152182,7775.616080829297,2168.259663067004,1481.1447364144678,251.38116386224897,48.104704796259625,433.6519326134009,9988.298242763118
None,None,None,2020-03-16,124469164.25571336,250719.00897285523,73263.43029057235,34832.681200534396,1394.8530659447672,7401.94475511356,6341.38777393337,237.80204152250144,1347.544901960841,10580.17856214623,2776.912722068573,1922.199150696727,326.55638625501,59.45051038062536,555.3825444137149,12982.661004644844
