Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Total Detected True,Total Detected Deaths True,Total Detected LB,Active LB,Active Hospitalized LB,Cumulative Hospitalized LB,Total Detected Deaths LB,Active Ventilated LB,Total Detected UB,Active UB,Active Hospitalized UB,Cumulative Hospitalized UB,Total Detected Deaths UB,Active Ventilated UB
None,None,None,2020-08-25,27509,4934,1002,4117,508,173,0.0,0.0,27509,4934,1002,4117,508,173,27509,4934,1002,4117,508,173
None,None,None,2020-08-26,27751,4862,992,4153,517,171,0.0,0.0,27509,4736,966,4117,508,167,28551,4988,1018,4273,619,175
None,None,None,2020-08-27,27987,4788,983,4189,525,168,0.0,0.0,27509,4613,947,4117,508,162,29121,4963,1019,4358,669,174
None,None,None,2020-08-28,28218,4714,971,4223,533,166,0.0,0.0,27511,4506,928,4117,508,159,29606,4922,1014,4430,709,173
None,None,None,2020-08-29,28444,4640,961,4257,542,162,0.0,0.0,27515,4405,912,4118,508,154,30048,4875,1010,4497,744,170
None,None,None,2020-08-30,28662,4563,949,4290,550,159,0.0,0.0,27517,4307,895,4118,508,150,30455,4819,1003,4558,778,168
None,None,None,2020-08-31,28875,4486,938,4322,558,157,0.0,0.0,27604,4214,881,4132,508,148,30839,4758,995,4614,808,166
None,None,None,2020-09-01,29082,4408,925,4353,566,154,0.0,0.0,27710,4122,865,4148,508,144,31203,4694,985,4670,835,164
None,None,None,2020-09-02,29284,4328,913,4383,573,151,0.0,0.0,27817,4030,850,4164,508,141,31550,4626,976,4722,860,161
None,None,None,2020-09-03,29480,4251,900,4413,581,149,0.0,0.0,27924,3944,835,4180,508,139,31883,4558,965,4773,885,159
None,None,None,2020-09-04,29673,4173,886,4442,589,145,0.0,0.0,28032,3858,819,4196,508,135,32207,4488,953,4823,910,155
None,None,None,2020-09-05,29861,4097,875,4470,596,142,0.0,0.0,28140,3775,806,4213,508,131,32519,4419,944,4868,932,153
None,None,None,2020-09-06,30043,4020,862,4498,603,139,0.0,0.0,28245,3694,792,4228,508,128,32820,4346,932,4914,955,150
None,None,None,2020-09-07,30220,3942,848,4524,611,136,0.0,0.0,28349,3611,777,4244,508,125,33110,4273,919,4955,977,147
None,None,None,2020-09-08,30393,3865,835,4550,618,133,0.0,0.0,28451,3531,763,4259,508,122,33393,4199,907,5000,999,144
None,None,None,2020-09-09,30561,3788,822,4575,625,131,0.0,0.0,28552,3452,749,4274,508,120,33665,4124,895,5039,1019,142
None,None,None,2020-09-10,30726,3713,809,4599,632,127,0.0,0.0,28650,3376,735,4289,508,116,33932,4050,883,5078,1039,138
None,None,None,2020-09-11,30886,3639,795,4624,639,125,0.0,0.0,28747,3301,721,4303,508,114,34191,3977,869,5119,1058,136
None,None,None,2020-09-12,31043,3564,783,4647,646,122,0.0,0.0,28841,3226,708,4317,508,111,34445,3902,858,5156,1077,133
None,None,None,2020-09-13,31194,3492,770,4670,652,120,0.0,0.0,28932,3154,695,4331,508,109,34688,3830,845,5194,1095,131
None,None,None,2020-09-14,31342,3419,756,4692,658,117,0.0,0.0,29022,3081,681,4345,508,106,34928,3757,831,5228,1112,128
None,None,None,2020-09-15,31486,3346,743,4714,665,115,0.0,0.0,29109,3009,668,4357,508,104,35160,3683,818,5264,1130,126
None,None,None,2020-09-16,31626,3275,730,4735,671,112,0.0,0.0,29192,2940,655,4370,508,101,35386,3610,805,5297,1146,123
None,None,None,2020-09-17,31763,3206,717,4755,677,109,0.0,0.0,29275,2872,642,4382,508,98,35606,3540,792,5331,1163,120
None,None,None,2020-09-18,31897,3137,704,4775,683,107,0.0,0.0,29355,2805,629,4394,508,96,35825,3469,779,5363,1181,118
None,None,None,2020-09-19,32027,3070,692,4795,688,105,0.0,0.0,29433,2740,617,4406,508,94,36035,3400,767,5395,1196,116
None,None,None,2020-09-20,32155,3005,680,4814,694,102,0.0,0.0,29510,2678,606,4418,508,91,36241,3332,754,5426,1212,113
None,None,None,2020-09-21,32278,2937,666,4833,699,100,0.0,0.0,29582,2612,592,4429,508,89,36445,3262,740,5456,1228,111
None,None,None,2020-09-22,32397,2872,653,4851,705,98,0.0,0.0,29653,2550,579,4439,508,87,36639,3194,727,5485,1243,109
None,None,None,2020-09-23,32514,2808,641,4868,710,96,0.0,0.0,29721,2489,568,4449,508,85,36832,3127,714,5513,1257,107
None,None,None,2020-09-24,32628,2745,628,4885,715,94,0.0,0.0,29788,2431,555,4459,508,83,37018,3059,701,5542,1271,105
None,None,None,2020-09-25,32739,2683,617,4902,720,91,0.0,0.0,29853,2372,545,4469,508,81,37202,2994,689,5570,1285,101
None,None,None,2020-09-26,32848,2623,605,4918,725,88,0.0,0.0,29916,2315,533,4478,508,78,37382,2931,677,5598,1299,98
None,None,None,2020-09-27,32954,2564,592,4934,730,86,0.0,0.0,29977,2260,521,4488,508,76,37560,2868,663,5624,1314,96
None,None,None,2020-09-28,33057,2506,579,4949,735,85,0.0,0.0,30036,2206,509,4496,508,75,37732,2806,649,5650,1327,95
None,None,None,2020-09-29,33157,2449,568,4964,740,83,0.0,0.0,30092,2153,499,4505,508,73,37900,2745,637,5674,1341,93
None,None,None,2020-09-30,33254,2392,556,4979,744,81,0.0,0.0,30147,2099,488,4513,508,71,38063,2685,624,5700,1353,91
None,None,None,2020-10-01,33348,2336,545,4993,749,79,0.0,0.0,30199,2047,477,4521,508,69,38222,2625,613,5723,1366,89
None,None,None,2020-10-02,33442,2283,535,5007,753,77,0.0,0.0,30250,1998,468,4529,508,68,38382,2568,602,5747,1378,86
None,None,None,2020-10-03,33532,2230,523,5020,757,75,0.0,0.0,30299,1949,457,4536,508,66,38537,2511,589,5769,1391,84
None,None,None,2020-10-04,33620,2178,513,5033,762,73,0.0,0.0,30347,1901,447,4543,508,64,38689,2455,579,5792,1404,82
None,None,None,2020-10-05,33705,2127,502,5046,766,72,0.0,0.0,30392,1854,437,4550,508,63,38837,2400,567,5814,1416,81
None,None,None,2020-10-06,33788,2076,491,5059,770,70,0.0,0.0,30436,1807,427,4557,508,61,38982,2345,555,5837,1428,79
None,None,None,2020-10-07,33869,2028,481,5071,774,68,0.0,0.0,30478,1763,418,4563,508,59,39124,2293,544,5859,1439,77
None,None,None,2020-10-08,33949,1980,471,5083,778,67,0.0,0.0,30518,1719,408,4569,508,58,39266,2241,534,5880,1452,76
None,None,None,2020-10-09,34026,1933,460,5094,781,65,0.0,0.0,30557,1677,399,4574,508,57,39404,2189,521,5900,1463,73
None,None,None,2020-10-10,34101,1885,450,5105,785,64,0.0,0.0,30595,1633,390,4580,508,56,39539,2137,510,5918,1475,72
None,None,None,2020-10-11,34174,1841,440,5116,788,62,0.0,0.0,30630,1592,381,4585,508,54,39670,2090,499,5939,1485,70
None,None,None,2020-10-12,34245,1796,431,5128,792,61,0.0,0.0,30665,1551,373,4591,508,53,39797,2041,489,5960,1496,69
None,None,None,2020-10-13,34313,1753,422,5138,795,59,0.0,0.0,30696,1512,364,4595,508,51,39924,1994,480,5978,1506,67
None,None,None,2020-10-14,34381,1711,413,5148,799,57,0.0,0.0,30728,1474,356,4600,508,49,40049,1948,470,5996,1517,65
None,None,None,2020-10-15,34446,1669,403,5158,802,55,0.0,0.0,30757,1436,347,4604,508,47,40172,1902,459,6016,1527,63
None,None,None,2020-10-16,34510,1629,394,5168,805,54,0.0,0.0,30786,1401,339,4609,508,46,40292,1857,449,6034,1537,62
None,None,None,2020-10-17,34573,1590,386,5177,808,53,0.0,0.0,30814,1366,332,4613,508,46,40409,1814,440,6051,1547,60
None,None,None,2020-10-18,34633,1551,378,5186,811,51,0.0,0.0,30839,1330,324,4617,508,44,40523,1772,432,6067,1557,58
None,None,None,2020-10-19,34692,1514,369,5195,814,50,0.0,0.0,30864,1297,316,4621,508,43,40636,1731,422,6085,1566,57
None,None,None,2020-10-20,34749,1475,360,5204,817,49,0.0,0.0,30887,1263,308,4624,508,42,40748,1687,412,6103,1577,56
None,None,None,2020-10-21,34805,1438,352,5212,820,48,0.0,0.0,30909,1230,301,4627,508,41,40858,1646,403,6119,1587,55
None,None,None,2020-10-22,34860,1404,345,5220,823,46,0.0,0.0,30931,1199,295,4630,508,39,40965,1609,395,6134,1597,53
None,None,None,2020-10-23,34914,1369,337,5228,825,45,0.0,0.0,30950,1168,287,4633,508,38,41071,1570,387,6151,1606,52
None,None,None,2020-10-24,34966,1335,330,5236,828,44,0.0,0.0,30970,1138,281,4636,508,38,41174,1532,379,6166,1615,50
None,None,None,2020-10-25,35016,1302,321,5244,831,43,0.0,0.0,30987,1108,273,4639,508,37,41276,1496,369,6182,1624,49
None,None,None,2020-10-26,35065,1269,314,5251,833,42,0.0,0.0,31004,1080,267,4642,508,36,41377,1458,361,6196,1633,48
None,None,None,2020-10-27,35112,1238,307,5258,836,41,0.0,0.0,31019,1052,260,4644,508,35,41474,1424,354,6211,1642,47
None,None,None,2020-10-28,35158,1206,300,5265,838,40,0.0,0.0,31033,1024,254,4646,508,34,41571,1388,346,6226,1650,46
None,None,None,2020-10-29,35203,1177,293,5272,840,39,0.0,0.0,31046,998,248,4648,508,33,41666,1356,338,6241,1658,45
None,None,None,2020-10-30,35247,1148,286,5278,843,38,0.0,0.0,31059,973,242,4650,508,32,41757,1323,330,6253,1668,44
None,None,None,2020-10-31,35290,1118,280,5285,845,37,0.0,0.0,31071,946,237,4652,508,31,41850,1290,323,6268,1677,43
None,None,None,2020-11-01,35332,1091,273,5291,847,36,0.0,0.0,31082,922,230,4653,508,30,41942,1260,316,6283,1685,42
None,None,None,2020-11-02,35372,1064,265,5297,849,35,0.0,0.0,31091,898,224,4655,508,30,42031,1230,306,6296,1693,40
None,None,None,2020-11-03,35411,1036,259,5303,851,34,0.0,0.0,31100,874,219,4656,508,29,42118,1198,299,6308,1702,39
None,None,None,2020-11-04,35449,1010,253,5309,853,33,0.0,0.0,31107,851,213,4658,508,28,42204,1169,293,6321,1709,38
None,None,None,2020-11-05,35487,984,247,5314,855,32,0.0,0.0,31115,828,208,4658,508,27,42288,1140,286,6332,1717,37
None,None,None,2020-11-06,35523,959,241,5320,857,32,0.0,0.0,31122,806,203,4660,508,27,42372,1112,279,6347,1725,37
None,None,None,2020-11-07,35558,935,236,5325,859,31,0.0,0.0,31127,785,199,4660,508,26,42453,1085,273,6359,1733,36
None,None,None,2020-11-08,35593,911,230,5330,861,30,0.0,0.0,31133,764,193,4661,508,25,42536,1058,267,6370,1741,35
None,None,None,2020-11-09,35626,887,225,5335,862,29,0.0,0.0,31136,743,189,4661,508,24,42615,1031,261,6383,1747,34
None,None,None,2020-11-10,35659,864,219,5340,864,28,0.0,0.0,31140,723,184,4662,508,23,42694,1005,254,6393,1755,33
None,None,None,2020-11-11,35690,841,214,5345,866,28,0.0,0.0,31143,703,179,4663,508,23,42770,979,249,6407,1763,33
None,None,None,2020-11-12,35721,820,209,5349,867,27,0.0,0.0,31145,685,175,4663,508,23,42845,955,243,6416,1769,31
None,None,None,2020-11-13,35751,799,203,5354,869,26,0.0,0.0,31147,666,170,4663,508,22,42920,932,236,6429,1777,30
None,None,None,2020-11-14,35780,779,198,5358,871,26,0.0,0.0,31147,649,165,4663,508,22,42994,909,231,6439,1785,30
None,None,None,2020-11-15,35808,759,193,5362,872,25,0.0,0.0,31147,632,161,4663,508,21,43067,886,225,6449,1792,29
Oceania,Australia,Australian Capital Territory,2020-08-25,113,0,0,15,3,0,,,113,0,0,15,3,0,113,0,0,15,3,0
Oceania,Australia,Australian Capital Territory,2020-08-26,113,0,0,15,3,0,,,113,0,0,15,3,0,114,0,0,15,3,0
Oceania,Australia,Australian Capital Territory,2020-08-27,113,0,0,15,3,0,,,113,0,0,15,3,0,114,0,0,15,3,0
Oceania,Australia,Australian Capital Territory,2020-08-28,113,0,0,15,3,0,,,113,0,0,15,3,0,114,0,0,15,3,0
Oceania,Australia,Australian Capital Territory,2020-08-29,113,0,0,15,3,0,,,113,0,0,15,3,0,114,0,0,15,3,0
