Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
None,None,None,2020-06-25,2417279,395786,79289,362513,126255,13963
None,None,None,2020-06-26,2464842,416026,82516,369648,127617,14713
None,None,None,2020-06-27,2518355,440602,86440,377673,129161,15622
None,None,None,2020-06-28,2578930,470294,91201,386761,130923,16724
None,None,None,2020-06-29,2647687,505815,96914,397075,132958,18038
None,None,None,2020-06-30,2725935,548023,103716,408812,135314,19600
None,None,None,2020-07-01,2814874,597615,111729,422153,138059,21437
None,None,None,2020-07-02,2915572,655086,121050,437260,141260,23558
None,None,None,2020-07-03,3029201,721034,131787,454298,144969,25998
None,None,None,2020-07-04,3156523,795618,143965,473400,149256,28752
None,None,None,2020-07-05,3298003,878689,157591,494623,154172,31811
None,None,None,2020-07-06,3454103,970139,172667,518036,159752,35179
None,None,None,2020-07-07,3624664,1069278,189100,543624,166019,38832
None,None,None,2020-07-08,3809053,1174939,206717,571280,173002,42712
None,None,None,2020-07-09,4006706,1286214,225397,600927,180688,46801
None,None,None,2020-07-10,4216842,1402032,244985,632450,189041,51050
None,None,None,2020-07-11,4438020,1520721,265225,665624,198030,55386
None,None,None,2020-07-12,4668935,1640851,285903,700264,207609,59774
None,None,None,2020-07-13,4908412,1761312,306835,736182,217694,64167
None,None,None,2020-07-14,5155088,1880799,327837,773184,228228,68515
None,None,None,2020-07-15,5407603,1998129,348695,811061,239125,72768
None,None,None,2020-07-16,5664742,2112338,369253,849633,250306,76900
None,None,None,2020-07-17,5925521,2222718,389394,888751,261697,80882
None,None,None,2020-07-18,6188993,2328655,408998,928270,273240,84688
None,None,None,2020-07-19,6454404,2429794,428004,968082,284847,88313
None,None,None,2020-07-20,6721123,2525902,446348,1008090,296469,91743
None,None,None,2020-07-21,6988496,2616677,463964,1048197,308051,94973
None,None,None,2020-07-22,7255881,2701839,480805,1088303,319571,97985
None,None,None,2020-07-23,7523030,2781535,496860,1128376,330993,100797
None,None,None,2020-07-24,7789865,2856125,512175,1168400,342283,103408
None,None,None,2020-07-25,8056018,2925599,526719,1208326,353407,105834
None,None,None,2020-07-26,8321092,2989865,540481,1248087,364379,108063
None,None,None,2020-07-27,8584678,3048832,553415,1287624,375189,110093
None,None,None,2020-07-28,8846783,3102861,565582,1326939,385836,111939
None,None,None,2020-07-29,9107473,3152386,577022,1366044,396294,113621
None,None,None,2020-07-30,9366508,3197473,587736,1404895,406582,115135
None,None,None,2020-07-31,9623479,3237961,597683,1443442,416702,116484
None,None,None,2020-08-01,9878026,3273763,606851,1481626,426665,117654
None,None,None,2020-08-02,10130052,3305077,615264,1519428,436471,118670
None,None,None,2020-08-03,10379516,3332176,622945,1556851,446122,119525
None,None,None,2020-08-04,10626258,3355162,629901,1593864,455619,120233
None,None,None,2020-08-05,10870054,3374091,636135,1630425,464955,120795
None,None,None,2020-08-06,11110563,3388867,641638,1666506,474149,121202
None,None,None,2020-08-07,11347550,3399495,646390,1702061,483201,121461
None,None,None,2020-08-08,11580909,3406135,650419,1737061,492109,121577
None,None,None,2020-08-09,11810417,3408830,653722,1771482,500872,121551
None,None,None,2020-08-10,12036005,3407742,656324,1805323,509487,121388
None,None,None,2020-08-11,12257614,3403085,658241,1838566,517949,121096
None,None,None,2020-08-12,12475040,3394885,659483,1871177,526256,120677
None,None,None,2020-08-13,12688151,3383218,660061,1903140,534422,120137
None,None,None,2020-08-14,12896807,3368180,659976,1934441,542429,119483
None,None,None,2020-08-15,13100854,3349795,659242,1965053,550283,118702
North America,None,None,2020-06-25,2417279,395786,79289,362513,126255,13963
North America,None,None,2020-06-26,2464842,416026,82516,369648,127617,14713
North America,None,None,2020-06-27,2518355,440602,86440,377673,129161,15622
North America,None,None,2020-06-28,2578930,470294,91201,386761,130923,16724
North America,None,None,2020-06-29,2647687,505815,96914,397075,132958,18038
North America,None,None,2020-06-30,2725935,548023,103716,408812,135314,19600
North America,None,None,2020-07-01,2814874,597615,111729,422153,138059,21437
North America,None,None,2020-07-02,2915572,655086,121050,437260,141260,23558
North America,None,None,2020-07-03,3029201,721034,131787,454298,144969,25998
North America,None,None,2020-07-04,3156523,795618,143965,473400,149256,28752
North America,None,None,2020-07-05,3298003,878689,157591,494623,154172,31811
North America,None,None,2020-07-06,3454103,970139,172667,518036,159752,35179
North America,None,None,2020-07-07,3624664,1069278,189100,543624,166019,38832
North America,None,None,2020-07-08,3809053,1174939,206717,571280,173002,42712
North America,None,None,2020-07-09,4006706,1286214,225397,600927,180688,46801
North America,None,None,2020-07-10,4216842,1402032,244985,632450,189041,51050
North America,None,None,2020-07-11,4438020,1520721,265225,665624,198030,55386
North America,None,None,2020-07-12,4668935,1640851,285903,700264,207609,59774
North America,None,None,2020-07-13,4908412,1761312,306835,736182,217694,64167
North America,None,None,2020-07-14,5155088,1880799,327837,773184,228228,68515
North America,None,None,2020-07-15,5407603,1998129,348695,811061,239125,72768
North America,None,None,2020-07-16,5664742,2112338,369253,849633,250306,76900
North America,None,None,2020-07-17,5925521,2222718,389394,888751,261697,80882
North America,None,None,2020-07-18,6188993,2328655,408998,928270,273240,84688
North America,None,None,2020-07-19,6454404,2429794,428004,968082,284847,88313
North America,None,None,2020-07-20,6721123,2525902,446348,1008090,296469,91743
North America,None,None,2020-07-21,6988496,2616677,463964,1048197,308051,94973
