Continent,Country,Province,Day,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT
None,None,None,2020-08-07,301066625.05046624,1936789.8175031955,794325.9053398676,3203048.001919406,170559.4905173829,680647.7004078741,111654.03958143549,4187.0264843038285,23726.483411055044,19435857.222119443,812102.2622499041,733175.1668007238,30028.57501799444,1046.7566210759571,162420.4524499808,4888356.44533816
None,None,None,2020-08-08,300816460.22159,1919553.102806426,787828.4014924079,3196262.538838879,170736.7738714372,679205.7895032618,111827.13833128182,4193.517687423067,23763.266895397366,19712708.441308383,816983.8076751478,741392.1382233362,29964.961301614487,1048.3794218557669,163396.76153502957,4943136.254822241
None,None,None,2020-08-09,300568347.8949003,1902711.2352160963,780968.7091345573,3188397.642473283,170847.46710293315,677534.4990255724,111967.29105054641,4198.773414395486,23793.049348241064,19988912.744212255,821843.694121809,749546.554822471,29891.227898187022,1049.6933535988715,164368.73882436176,4997499.032149808
None,None,None,2020-08-10,300322332.4765703,1886189.5366593336,773841.743649489,3179481.1759886323,170892.81216612158,675639.7498975843,112074.9298238864,4202.809868395741,23815.922587575857,20264370.442744356,826681.400044389,757636.4772936283,29807.636024893414,1050.7024670989354,165336.28000887771,5051431.848624187
None,None,None,2020-08-11,300078550.8181274,1869784.8413932396,766663.8750380942,3169456.976621139,170871.11964880538,673509.6075319919,112149.31910716304,4205.599466518615,23831.730310272174,20539002.80056695,831496.3121883633,765657.403963236,29713.659155823174,1051.3998666296538,166299.26243767262,5104904.69308824
None,None,None,2020-08-12,299837246.9297389,1853144.779735832,759801.0098189404,3158164.055169688,170777.0371131097,671109.861723559,112187.84389597618,4207.044146099103,23839.916827894893,20812756.25392406,836288.2679059939,773601.6084211916,29607.788017215826,1051.7610365247758,167257.65358119892,5157866.056141275
None,None,None,2020-08-13,299598420.4813396,1836261.37105591,753261.3901386104,3145672.8913385854,170613.48067744155,668455.4894094493,112190.96721852584,4207.161270694716,23840.5805339367,21085541.90553715,841057.2814801444,781469.092723978,29490.68335629924,1051.790317673679,168211.45629602892,5210315.951493184
None,None,None,2020-08-14,299362016.88875175,1819204.334638267,746968.6025006988,3132105.4203672954,170385.24142708798,665572.4018280503,112159.86167555519,4205.994812833321,23833.970606055496,21357267.49174314,845802.7916493315,789261.6952232802,29363.488315943396,1051.4987032083302,169160.55832986624,5262266.6348218685
None,None,None,2020-08-15,299127874.8416784,1802194.0054722487,740692.0230746019,3117679.667532725,170100.55483480304,662506.929350704,112098.40514054401,4203.690192770399,23820.911092365583,21627828.66408892,850523.3075419726,796984.5638932443,29228.246883119293,1050.9225481925998,170104.66150839452,5313752.425954962
None,None,None,2020-08-16,298895757.5665119,1785558.952410556,734074.0610866974,3102695.1690623653,169770.5732536111,659322.7234257528,112012.2231560043,4200.458368350158,23802.597420650873,21897110.707291156,855217.9680130468,804645.6725997276,29087.767209959668,1050.1145920875394,171043.59360260936,5364826.483998186
None,None,None,2020-08-17,298665642.7694366,1769326.5859326457,727073.2350844998,3087236.919505539,169398.85352756732,656037.8453949268,111902.92615846236,4196.359730942337,23779.371808673226,22165041.476100244,859886.6573200122,812246.1122863907,28942.84612036442,1049.0899327355842,171977.33146400246,5415496.081909274
None,None,None,2020-08-18,298437663.00730044,1753306.3889509547,719883.5136186647,3071227.841141462,168983.21872095892,652635.9162425608,111769.41910314492,4191.353216367935,23751.0015594183,22431581.91887311,864529.4212729328,819781.8027038983,28792.76101070122,1047.8383040919837,172905.88425458662,5465734.018025989
