Continent,Country,Province,Data Start Date,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
Asia,Afghanistan,None,3/27/2020,2.796472492,-41.93385802,1.013537679,20.11105591,0.094106442,2.206135604,0.064135528
Europe,Albania,None,3/23/2020,1.392184442,-25.57136625,1.306167503,9.263296332,0.054656591,2.055992053,0.18288058
Africa,Algeria,None,3/21/2020,0.962203342,-14.01142368,0.820348389,6.526762083,0.166369254,6.237610995,3.802208755
Europe,Andorra,None,3/22/2020,1.096887796,-20.66650064,2.925147676,6.082628576,0.061060827,3.261699525,0.42214232
South America,Argentina,None,3/20/2020,0.576196937,-11.26887996,0.298823984,18.16838353,0.112117314,3.652558789,1.753886004
Asia,Armenia,None,3/19/2020,1.696009343,-43.11676525,0.733834861,10.74867227,0.026638185,1.956792191,0.104508017
Oceania,Australia,Australian Capital Territory,4/9/2020,0.548678782,-51.22751261,4.893418987,20.97912485,0.023548927,0.035655003,0.029810104
Oceania,Australia,New South Wales,3/14/2020,1.392394657,-2.339512137,5.635675324,16.58202173,0.016138925,2.341886577,4.721004123
Oceania,Australia,Queensland,3/19/2020,0.225716314,-12.73370208,3.856498284,18.85231411,0.00920077,4.929902854,0.673169146
Oceania,Australia,South Australia,3/22/2020,0.223794703,-29.54819529,3.889266455,14.99682785,0.012542339,1.751457535,1.487371338
Oceania,Australia,Tasmania,4/9/2020,0.377577145,-27.68291505,2.958274543,17.64294098,0.093106417,0.743103537,0.372706711
Oceania,Australia,Victoria,3/18/2020,0.450267532,-11.06783142,3.77696224,13.84092556,0.017005305,8.159631007,0.07933924
Oceania,Australia,Western Australia,3/22/2020,0.241632074,-22.6042643,3.172952844,18.92471363,0.020510575,3.103244061,0.393898268
Europe,Austria,None,3/8/2020,1.867839916,-1.669752764,4.732848609,21.28972118,0.060210881,15.81038854,4.289446465
Asia,Azerbaijan,None,3/26/2020,1.208396067,-5.204309184,2.972934019,18.31576565,0.024506292,4.521784148,0.45241303
Asia,Bahrain,None,3/10/2020,0.753106141,-0.150008867,0.397314482,11.06217948,0.00540709,0.244846498,0.479372624
Asia,Bangladesh,None,4/6/2020,1.391156037,-0.908407201,1.866253778,15.24240846,0.064572841,6.825548183,6.263082739
Europe,Belarus,None,3/30/2020,1.112953462,2.719855399,1.248790547,18.15801987,0.021319453,5.830658783,0.210863177
Europe,Belgium,None,3/6/2020,1.746520766,8.429727903,2.9147309,8.67826715,0.216742414,1.769002854,0.033136396
South America,Bolivia,None,3/31/2020,2.396601306,-20.73136427,1.33323102,19.18978283,0.157375572,0.984462332,0.336517596
Europe,Bosnia and Herzegovina,None,3/22/2020,1.103638733,-27.60654509,0.84476036,9.706262505,0.059934484,3.02538008,0.1084843
South America,Brazil,None,3/13/2020,0.897953239,5.863676825,0.421603051,13.14162786,0.167887144,7.747760365,0.259217195
Europe,Bulgaria,None,3/20/2020,2.07407172,-37.70464078,1.020405333,20.10201299,0.10487941,1.305080583,0.17355452
Africa,Burkina Faso,None,3/24/2020,1.84117096,-33.59486299,2.506466769,14.00858707,0.100846355,2.601372928,0.366185907
Africa,Cabo Verde,None,4/26/2020,1.442271091,-11.0090535,1.466902182,12.52440083,0.017691178,0.720841023,0.08
Asia,Cambodia,None,3/29/2020,0.767302071,-28.68832638,3.540985151,9.466298329,0.002981014,0.08298718,0.076397071
Africa,Cameroon,None,3/29/2020,1.4172805,-26.61444692,1.564656009,12.43034781,0.052109913,4.278944106,1.456974036
North America,Canada,Alberta,3/19/2020,0.955159748,-20.25591867,0.406997337,16.07519243,0.042352768,2.465339528,0.347791097
