,Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
0,Asia,Afghanistan,None,2020-03-27,9.929809487383318,0.7500056091723103,5.018101927380487,1.4978959621854893,0.07378768760026895,0.0625972043595739,0.5890973216765568,0.8870570153134998
0,Europe,Albania,None,2020-03-23,6.9666822790603815,0.7500018686469336,-9.999996372921627,1.0553131033004222,0.4999994313410369,0.0463273673697503,0.37272863386554206,1.15268869768098
0,Africa,Algeria,None,2020-03-21,16.274926565101968,0.8153215080020555,-0.9874392319470812,1.5057805953617074,0.30548015315937566,0.1680967841104835,9.999787522452426,1.287987650141601
0,Europe,Andorra,None,2020-03-22,16.164355243275217,0.7500003510664679,-4.496106209209685,2.9999999416362995,0.11204238137970934,0.062064341064366264,1.957246374673891,0.7753262149782255
0,South America,Argentina,None,2020-03-20,6.865677687575426,0.7500000921728841,-1.007842221027181,1.160165376365646,0.050000044003203986,0.09968945550270741,0.9742515786186283,2.663062758685238
0,Asia,Armenia,None,2020-03-19,15.814030135934189,0.7500000882148724,-8.40123020690656,1.0000533567143908,0.05000003991792844,0.030993834179742507,1.9787389342754547,0.6621060483221666
0,Oceania,Australia,Australian Capital Territory,2020-04-10,9.897750456616098,0.7500000029113507,-9.999999939802764,2.999999984737871,0.12969071840159352,0.013990530828537955,0.10000000027672153,0.10000000013232539
0,Oceania,Australia,New South Wales,2020-03-14,17.120308246241656,0.7500000027254098,-1.250403460020607,2.999999991720675,0.08344175277948,0.010539968275634415,9.999999940123887,1.0293600420186202
0,Oceania,Australia,Queensland,2020-03-19,11.341107377055813,0.7500000083598044,-9.999999736341216,2.999999964387825,0.05000000030503348,0.010000000032628083,1.696940005787162,1.792106185022757
0,Oceania,Australia,South Australia,2020-03-23,11.6827724373747,0.7500000209896697,-9.999999506272049,2.9999999057580955,0.05000002826997368,0.013687763267397447,0.10000004755615466,1.1577462874197895
0,Oceania,Australia,Tasmania,2020-04-09,3.39753954608436,0.7500000163028115,-9.999999977900673,2.999999973350115,0.31687898359310995,0.02749611646648747,0.10000001806521937,0.5041460257036475
0,Oceania,Australia,Victoria,2020-03-18,11.92609249458403,0.7500000030754996,-9.999999904447863,2.9999999938542143,0.1190226003912279,0.012669583978519893,5.461383440879178,0.793261294758294
