Country,Province,Day,1 Week Earlier,Current,Percentage_Decrease
Afghanistan,None,2020-05-17,148,188,21.3
Albania,None,2020-05-17,32,36,11.1
Algeria,None,2020-05-17,491,669,26.6
Andorra,None,2020-05-17,44,49,10.2
Argentina,None,2020-05-17,362,398,9
Armenia,None,2020-05-17,49,60,18.3
Australia,Australian Capital Territory,2020-05-17,3,3,0
Australia,New South Wales,2020-05-17,25,48,47.9
Australia,None,2020-05-17,79,105,24.8
Australia,Queensland,2020-05-17,7,7,0
Australia,South Australia,2020-05-17,4,4,0
Australia,Tasmania,2020-05-17,14,14,0
Australia,Victoria,2020-05-17,17,19,10.5
Australia,Western Australia,2020-05-17,9,9,0
Austria,None,2020-05-17,211,666,68.3
Azerbaijan,None,2020-05-17,25,38,34.2
Bahrain,None,2020-05-17,11,14,21.4
Bangladesh,None,2020-05-17,220,371,40.7
Belarus,None,2020-05-17,135,192,29.7
Belgium,None,2020-05-17,1125,9225,87.8
Benin,None,2020-05-17,3,3,0
Bolivia,None,2020-05-17,134,192,30.2
Bosnia and Herzegovina,None,2020-05-17,104,119,12.6
Brazil,None,2020-05-17,13400,17178,22
Bulgaria,None,2020-05-17,94,113,16.8
Burkina Faso,None,2020-05-17,48,54,11.1
Cabo Verde,None,2020-05-17,3,3,0
Cambodia,None,2020-05-17,0,0,NaN
Cameroon,None,2020-05-17,119,145,17.9
Canada,Alberta,2020-05-17,85,143,40.6
Canada,British Columbia,2020-05-17,118,146,19.2
Canada,Manitoba,2020-05-17,7,7,0
Canada,New Brunswick,2020-05-17,0,0,NaN
Canada,Newfoundland and Labrador,2020-05-17,3,3,0
Canada,None,2020-05-17,3563,6255,43
Canada,Nova Scotia,2020-05-17,34,52,34.6
Canada,Ontario,2020-05-17,713,2105,66.1
Canada,Quebec,2020-05-17,2595,3790,31.5
Canada,Saskatchewan,2020-05-17,7,9,22.2
Central African Republic,None,2020-05-17,1,1,0
Chad,None,2020-05-17,47,60,21.7
Chile,None,2020-05-17,339,471,28
Colombia,None,2020-05-17,483,652,25.9
Congo (Brazzaville),None,2020-05-17,13,14,7.1
Congo (Kinshasa),None,2020-05-17,46,60,23.3
