Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Second Wave Jump,Jump Time,Jump Decay
North America,US,Alabama,2020-03-20,51.76016126490975,0.41738840932360266,3.8028748594722006,0.005529075294369549,2.9449423530682353,0.03928102199938944,0.17208798538169742,10.31511939973671,1.5958700940775388,0.03964929610345452,71.1775838839527,0.5000000155026826
North America,US,Alaska,2020-03-28,11.842015934713068,0.6462821840236368,-609.7885487124196,0.029964716770863948,2.884894061369119,0.020221766441997278,0.49999999512103493,0.07466182346838006,0.5747074308533924,0.2573171502202646,57.04283461197923,2.9999943256795034
North America,US,Arizona,2020-03-21,27.777712544760625,0.4708456360252829,-8.832984968980913,0.013991714406550183,0.9974134769481122,0.042165986348234034,0.16839161641708245,0.5273822259678337,7.217557074413422,0.48229901080895254,84.63971911376213,0.5000054984988417
North America,US,Arkansas,2020-03-20,15.617154530469424,0.7014678344568831,-100.39647330635268,0.09142232030551034,1.8563223782880336,0.019557115199875668,0.26355852564480714,1.2970187351155376,0.9472897954843555,0.1207112606552499,69.85649065384234,2.4078687440469504
North America,US,California,2020-03-07,111.20010109673657,0.5045028366670755,-107.73947200328911,0.03442979199601576,2.979761261519243,0.04219849273042306,0.1421767117728385,56.056840786170405,0.085929394994601,3.4296209243315126e-08,96.99250189185567,0.5000003398421625
North America,US,Colorado,2020-03-14,25.76025104524227,0.6071170445585813,0.1598061745874485,0.3781178492222984,0.22924180165968006,0.061328352599211114,0.062889988216504,15.242401648772615,0.016232847693049147,0.17529793446203587,87.97127415139124,0.5000000281765359
North America,US,Connecticut,2020-03-19,25.264601114305815,0.710098067654427,0.37891441350026045,0.685405016807174,0.15097724159374096,0.10805947133970648,0.1054220660807756,20.893181786400365,0.06302329642184104,0.3798829242962437,87.49750226730393,0.5000028336337816
North America,US,Delaware,2020-03-24,4.863375762183209,0.8627975465882536,-1.8615750547633865,0.7228446060577634,0.1308341976142574,0.05010213924883886,0.145491864619125,4.026560999124538,0.026861072292502296,0.16059646030973093,81.51407182425096,0.5000005169506633
North America,US,District of Columbia,2020-03-23,17.466455832683632,0.6301614569362319,2.4040391355155757,0.4564928420878466,0.2906027702616686,0.058242004347533995,0.06565012076084614,5.440102074298638,0.16417017419578858,0.03113211004328704,84.17650056424652,0.5000052786997441
North America,US,Florida,2020-03-16,82.7369249479792,0.38248447017834164,0.5711963286770144,0.035298005966160007,0.25747440161852936,0.04975495197470239,0.1559452554585465,20.94746623732787,45.10033504315085,0.4188205114767045,80.53045419754092,0.6058745162180074
North America,US,Georgia,2020-03-16,32.92287554923818,0.38405517789294275,0.0751591945564684,0.04381405077307435,0.4315807602119893,0.04723670988007687,0.06605819653169158,44.869294638301575,0.020759500529393377,0.30013989712757844,86.77364158249624,0.5000000047501911
North America,US,Hawaii,2020-03-26,8.603798255604787,0.8053707140693063,-158.25435740282947,0.3480613334216936,0.1427730035036244,0.029173348330274376,0.4999907509308889,1.8108516671786492,0.8832777360409366,0.33233113676496884,58.738732799868785,0.5000055688572546
North America,US,Idaho,2020-03-25,20.064834380903456,0.8282362884019421,-1307.8226683666646,0.01996744761180242,1.9487358196591318,0.031326835173579856,0.3476329204620135,0.17346531226771347,3.26999474910365,1.7867546364510344e-08,79.7812134483986,0.500000013253813
North America,US,Illinois,2020-03-17,29.62922746041972,0.5458338259447679,24.49389807267495,0.5466710326108041,0.2422477400036811,0.0513011534493991,0.042096174634904206,1.3819931135831063,9.711955438838057,2.7541909175872174e-10,88.88693640626808,0.5000000430646911
North America,US,Indiana,2020-03-21,19.565049748717332,0.49640523431711364,0.1050578865085199,0.23341259179439172,0.7014952908559847,0.06656304790873946,0.06235216355912251,27.04848842775822,0.5542815468385481,3.751947811672763e-09,85.19530883035182,0.5000000232900218
North America,US,Iowa,2020-03-23,6.654019278324816,0.9102255878642349,-0.016749599165079676,0.6267520870571035,0.16439015703574758,0.03491391089373407,0.15976405190463405,2.594223430410946,0.7144702481633131,0.06079090806897768,71.76985043221828,0.5000000112622492
North America,US,Kansas,2020-03-24,11.198614768464697,0.932683586036368,-2.9723641067748643,0.8003701023672843,3.7088759562877134,0.027037029078432178,0.26010732071086956,3.1850311892865744,0.25328096157758195,0.1823370572253958,73.86074143648797,0.500000110022282
North America,US,Kentucky,2020-03-22,17.982311751534606,0.6499826338118938,-92.5720829771429,0.12004170564202193,17.45214006187716,0.05018045105880016,0.17686744360173273,10.816300397087787,0.0036405234402021066,0.020173682525473618,63.55466840248821,0.5000207841325812
North America,US,Louisiana,2020-03-16,56.28514964270727,0.3635191366152759,0.20072345101731598,0.16330093521587988,0.37533653281516477,0.07675826372076794,0.11604193642489213,56.15691135285205,14.894190479886634,0.23724268947974048,63.82736704953627,0.5000000032390683
North America,US,Maine,2020-03-23,25.072726589516705,0.6212617251004081,-55.25424911847011,0.14992712004391312,3.0705024872148585,0.04584993708455213,0.20268221213665696,0.14220939579043465,1.231740461904482,4.1154486212413756e-08,92.9995984415175,0.5000030459626222
North America,US,Maryland,2020-03-19,62.916076953267584,0.7218252900846297,0.04928157619010449,0.412058087692654,2.1013120697758314,0.055269970504894426,0.10459670442658328,15.408479077038766,0.004903082184678411,2.5604154124528743e-11,86.95643973403686,0.5000004643268049
North America,US,Massachusetts,2020-03-12,39.315613664924285,2.298309408289252,1.3503011063381072,2.237164120547772,0.11926990789925593,0.07495232997764094,1.1921331067697463e-07,3.915242454431194,0.0493069507155873,0.20519253509154517,100.5844388995824,0.5000005427153003
North America,US,Michigan,2020-03-19,36.8092809469599,0.46350183302345616,0.8312063557661138,0.3474870001804018,0.18529360466961647,0.11381143246088712,0.18720755145698179,48.372583395533425,5.987634116417039,0.378844757504294,88.25654235778443,0.500005355456979
