Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Second Wave Jump,Jump Time
North America,US,Alabama,2020-03-20,54.06059645813485,0.4213091899634638,5.9703785862273575,0.0026446250784828446,3.52647078492492,0.036237632956408,0.15829907130539772,7.393382929432221,3.66911316678971,0.08930729325347077,88.32048281608945
North America,US,Alaska,2020-03-28,13.50715684776883,0.5810387305609016,-811.6228350446229,0.01579632411141767,5.682503789243429,0.018768354044143662,0.4999999119131057,0.03582140987750823,0.49399699088957394,0.07497855659142003,56.591240256112016
North America,US,Arizona,2020-03-21,29.77621981316939,0.48886081073584836,-4.987544895395749,0.00669381858039926,2.9155028335032833,0.033706411851448015,0.15387323336179104,0.29095126759509804,5.829903162281668,0.07816012552532345,78.03033571893525
North America,US,Arkansas,2020-03-20,16.091671247258297,0.6530372142400324,-195.64430461832046,0.043727011711912026,3.6174471153826,0.017884887819663423,0.25639155565691707,0.6271994049155898,1.6041430036849686,0.029325907085458725,64.34227478042104
North America,US,California,2020-03-07,106.60889520589677,0.46342629815575415,-78.03809330060655,0.02487647939813645,4.406833525852275,0.03898171565461073,0.13426762699545344,59.45153749488427,0.08321272359417567,0.1286254163367203,99.50847183556589
North America,US,Colorado,2020-03-14,32.673016041270515,0.5658389158589251,0.0764889857153061,0.3234399453727287,0.3531258840292781,0.05916647508351527,0.05506451482469073,17.10223521432371,0.013651167310959448,0.23915042616969712,93.15442529716003
North America,US,Connecticut,2020-03-19,25.96488622474739,0.6655475238551667,0.4453551293884209,0.6162930435863185,0.15365033045726326,0.10780110056045321,0.1067059308361025,22.602873419149514,0.09376491859367199,0.4504709631755466,93.9924935354364
North America,US,Delaware,2020-03-24,5.429745673821191,0.7829673895755577,-3.3047053223853378,0.6095263667388144,0.10155250460615294,0.04583233404886732,0.0006817884674940083,4.948518491631672,0.0234580622702599,0.17965581685839313,82.39074823150652
North America,US,District of Columbia,2020-03-23,16.36467432891264,0.6292183451459998,2.624570838368719,0.461800185901311,0.29607909525827425,0.05783309802579991,0.05935682471835039,5.358306875876509,0.20043629472276916,0.14444646377696774,90.99707834892
North America,US,Florida,2020-03-16,66.31766016542063,0.4079174837200791,1.3624450457283588,0.016882926233860094,0.5017447728401659,0.041862091983514094,0.14968911977877875,10.019108189715197,36.66004808094328,0.9999999842278009,96.79661921335818
North America,US,Georgia,2020-03-16,39.60532438984813,0.37399016544994435,0.17968699269663388,0.02095612479254042,0.8410285723320204,0.049678979233030995,0.14892397146554062,46.2513138356892,0.008090847767805923,0.2841531764641091,88.52173169314861
North America,US,Hawaii,2020-03-26,12.816716308235733,0.9224619264801538,-305.22871226148914,0.1414135508617996,0.3066519811433668,0.025290587804222314,0.20002463962007405,0.9523575391224737,1.024194247920018,0.10019134304030392,85.99998524559061
North America,US,Idaho,2020-03-25,20.57410492726,0.988796272233191,-2315.5030238501736,0.014636479667338694,2.7629376031484276,0.027555861494309473,0.3541954431126394,0.08298610183203334,3.375330135283061,0.5968587979756022,86.8942936926984
North America,US,Illinois,2020-03-17,33.86599110029858,0.4230431015622084,39.29519793663884,0.6174568696063814,0.20907656270563107,0.052698604749637744,0.05381756848203676,1.4342916351490713,12.715999798458304,0.30294672057604793,91.26952274551913
North America,US,Indiana,2020-03-21,26.441813715504072,0.47434309415587367,0.0733030906917613,0.20931950482611805,1.6726531444792498,0.07309244064059617,0.15232750173832468,29.512509201571223,0.2287434924371766,0.3384904189771726,91.92404307126213
North America,US,Iowa,2020-03-23,7.28433864617892,0.8788491569863102,-0.027634700205658273,0.5902461137191988,0.18083021515986572,0.03444700827721248,0.1751727671149205,2.766497633314664,0.755670047898703,0.09090479771489997,76.75970326286131
North America,US,Kansas,2020-03-24,13.30691851862628,0.6109585403354877,-5.440414496656708,0.3828144854579607,5.910219522712024,0.02596718942279219,0.25371706344669137,6.041354584258739,0.36617572635209483,0.24068897743305528,76.87999321698716
North America,US,Kentucky,2020-03-22,18.20257425241444,0.5868825081306364,-134.52927090224046,0.07301607847565525,23.80326392616319,0.0483037516465337,0.16437087621827592,11.574744333687736,0.001324105778116945,0.08968449601325242,88.89124460162809
North America,US,Louisiana,2020-03-16,82.1969254159957,0.3427420316555978,0.32003425927588364,0.052070889055394705,0.7314248171286858,0.07866408872557328,0.17569109797881285,39.052738620095425,29.024547258616085,0.23111619292272717,76.90767502690899
North America,US,Maine,2020-03-23,23.665345669579352,0.555821994382325,-36.67010234529042,0.1457096404921678,5.428530442144192,0.04407242056229849,0.1913570646945569,0.0720907623886897,1.304242209902534,0.021917060143204235,90.05203318139797
North America,US,Maryland,2020-03-19,60.58950504634395,0.7231360864620279,0.06203508843715619,0.41352091213713155,4.094659043320353,0.05441466310913849,0.09523046004250552,15.338156679075286,0.008274788611581676,2.5323347533101187e-10,93.81044124167859
North America,US,Massachusetts,2020-03-12,37.06106468122703,2.275060649765455,1.3407406644399653,2.2265327013108953,0.11727865252298134,0.0751870331134079,2.4765552447222432e-08,4.014316969677915,0.05553996096298864,0.2841939188315671,105.7367813238053
