Continent,Country,Province,Day,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT
None,None,None,2020-03-07,47083988.984134026,35483.54481875934,6628.471047216531,240.92867562362292,9.034825335885861,51.19734357001987,163.07132437637708,6.11517466411414,34.65265642998013,425.0,85.0,15.15,2.2587063339714653,1.528793666028535,17.0,203.0
None,None,None,2020-03-08,66530823.69830865,36306.65973289166,9314.042746709594,2279.5407062685213,86.38299055653488,484.4024000820608,573.8979163287097,21.52117186232661,121.95330721985081,515.6628669857649,149.23785245268562,111.6779763526936,21.370694121267388,5.380292965581653,29.847570490537123,846.5198423512908
None,None,None,2020-03-09,66520122.44471419,41622.81480390506,11154.79437519792,4245.727156354688,162.82671171602868,902.2170207253713,1096.1380175393251,41.10517565772468,232.92932872710668,793.9439163148351,302.05877967450823,218.00838320128767,39.8036920908252,10.27629391443117,60.41175593490164,1555.3892213419176
None,None,None,2020-03-10,66506595.85106749,48899.815691518575,13194.344909711888,6497.236340677493,251.6275152184063,1380.6627223939677,1686.8135112095654,63.2555066703587,358.4478711320327,1252.602694911659,496.3421690721744,344.3096499385697,60.91159069385151,15.813876667589675,99.26843381443487,2397.3976662571317
None,None,None,2020-03-11,66489771.95871726,58315.87967985044,15621.906123301076,9140.43946475051,356.98453300463126,1942.3433862594834,2307.0698275097957,86.51511853161732,490.2523383458315,1920.5790630709714,723.0717481278219,493.7176643880198,85.69161998203604,21.62877963290433,144.61434962556444,3393.4510959201325
None,None,None,2020-03-12,73358816.00962992,72347.5092769374,18606.387436873243,12674.646596159935,497.9169770535983,2693.3624016839867,2977.4915738604304,111.65593401976614,632.7169594453417,2836.348307219347,985.9549068462114,687.0028096886584,118.82481183899938,27.913983504941534,197.19098136924225,4682.018731257724
None,None,None,2020-03-13,73334696.6086337,85548.4047182888,22427.77517249491,16449.047594978656,650.7239787390256,3495.422613932965,3623.817952292043,135.89317321095157,770.0613148620591,4081.285371818054,1300.9594756929328,899.9163442658005,154.2098212029249,33.97329330273789,260.1918951385865,6101.442295105337
None,None,None,2020-03-14,79056463.34428689,109036.93991622026,26879.370066666575,21308.278736724933,847.2277095324114,4528.009231554048,4344.576859065288,162.92163221494823,923.2225825513735,5733.559478325492,1688.5495002722446,1168.9903719072222,199.76511315679622,40.73040805373706,337.7099000544489,7907.269146048147
None,None,None,2020-03-15,79024239.25591128,125056.48624011212,32757.11097575218,26830.976836906986,1072.4751428446987,5701.582577842734,5049.578512277554,189.35919421040828,1073.0354338589802,7793.015513858413,2153.123661085224,1478.7944061865498,251.540407846003,47.33979855260207,430.6247322170447,9972.629374577
None,None,None,2020-03-16,124469022.62750924,250896.2285089959,73299.2135297506,34856.981172434454,1395.9187194294957,7407.108499142321,6254.900163186755,234.5587561195033,1329.1662846771856,10598.986032848232,2764.310824208278,1920.0579135613866,326.78419849157297,58.639689029875825,552.8621648416555,12968.386090409243
None,None,None,2020-03-17,178816183.3332891,324811.1868851064,93018.09340779125,51057.27089878496,2035.157931177246,10849.670065991806,9589.620161312909,359.61075604923406,2037.7942842789919,14269.227440306564,3540.0348801410037,2785.151592541281,478.661914676109,89.90268901230851,708.0069760282003,18747.677283608544
None,None,None,2020-03-18,184565133.0578098,349987.0292671221,106394.26313009416,70727.90712695301,2818.689485578045,15029.680264477514,12826.949986011276,481.0106244754229,2725.7268720273955,19468.882492970704,4591.802940502164,3833.119493789865,663.0741293151846,120.25265611885573,918.3605881004326,25734.129958599107
None,None,None,2020-03-19,232981590.94864902,479113.36676165275,121955.22781327451,94794.49508124022,3782.5385145806185,20143.830204763544,16322.926139013545,612.1097302130079,3468.6218045403784,26597.455711165905,5985.479590531558,5118.823703281463,888.6983913866273,153.02743255325197,1197.0959181063113,34341.49135520976
