Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Total Detected True,Total Detected Deaths True,Total Detected LB,Active LB,Active Hospitalized LB,Cumulative Hospitalized LB,Total Detected Deaths LB,Active Ventilated LB,Total Detected UB,Active UB,Active Hospitalized UB,Cumulative Hospitalized UB,Total Detected Deaths UB,Active Ventilated UB
None,None,None,2020-03-14,112,100,15,15,2,4,112.0,2.0,112,100,15,15,2,4,112,100,15,15,2,4
None,None,None,2020-03-15,132,113,17,18,2,4,134.0,2.0,132,113,17,18,2,4,132,113,17,18,2,4
None,None,None,2020-03-16,186,159,24,26,2,6,171.0,2.0,186,159,24,26,2,6,186,159,24,26,2,6
None,None,None,2020-03-17,268,227,35,38,2,8,210.0,4.0,268,227,35,38,2,8,268,227,35,38,2,8
None,None,None,2020-03-18,491,433,67,72,3,17,388.0,5.0,491,433,67,72,3,17,491,433,67,72,3,17
None,None,None,2020-03-19,815,724,112,121,3,26,572.0,5.0,815,724,112,121,3,26,815,724,112,121,3,26
None,None,None,2020-03-20,1015,872,137,150,4,33,658.0,6.0,1015,872,137,150,4,33,1015,872,137,150,4,33
None,None,None,2020-03-21,1238,1031,163,184,5,38,886.0,6.0,1238,1031,163,184,5,38,1238,1031,163,184,5,38
None,None,None,2020-03-22,1793,1508,237,266,6,57,1605.0,7.0,1793,1508,237,266,6,57,1793,1508,237,266,6,57
None,None,None,2020-03-23,2141,1748,277,319,9,64,1719.0,7.0,2141,1748,277,319,9,64,2141,1748,277,319,9,64
None,None,None,2020-03-24,2495,1981,317,372,11,74,2126.0,8.0,2495,1981,317,372,11,74,2495,1981,317,372,11,74
None,None,None,2020-03-25,2851,2200,355,426,13,81,2488.0,8.0,2851,2200,355,426,13,81,2851,2200,355,426,13,81
None,None,None,2020-03-26,3200,2398,389,478,16,88,2981.0,13.0,3200,2398,389,478,16,88,3200,2398,389,478,16,88
None,None,None,2020-03-27,3539,2574,421,528,19,95,3390.0,13.0,3539,2574,421,528,19,95,3539,2574,421,528,19,95
None,None,None,2020-03-28,3863,2725,450,577,20,100,3943.0,14.0,3863,2725,450,577,20,100,3863,2725,450,577,20,100
None,None,None,2020-03-29,4174,2851,474,624,23,106,4340.0,17.0,4174,2851,474,624,23,106,4174,2851,474,624,23,106
None,None,None,2020-03-30,4466,2954,496,667,25,109,4791.0,17.0,4466,2954,496,667,25,109,4466,2954,496,667,25,109
None,None,None,2020-03-31,4742,3034,514,707,30,110,5040.0,17.0,4742,3034,514,707,30,110,4742,3034,514,707,30,110
None,None,None,2020-04-01,4999,3089,528,747,33,113,5398.0,18.0,4999,3089,528,747,33,113,4999,3089,528,747,33,113
None,None,None,2020-04-02,5238,3127,538,782,35,113,5733.0,22.0,5238,3127,538,782,35,113,5238,3127,538,782,35,113
None,None,None,2020-04-03,5462,3146,546,816,37,114,6011.0,26.0,5462,3146,546,816,37,114,5462,3146,546,816,37,114
None,None,None,2020-04-04,5670,3147,553,847,42,114,6301.0,27.0,5670,3147,553,847,42,114,5670,3147,553,847,42,114
None,None,None,2020-04-05,5860,3135,555,877,44,115,6521.0,32.0,5860,3135,555,877,44,115,5860,3135,555,877,44,115
None,None,None,2020-04-06,6038,3109,557,902,46,112,6693.0,37.0,6038,3109,557,902,46,112,6038,3109,557,902,46,112
None,None,None,2020-04-07,6201,3071,555,928,48,110,6842.0,42.0,6201,3071,555,928,48,110,6201,3071,555,928,48,110
None,None,None,2020-04-08,6353,3023,552,952,52,108,6995.0,46.0,6353,3023,552,952,52,108,6353,3023,552,952,52,108
