"State","Data Start Date","Infection Rate","Median Day of Action","Rate of Action","Mortality Rate","Internal Parameter 1","Internal Parameter 2"
"Alabama","2020-03-20",1.0755326343364193,-2.5616265317694027,1.876821141068007,0.06897800622013128,7.651343082653526,0.20663165674081996
"Alaska","2020-03-28",0.9369606508134435,-8.344494138364082,2.3059900474812935,0.055963656230596605,1.1313498199769811,0.16127929684677053
"Arizona","2020-03-21",1.017456898023904,1.33905257464578,2.780333679228276,0.08218056275375674,7.139356455990491,1.57487454202897
"Arkansas","2020-03-20",0.7016991519000886,-6.606938436548003,2.6896922065453364,0.048299543982376,6.404674047372894,0.1470399018981164
"California","2020-03-19",0.9106511910811286,4.627732283851104,2.1678353767392844,0.07601030751558832,3.852267429866723,0.5200090662099932
"Colorado","2020-03-19",0.6995946818102076,5.229746576932856,2.82903299220727,0.09119539314336104,7.879828771521838,0.26514421430319496
"Connecticut","2020-03-19",0.8318099318749735,11.679332620565212,2.319452982746668,0.12205714237955391,7.2029842710800045,1.2661692131991356
"Delaware","2020-03-24",1.243133078505583,-4.208246265468612,1.6169196351226582,0.06845502903439177,3.669589930437676,0.19854057024121746
"District of Columbia","2020-03-22",1.26025959824103,-2.8891936472479776,1.806678636945739,0.06251511115335737,4.53558426826946,0.14888731084678997
"Florida","2020-03-19",0.9046956676391416,7.198844633718529,2.2416193552814914,0.057044363386420424,2.399843032324311,2.459506936617224
"Georgia","2020-03-19",0.7582072681945444,9.882833009517931,2.4347717507561994,0.11298932787891991,7.540330125981426,1.3557509793464464
"Hawaii","2020-03-26",0.6174766775627173,-7.827753286785196,2.9161398931674234,0.02556934973315138,3.2325907062899404,0.0762246183690274
"Idaho","2020-03-25",0.674293010321133,4.143761567028708,2.450070053283536,0.04869350233964063,5.037947047307101,0.44969254375598144
"Illinois","2020-03-19",0.9416773761055854,6.86617838325963,2.6213049455549475,0.09037883997231844,6.298059532619082,0.3219103058246758
"Indiana","2020-03-21",0.7373806731824248,9.869708170910025,2.3737860206238874,0.10957131346071022,6.375380181395556,4.772272657290452
"Iowa","2020-03-23",1.0163548511467873,-4.2013619158241715,1.9216852271744564,0.07023021890912923,5.038329507542948,0.17600053187499679
"Kansas","2020-03-24",0.9025806529807969,-7.181421052992833,2.6195944994333447,0.08910105169013066,10.098791189859513,0.20592127790450707
"Kentucky","2020-03-22",1.0913628302052858,-5.121002615280895,2.3319522496259433,0.1284726068624154,9.467327717993378,0.15552094524439652
"Louisiana","2020-03-19",1.0425077800883562,9.236417870261485,3.019708446171617,0.1282409783345514,3.5734798156624867,1.1205138627459137
"Maine","2020-03-23",0.7886070075683388,-7.34572157817832,1.842578419236166,0.06674254175909777,2.819243991773198,0.10531007143302988
"Maryland","2020-03-19",1.0317789776140192,7.603118059030583,2.253107634447418,0.05765028875724986,6.167724011323749,0.49308794317407356
"Massachusetts","2020-03-19",1.0193019730089752,6.6326539874841135,3.2341109165944024,0.0758316340508012,8.247960585506831,0.08678540321463576
"Michigan","2020-03-19",0.7851772700383257,9.54718251348525,2.8811278307467654,0.13632820654200048,9.240041132554476,1.2686323771229728
"Minnesota","2020-03-20",0.7193696327317276,-4.873774099447233,2.3892665071696193,0.06336792066044528,5.45267575989916,0.09340658893972899
"Mississippi","2020-03-21",0.8287971586885787,-3.820475778568311,1.0554410662049398,0.08133525625370576,4.6807090960476705,0.8741739408595013
