Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,Percentage Detected,Jump Time 2,Jump Magnitude 2,Jump Decay 2,Final Mortality
North America,US,Alabama,2020-03-20,0.8953364785196675,0.1629529320111508,4.615329676358465,0.0,0.048962015337976304,0.20174482773412925,1.4242724453429316,10.337269133551791,3.4073607695676076,1.667838781245799,57.6665195831225,36.14786296839045,0.4998845030360527,1.0407633127909008,179.02641629509284,90.99164851372338,1.3208681991343256e-05
North America,US,California,2020-03-07,57.013425176811175,0.6457708299763344,-19.833010195619895,1.0460148777590235,0.02531862588131159,0.484008827713257,3.138187793005707,56.59483286643806,3.0870423278166816,1.3653845120087147,239.76104302471705,134.09602063752706,0.025543041571228796,4.480296853280828,105.13095543804428,28.64627731094903,0.0032288724696805456
North America,US,Florida,2020-03-16,0.9069341627758746,0.3266085024946012,3.4615775264048363,0.008082753221666098,0.02261949251405895,0.17497840612023294,1.628749755854454,18.980710650870694,76.57129564975054,1.2629009170353003,82.29324197750867,10.581188895733199,0.18228111887161813,0.896470609886706,103.7524631458346,5.642905163722898,0.01241085005424796
North America,US,Georgia,2020-03-16,0.47696095108232633,0.523177071438702,0.39120860764636073,1.0212051044162527,0.027442495316558933,0.5394765829361822,6.947478882070305,43.65297978378581,0.9926486079035252,0.5266967142235993,85.22121344044884,27.579573169858833,0.3353519940559609,0.49904243303291207,160.95066686238107,77.46458643130175,0.013457637032985975
North America,US,Massachusetts,2020-03-12,0.4510297398738584,1.686652006449137,1.6192801330304774,1.6897517948224172,0.06316399793890907,0.1020498460743039,0.15001351454691586,7.057759753631184,0.3764982397304752,0.0002763545757432321,161.65736819477135,134.08512472942198,0.0918014415855938,0.2699072731836859,167.98605673495112,49.67115249985869,0.0
North America,US,Nevada,2020-03-20,1.5977151891903498,0.04518881303040604,-1.3187017882387897,2.6698028030620573e-07,0.03064186666801513,0.32017690573297103,1.7597264209804475,1.2754771840395789,0.47294243659898344,4.963057188464521,0.002807212877526267,171.09549956501377,0.2805859958720235,4.999997614406552,56.33576324806944,85.51875189146384,0.0
North America,US,New York,2020-03-08,37.93004855305329,4.965526866018281,3.6448846686076073,8.897939969990894,0.11184540197791534,0.20388622474821455,0.8104129924276822,6.043421657123742,2.4130396440381777e-06,0.02637063966112707,169.36077006404832,138.37907019425285,0.06239619391865845,0.09096355613866017,133.79123685136437,56.15773697648508,0.0
North America,US,Ohio,2020-03-19,0.4944210232839259,0.1088217039392008,-1.116437120569926,0.24218169904964734,0.02535576252695868,0.3485362678652465,1.7721358968943592,39.825932326815135,1.907407277288382,3.2579572316875995,96.35229259673136,87.62826424689182,0.4520428929284769,2.4855192145848477,199.59496585101468,15.33556315228766,0.00028789338053317865
North America,US,Texas,2020-03-17,46.780959999453884,0.1114638186340262,0.104580284586131,5.608767088530039e-09,0.06997869773959105,0.040450230159559813,0.6511214230304501,47.2267150511785,0.007921641272962668,2.034384017536909,72.22509905123535,176.27195034250494,0.4998428001428447,1.6213044428427066,10.876110623548811,28.978714798494302,0.018975989728376812
