Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Total Detected True,Total Detected Deaths True,Total Detected LB,Active LB,Active Hospitalized LB,Cumulative Hospitalized LB,Total Detected Deaths LB,Active Ventilated LB,Total Detected UB,Active UB,Active Hospitalized UB,Cumulative Hospitalized UB,Total Detected Deaths UB,Active Ventilated UB
None,None,None,2020-03-15,104,104,16,16,0,4,104.0,0.0,104,104,16,16,0,4,104,104,16,16,0,4
None,None,None,2020-03-16,245,212,32,33,6,8,280.0,4.0,245,212,32,33,6,8,245,212,32,33,6,8
None,None,None,2020-03-17,446,392,60,63,10,15,288.0,5.0,446,392,60,63,10,15,446,392,60,63,10,15
None,None,None,2020-03-18,666,577,89,96,16,21,407.0,8.0,666,577,89,96,16,21,666,577,89,96,16,21
None,None,None,2020-03-19,1137,994,153,166,25,37,728.0,9.0,1137,994,153,166,25,37,1137,994,153,166,25,37
None,None,None,2020-03-20,1732,1502,232,255,39,56,864.0,12.0,1732,1502,232,255,39,56,1732,1502,232,255,39,56
None,None,None,2020-03-21,2267,1917,300,336,57,72,1177.0,19.0,2267,1917,300,336,57,72,2267,1917,300,336,57,72
None,None,None,2020-03-22,2783,2285,358,413,79,85,1327.0,20.0,2783,2285,358,413,79,85,2783,2285,358,413,79,85
None,None,None,2020-03-23,3305,2636,416,491,107,98,1904.0,24.0,3305,2636,416,491,107,98,3305,2636,416,491,107,98
None,None,None,2020-03-24,3848,2981,475,572,137,111,2577.0,25.0,3848,2981,475,572,137,111,3848,2981,475,572,137,111
None,None,None,2020-03-25,4420,3332,534,659,169,123,3005.0,29.0,4420,3332,534,659,169,123,4420,3332,534,659,169,123
None,None,None,2020-03-26,5028,3696,597,750,204,137,3701.0,37.0,5028,3696,597,750,204,137,5028,3696,597,750,204,137
None,None,None,2020-03-27,5778,4175,677,862,245,155,4387.0,52.0,5778,4175,677,862,245,155,5778,4175,677,862,245,155
None,None,None,2020-03-28,6728,4820,782,1004,287,178,5432.0,59.0,6728,4820,782,1004,287,178,6728,4820,782,1004,287,178
None,None,None,2020-03-29,7500,5242,856,1121,332,194,6113.0,62.0,7500,5242,856,1121,332,194,7500,5242,856,1121,332,194
None,None,None,2020-03-30,8318,5682,934,1243,383,209,7198.0,78.0,8318,5682,934,1243,383,209,8318,5682,934,1243,383,209
None,None,None,2020-03-31,9289,6240,1030,1388,436,230,8417.0,100.0,9289,6240,1030,1388,436,230,9289,6240,1030,1388,436,230
None,None,None,2020-04-01,10223,6727,1115,1529,494,246,9438.0,108.0,10223,6727,1115,1529,494,246,10223,6727,1115,1529,494,246
None,None,None,2020-04-02,11207,7228,1203,1675,554,266,11150.0,138.0,11207,7228,1203,1675,554,266,11207,7228,1203,1675,554,266
None,None,None,2020-04-03,12242,7747,1294,1830,617,283,12303.0,178.0,12242,7747,1294,1830,617,283,12242,7747,1294,1830,617,283
None,None,None,2020-04-04,13326,8284,1391,1993,685,304,12842.0,217.0,13326,8284,1391,1993,685,304,13326,8284,1391,1993,685,304
None,None,None,2020-04-05,14462,8830,1488,2165,756,324,15613.0,258.0,14462,8830,1488,2165,756,324,14462,8830,1488,2165,756,324
None,None,None,2020-04-06,15750,9492,1603,2356,830,348,16517.0,338.0,15750,9492,1603,2356,830,348,15750,9492,1603,2356,830,348
None,None,None,2020-04-07,16986,10057,1706,2541,907,370,17825.0,374.0,16986,10057,1706,2541,907,370,16986,10057,1706,2541,907,370
None,None,None,2020-04-08,18273,10634,1810,2736,990,390,19091.0,405.0,18273,10634,1810,2736,990,390,18273,10634,1810,2736,990,390
None,None,None,2020-04-09,19605,11222,1917,2936,1075,410,20604.0,502.0,19605,11222,1917,2936,1075,410,19605,11222,1917,2936,1075,410
None,None,None,2020-04-10,20985,11813,2025,3141,1163,432,22008.0,556.0,20985,11813,2025,3141,1163,432,20985,11813,2025,3141,1163,432
None,None,None,2020-04-11,22406,12407,2134,3356,1256,453,23265.0,653.0,22406,12407,2134,3356,1256,453,22406,12407,2134,3356,1256,453
None,None,None,2020-04-12,23866,13000,2244,3573,1352,475,24248.0,713.0,23866,13000,2244,3573,1352,475,23866,13000,2244,3573,1352,475
None,None,None,2020-04-13,25365,13589,2353,3800,1451,497,25629.0,780.0,25365,13589,2353,3800,1451,497,25365,13589,2353,3800,1451,497
None,None,None,2020-04-14,26895,14176,2463,4029,1558,517,26984.0,900.0,26895,14176,2463,4029,1558,517,26895,14176,2463,4029,1558,517
None,None,None,2020-04-15,28464,14758,2574,4264,1663,537,28157.0,1007.0,28464,14758,2574,4264,1663,537,28464,14758,2574,4264,1663,537
None,None,None,2020-04-16,30064,15334,2682,4503,1773,559,30757.0,1258.0,30064,15334,2682,4503,1773,559,30064,15334,2682,4503,1773,559
None,None,None,2020-04-17,31686,15894,2791,4747,1886,577,32762.0,1355.0,31686,15894,2791,4747,1886,577,31686,15894,2791,4747,1886,577
None,None,None,2020-04-18,33331,16440,2896,4995,2000,598,34303.0,1400.0,33331,16440,2896,4995,2000,598,33331,16440,2896,4995,2000,598
None,None,None,2020-04-19,34996,16969,2997,5243,2119,617,35580.0,1564.0,34996,16969,2997,5243,2119,617,34996,16969,2997,5243,2119,617
None,None,None,2020-04-20,36677,17480,3099,5494,2241,635,37603.0,1726.0,36677,17480,3099,5494,2241,635,36677,17480,3099,5494,2241,635
None,None,None,2020-04-21,38377,17976,3199,5751,2364,652,39347.0,1909.0,38377,17976,3199,5751,2364,652,38377,17976,3199,5751,2364,652
None,None,None,2020-04-22,40089,18452,3294,6008,2488,669,41608.0,2077.0,40089,18452,3294,6008,2488,669,40089,18452,3294,6008,2488,669
None,None,None,2020-04-23,41806,18905,3387,6265,2617,685,43244.0,2240.0,41806,18905,3387,6265,2617,685,41806,18905,3387,6265,2617,685
None,None,None,2020-04-24,43529,19333,3476,6524,2746,700,44864.0,2401.0,43529,19333,3476,6524,2746,700,43529,19333,3476,6524,2746,700
None,None,None,2020-04-25,45251,19733,3561,6781,2878,713,46316.0,2570.0,45251,19733,3561,6781,2878,713,45251,19733,3561,6781,2878,713
None,None,None,2020-04-26,46972,20104,3639,7040,3011,727,47978.0,2686.0,46972,20104,3639,7040,3011,727,46972,20104,3639,7040,3011,727
None,None,None,2020-04-27,48687,20451,3716,7297,3146,739,49561.0,2840.0,48687,20451,3716,7297,3146,739,48687,20451,3716,7297,3146,739
None,None,None,2020-04-28,50402,20771,3789,7556,3281,750,51094.0,2982.0,50402,20771,3789,7556,3281,750,50402,20771,3789,7556,3281,750
None,None,None,2020-04-29,52108,21065,3856,7811,3415,759,52809.0,3154.0,52108,21065,3856,7811,3415,759,52108,21065,3856,7811,3415,759
None,None,None,2020-04-30,53801,21330,3921,8065,3552,768,54401.0,3309.0,53801,21330,3921,8065,3552,768,53801,21330,3921,8065,3552,768
None,None,None,2020-05-01,55480,21562,3978,8316,3688,775,56286.0,3536.0,55480,21562,3978,8316,3688,775,55480,21562,3978,8316,3688,775
None,None,None,2020-05-02,57141,21761,4031,8566,3826,783,57869.0,3683.0,57141,21761,4031,8566,3826,783,57141,21761,4031,8566,3826,783
None,None,None,2020-05-03,58782,21930,4079,8812,3961,787,60447.0,3794.0,58782,21930,4079,8812,3961,787,58782,21930,4079,8812,3961,787
None,None,None,2020-05-04,60402,22070,4123,9053,4097,791,61900.0,4002.0,60402,22070,4123,9053,4097,791,60402,22070,4123,9053,4097,791
None,None,None,2020-05-05,62004,22182,4158,9294,4233,796,63158.0,4189.0,62004,22182,4158,9294,4233,796,62004,22182,4158,9294,4233,796
None,None,None,2020-05-06,63582,22267,4191,9532,4367,799,64637.0,4365.0,63582,22267,4191,9532,4367,799,63582,22267,4191,9532,4367,799
None,None,None,2020-05-07,65137,22325,4219,9765,4501,799,66144.0,4540.0,65137,22325,4219,9765,4501,799,65137,22325,4219,9765,4501,799
None,None,None,2020-05-08,66666,22349,4239,9995,4636,800,67617.0,4696.0,66666,22349,4239,9995,4636,800,66666,22349,4239,9995,4636,800
None,None,None,2020-05-09,68161,22345,4258,10218,4768,799,68861.0,4822.0,68161,22345,4258,10218,4768,799,68161,22345,4258,10218,4768,799
None,None,None,2020-05-10,69626,22316,4269,10439,4897,797,70034.0,4990.0,69626,22316,4269,10439,4897,797,69626,22316,4269,10439,4897,797
None,None,None,2020-05-11,71065,22254,4276,10653,5026,794,71207.0,5114.0,71065,22254,4276,10653,5026,794,71065,22254,4276,10653,5026,794
None,None,None,2020-05-12,72469,22171,4278,10865,5155,791,72362.0,5299.0,72469,22171,4278,10865,5155,791,72469,22171,4278,10865,5155,791
None,None,None,2020-05-13,73844,22069,4277,11071,5279,786,73511.0,5424.0,73844,22069,4277,11071,5279,786,73844,22069,4277,11071,5279,786
None,None,None,2020-05-14,75187,21938,4272,11272,5404,781,74724.0,5591.0,75187,21938,4272,11272,5404,781,75187,21938,4272,11272,5404,781
None,None,None,2020-05-15,76499,21785,4260,11468,5526,775,75902.0,5678.0,76499,21785,4260,11468,5526,775,76499,21785,4260,11468,5526,775
None,None,None,2020-05-16,77775,21611,4242,11659,5645,768,77149.0,5799.0,77775,21611,4242,11659,5645,768,77775,21611,4242,11659,5645,768
None,None,None,2020-05-17,79016,21415,4224,11847,5762,760,78275.0,5902.0,79016,21415,4224,11847,5762,760,79016,21415,4224,11847,5762,760
None,None,None,2020-05-18,80224,21201,4202,12027,5876,751,79354.0,5959.0,80224,21201,4202,12027,5876,751,80224,21201,4202,12027,5876,751
None,None,None,2020-05-19,81398,20969,4176,12204,5989,740,80436.0,6027.0,81398,20969,4176,12204,5989,740,81398,20969,4176,12204,5989,740
None,None,None,2020-05-20,82538,20719,4144,12376,6101,730,81518.0,6149.0,82538,20719,4144,12376,6101,730,82538,20719,4144,12376,6101,730
None,None,None,2020-05-21,83644,20452,4112,12540,6208,720,82685.0,6266.0,83644,20452,4112,12540,6208,720,83644,20452,4112,12540,6208,720
None,None,None,2020-05-22,84714,20171,4074,12701,6313,710,83890.0,6359.0,84714,20171,4074,12701,6313,710,84714,20171,4074,12701,6313,710
None,None,None,2020-05-23,85749,19874,4034,12859,6416,699,85094.0,6465.0,85749,19874,4034,12859,6416,699,85749,19874,4034,12859,6416,699
None,None,None,2020-05-24,86754,19566,3990,13009,6516,686,86049.0,6533.0,86754,19566,3990,13009,6516,686,86754,19566,3990,13009,6516,686
None,None,None,2020-05-25,87726,19248,3943,13153,6613,675,87062.0,6654.0,87726,19248,3943,13153,6613,675,87726,19248,3943,13153,6613,675
None,None,None,2020-05-26,88666,18921,3896,13295,6707,663,88033.0,6752.0,88666,18921,3896,13295,6707,663,88666,18921,3896,13295,6707,663
None,None,None,2020-05-27,89577,18588,3846,13432,6799,649,88932.0,6875.0,89577,18588,3846,13432,6799,649,89577,18588,3846,13432,6799,649
None,None,None,2020-05-28,90450,18240,3793,13563,6888,636,89919.0,6981.0,90450,18240,3793,13563,6888,636,90450,18240,3793,13563,6888,636
None,None,None,2020-05-29,91291,17884,3738,13689,6975,622,90852.0,7062.0,91291,17884,3738,13689,6975,622,91291,17884,3738,13689,6975,622
None,None,None,2020-05-30,92100,17520,3681,13811,7058,610,91624.0,7158.0,92100,17520,3681,13811,7058,610,92100,17520,3681,13811,7058,610
None,None,None,2020-05-31,92882,17156,3623,13927,7137,597,92422.0,7373.0,92882,17156,3623,13927,7137,597,92882,17156,3623,13927,7137,597
None,None,None,2020-06-01,93634,16784,3562,14039,7216,583,93231.0,7403.0,93634,16784,3562,14039,7216,583,93634,16784,3562,14039,7216,583
