Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Europe,Germany,None,2020-03-01,130,130,20,20,0,5,130.0,0.0,130,0,130,0
Europe,Germany,None,2020-03-02,135,127,19,20,2,5,159.0,0.0,135,2,135,2
Europe,Germany,None,2020-03-03,151,134,21,23,3,5,196.0,0.0,151,3,151,3
Europe,Germany,None,2020-03-04,180,154,24,27,5,6,262.0,0.0,180,5,180,5
Europe,Germany,None,2020-03-05,230,193,30,35,7,7,482.0,0.0,230,7,230,7
Europe,Germany,None,2020-03-06,314,263,41,47,9,10,670.0,0.0,314,9,314,9
Europe,Germany,None,2020-03-07,452,380,59,68,12,14,799.0,0.0,452,12,452,12
Europe,Germany,None,2020-03-08,671,568,89,101,17,21,1040.0,0.0,671,17,671,17
Europe,Germany,None,2020-03-09,1007,859,134,151,23,32,1176.0,2.0,1007,23,1007,23
Europe,Germany,None,2020-03-10,1502,1284,200,225,31,48,1457.0,2.0,1502,31,1502,31
Europe,Germany,None,2020-03-11,2195,1876,292,329,43,70,1908.0,3.0,2195,43,2195,43
Europe,Germany,None,2020-03-12,3129,2663,416,469,59,99,2078.0,3.0,3129,59,3129,59
Europe,Germany,None,2020-03-13,4331,3659,572,650,80,136,3675.0,7.0,4331,80,4331,80
Europe,Germany,None,2020-03-14,5828,4880,765,874,107,182,4585.0,9.0,5828,107,5828,107
Europe,Germany,None,2020-03-15,7634,6321,994,1145,141,235,5795.0,11.0,7634,141,7634,141
Europe,Germany,None,2020-03-16,9753,7975,1259,1463,182,296,7272.0,17.0,9753,182,9753,182
Europe,Germany,None,2020-03-17,12189,9832,1557,1828,232,365,9257.0,24.0,12189,232,12189,232
Europe,Germany,None,2020-03-18,14933,11869,1887,2240,290,440,12327.0,28.0,14933,290,14933,290
Europe,Germany,None,2020-03-19,17969,14059,2245,2695,357,521,15320.0,44.0,17969,357,17969,357
Europe,Germany,None,2020-03-20,21283,16380,2627,3192,433,607,19848.0,67.0,21283,433,21283,433
Europe,Germany,None,2020-03-21,24859,18809,3029,3729,517,696,22213.0,84.0,24859,517,24859,517
Europe,Germany,None,2020-03-22,28667,21309,3447,4300,611,788,24873.0,94.0,28667,611,28667,611
Europe,Germany,None,2020-03-23,32680,23849,3877,4902,714,881,29056.0,123.0,32680,714,32680,714
Europe,Germany,None,2020-03-24,36876,26405,4312,5531,825,975,32986.0,157.0,36876,825,36876,825
Europe,Germany,None,2020-03-25,41229,28952,4752,6184,944,1068,37323.0,206.0,41229,944,41229,944
Europe,Germany,None,2020-03-26,45709,31462,5189,6856,1070,1159,43938.0,267.0,45709,1070,45709,1070
Europe,Germany,None,2020-03-27,50291,33912,5622,7544,1203,1248,50871.0,342.0,50291,1203,50291,1203
Europe,Germany,None,2020-03-28,54952,36285,6046,8243,1343,1334,57695.0,433.0,54952,1343,54952,1343
Europe,Germany,None,2020-03-29,59667,38561,6459,8950,1489,1416,62095.0,533.0,59667,1489,59667,1489
Europe,Germany,None,2020-03-30,64409,40720,6857,9661,1640,1494,66885.0,645.0,64409,1640,64409,1640
Europe,Germany,None,2020-03-31,69152,42744,7237,10373,1796,1566,71808.0,775.0,69152,1796,69152,1796
Europe,Germany,None,2020-04-01,73873,44617,7596,11081,1955,1633,77872.0,920.0,73873,1955,73873,1955
Europe,Germany,None,2020-04-02,78565,46345,7935,11785,2118,1695,84794.0,1107.0,78565,2118,78565,2118
Europe,Germany,None,2020-04-03,83216,47927,8252,12482,2284,1750,91159.0,1275.0,83216,2284,83216,2284
Europe,Germany,None,2020-04-04,87812,49359,8547,13172,2452,1801,96092.0,1444.0,87812,2452,87812,2452
Europe,Germany,None,2020-04-05,92332,50628,8818,13850,2622,1845,100123.0,1584.0,92332,2622,92332,2622
Europe,Germany,None,2020-04-06,96750,51718,9061,14512,2792,1882,103374.0,1810.0,96750,2792,96750,2792
Europe,Germany,None,2020-04-07,101056,52630,9277,15158,2964,1913,107663.0,2016.0,101056,2964,101056,2964
Europe,Germany,None,2020-04-08,105258,53383,9467,15789,3135,1937,113296.0,2349.0,105258,3135,105258,3135
Europe,Germany,None,2020-04-09,109357,53992,9634,16404,3306,1957,118181.0,2607.0,109357,3306,109357,3306
Europe,Germany,None,2020-04-10,113346,54460,9778,17002,3476,1971,122171.0,2767.0,113346,3476,113346,3476
Europe,Germany,None,2020-04-11,117215,54784,9898,17582,3645,1980,124908.0,2736.0,117215,3645,117215,3645
Europe,Germany,None,2020-04-12,120945,54954,9992,18142,3812,1984,127854.0,3022.0,120945,3812,120945,3812
Europe,Germany,None,2020-04-13,124532,54973,10060,18680,3978,1981,130072.0,3194.0,124532,3978,124532,3978
Europe,Germany,None,2020-04-14,127990,54866,10106,19199,4141,1975,131359.0,3294.0,127990,4141,127990,4141
Europe,Germany,None,2020-04-15,131325,54650,10133,19699,4302,1964,134753.0,3804.0,131325,4302,131325,4302
Europe,Germany,None,2020-04-16,134540,54334,10141,20181,4460,1950,137698.0,4052.0,134540,4460,134540,4460
Europe,Germany,None,2020-04-17,137632,53921,10131,20645,4615,1932,141397.0,4352.0,137632,4615,137632,4615
Europe,Germany,None,2020-04-18,140591,53407,10102,21089,4767,1911,143342.0,4459.0,140591,4767,140591,4767
Europe,Germany,None,2020-04-19,143411,52789,10053,21512,4915,1885,145184.0,4586.0,143411,4915,143411,4915
Europe,Germany,None,2020-04-20,146105,52089,9989,21916,5061,1857,147065.0,4862.0,146105,5061,146105,5061
Europe,Germany,None,2020-04-21,148685,51323,9910,22303,5203,1827,148291.0,5033.0,148685,5203,148685,5203
