Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,Internal Parameter 3,Rate of Detection,Rate of Hospitalization
Asia,Afghanistan,None,2020-03-28,,0.3171558673816954,52.40537762797097,14.999619152929263,0.02,0.04091035179307678,-0.04215648640329509,4.470742568664963,4.363795472349857,1.4187406371540532,150.0,50.0,0.2454553215814821,0.8,0.30314679715267284
Europe,Albania,None,2020-03-23,,0.2515303092036286,-169.83089683121457,2.31776793428401,0.02,0.24467320455102914,0.5897835597059617,0.001,0.001,4.999320678113089,150.0,50.0,0.2,0.8,0.1789994609698484
Africa,Algeria,None,2020-03-21,,0.676932683414734,6.320815015249204,15.0,0.02,0.0655379632717476,0.18471931238483916,5.0,5.0,0.9862352968993724,150.0,50.0,2.0,0.8,0.49992540742027963
Europe,Andorra,None,2020-03-22,,0.1822792050482469,-199.99989904451473,14.999326515342938,0.02,0.14373392818464267,1.6751043436753994,0.001,4.4597755157114385,5.0,150.0,50.0,0.595035953099027,0.8,0.007151580065154173
Africa,Angola,None,2020-06-10,,1.5,17.150190189189086,1.0,0.03596346175103772,0.25,1.1015700270662345,0.0029699153453931755,0.001,0.16298683730846655,150.0,43.27458972500581,0.4421208081157344,0.7858167263432608,0.49953416951500423
North America,Antigua and Barbuda,None,2020-09-27,,0.18325741103574741,-100.92554801888235,9.992232086815509,0.24330006213606262,0.02749253179771633,0.016586860474515682,4.815198586719528,4.182903170180728,4.722029689434311,103.58898388107514,33.30104426584032,1.0032568849671262,0.7685473772660407,0.03315987622052604
South America,Argentina,None,2020-03-20,,1.499998072508837,-2.959966940611737,2.3733095521852756,0.020734839062308823,0.25,0.6465362756984091,4.9999951566721865,4.7440265678762445,0.3738093633010685,150.0,50.0,2.0,0.8,0.49998032151962274
Asia,Armenia,None,2020-03-19,,0.6349243497989996,5.840312346069404,15.0,0.02,0.04495603530339915,0.12992004992295256,5.0,5.0,1.1336150021428628,150.0,50.0,2.0,0.8,0.004514223294577193
Oceania,Australia,Australian Capital Territory,2020-04-10,,0.15470240821471046,-199.99975874468808,12.95578558795644,0.4656792968109038,0.07986967775045051,3.7880481514932502,0.001,1.3202329650939737,5.0,150.0,50.0,0.2012962656132962,0.8,0.0014759443979484867
Oceania,Australia,New South Wales,2020-03-14,,1.5,-88.84044249721109,1.0,0.035045173200933824,0.03892467877295563,4.27265897006319,4.519541718317328,2.6586040785337333,0.26579564702225283,150.0,50.0,1.5637035411540965,0.7999048628554867,0.4999930494638254
Oceania,Australia,Queensland,2020-03-19,,0.15830716336675157,-136.25781311133716,12.508911246600958,0.10758896727085937,0.01,5.0,3.823668376581087,1.1565788048179482,3.9820949334185847,150.0,50.0,0.9991754033008982,0.7997921038415982,0.0011414833622820097
Oceania,Australia,South Australia,2020-03-23,,0.1513944533598791,-200.0,15.0,0.08956230535285092,0.015252559817000558,3.9662573036171267,0.001,4.745831568276617,5.0,150.0,50.0,0.34131008938261326,0.8,0.001
Oceania,Australia,Tasmania,2020-04-09,,0.12817051002703472,-199.9998834310102,14.999915751274461,0.157660500718787,0.09059308975072737,0.9061467053274843,5.0,1.9741034516612912,4.411267028572161,150.0,50.0,0.20234236166304412,0.7999793253354899,0.001
Oceania,Australia,Victoria,2020-03-18,,0.13747130399238322,32.89229902921151,1.5314234550995387,0.046548082758257725,0.02638227292099189,-0.19999999998782636,3.8659510524734655,2.8778783516339277,4.998334931472308,95.86450081877477,30.738057254098447,0.5225634380491724,0.6756924155492083,0.22118355100968579
Oceania,Australia,Western Australia,2020-03-22,,0.3257807694923601,-200.0,14.999347193808592,0.06351195511501634,0.016707671457075114,4.705673518568022,0.001,3.531886129699875,2.3065529218202045,150.0,50.0,0.9715495246473813,0.8,0.007449531612466209
Europe,Austria,None,2020-03-08,,0.2602812258025511,-199.89339354209451,1.0014470930404602,0.02,0.24779867272642897,0.639239492090844,0.001,0.001,4.9961807847021875,150.0,50.0,0.2,0.8,0.49908073044611406
Asia,Azerbaijan,None,2020-03-26,,0.26849825757579426,-199.9997164313357,1.0,0.03468736600834066,0.010185032814850297,-0.0980445501488126,0.001,0.001,4.714859827816169,150.0,50.0,0.2,0.8,0.001
Asia,Bahrain,None,2020-03-10,,1.0083796803067955,3.399233800672477,1.446296383154057,0.02,0.01,0.25534604733976013,4.601662051056893,4.427481043901841,0.4594874601182979,150.0,50.0,0.3015671791100193,0.8,0.008808372254532324
Asia,Bangladesh,None,2020-04-06,,0.2697308208581773,62.62206878300657,14.99999720738077,0.02,0.029868036224743242,0.15672194227294303,4.127622883289675,4.380505767013118,1.6850712596395998,150.0,50.0,1.9959744385514855,0.8,0.003059639606585357
North America,Barbados,None,2020-07-11,,0.6314073675397275,-35.41317380076257,8.815317995095414,0.06604020326345872,0.01107791202183239,0.002061315856630099,3.49404091222317,4.913849217693073,1.3303249388063014,142.8367809170326,47.875350251424344,0.8068431105207361,0.7972894433329697,0.27994916169429823
Europe,Belarus,None,2020-03-30,,0.9096069182343135,7.278465463742234,15.0,0.02,0.01895372109378216,0.17117655359485245,5.0,5.0,0.7440238085185681,150.0,50.0,2.0,0.8,0.09996044826841713
Europe,Belgium,None,2020-03-06,277.9449515230353,0.43206395728626906,-197.2661966521231,6.262819468477791,0.5,0.21969745094622564,0.4314028131758,0.001,0.001,3.101399329736747,150.0,50.0,0.2,0.8,0.025979707084178766
North America,Belize,None,2020-08-06,,0.1230773749892549,56.54114413307754,2.035034458673432,0.13067238610169435,0.01761814892697716,-0.2,3.414722870300815,2.902705467852099,3.6348450427837684,92.8873931296377,39.31996588772741,1.1272253988454382,0.7838700797636606,0.06194043860682707
Africa,Benin,None,2020-05-07,,0.16033557647600155,-199.99998469087205,15.0,0.02,0.017271084542625003,0.03211637553788042,0.001,4.901515088079289,5.0,150.0,50.0,1.8053350626290945,0.8,0.0010644033031066752
Asia,Bhutan,None,2020-07-30,,1.4999756273996396,-9.849060263243354,1.4376050826340667,0.02,0.01,5.0,4.6517588998950075,0.008445946058591433,0.3925195033656728,120.55254933624744,21.35926586629512,0.23286784302843103,0.4340221062062261,0.4992930592797187
South America,Bolivia,None,2020-03-31,,1.5,-16.41890901840326,1.0,0.02,0.1523348232033534,0.2662340438030569,5.0,4.931982020576896,0.2177319088824555,150.0,50.0,1.1024496736902805,0.8,0.0010405920821919873
Europe,Bosnia and Herzegovina,None,2020-03-22,,0.9722102776939302,-198.00442436056127,14.815597608824305,0.02,0.0759768593035842,0.055142016496071575,0.0019033046536542598,0.001179103588813935,1.2837411796973401,150.0,50.0,0.2,0.8,0.4637742075527531
Africa,Botswana,None,2020-06-29,,1.5,-58.87586690967631,2.259492153837898,0.02,0.012366747864011587,-0.2,5.0,5.0,0.4026403009560148,150.0,50.0,2.0,0.8,0.18277543029206245
South America,Brazil,None,2020-03-13,,1.5,12.896341471376557,15.0,0.02,0.06309441992066768,0.15879088086357165,5.0,5.0,0.41554038003130533,150.0,50.0,2.0,0.8,0.4999810484810581
Europe,Bulgaria,None,2020-03-20,,0.3744480716717866,-200.0,13.820784986823176,0.02,0.24999983729331063,0.265787878320983,0.001,0.001,3.4656174771926844,150.0,50.0,0.2,0.8,0.0010364124035937919
Africa,Burkina Faso,None,2020-03-24,,0.33162864246254226,-199.99976112923764,11.594596149031117,0.02,0.25,1.515290656050459,0.001,0.001,3.2808292459398696,150.0,50.0,1.1880149452921869,0.8,0.10202707026601121
Africa,Burundi,None,2020-06-16,,0.15737347933494153,86.60737099125559,1.0,0.02,0.01115984304075714,0.5016887394784765,0.001,0.0010039673503861716,4.999991385050589,150.0,50.0,0.2000036275927005,0.7999001072786615,0.4998781027851839
Africa,Cabo Verde,None,2020-04-26,,1.4999998787446576,-31.30342966334524,1.0000000930764772,0.02,0.024871997898021796,0.19245409250844356,0.001052725130335982,4.466309807699555,0.25472258483327,150.0,50.0,0.44513603837802895,0.8,0.06980892999119778
Asia,Cambodia,None,2020-03-29,,1.0675311437393817,-189.58613980026792,12.830178405356719,0.02,0.01,0.05999049063030941,0.001,0.00100001223941937,1.022995945100389,149.9999979729366,49.529069494993045,0.20000082758044432,0.7123153952937821,0.04385748506201166
Africa,Cameroon,None,2020-03-29,,0.45427990370073507,8.197489682705411,10.040645532419205,0.02,0.028792304805949583,0.15940302003522033,5.0,5.0,1.399105446096838,150.0,50.0,2.0,0.8,0.016670523558311615
North America,Canada,Alberta,2020-03-19,,0.2581446741015127,-200.0,1.6471768616278157,0.02,0.25,0.8747964738282303,0.001,0.001,4.856824144244028,150.0,50.0,0.2,0.8,0.0010985056745316348
North America,Canada,British Columbia,2020-03-16,,0.25382155393927985,-200.0,3.4792551791975566,0.02,0.25,0.6949021158385877,0.001,0.001,4.968219730789094,150.0,50.0,0.2,0.8,0.24393027966056227
North America,Canada,Manitoba,2020-03-31,,0.915172901449462,-196.91648058416317,10.794528972934875,0.03448223267957476,0.01842677193393695,-0.19989082486175472,0.001,0.001,1.3259724324219775,150.0,50.0,0.2,0.8,0.0010707600841215318
North America,Canada,New Brunswick,2020-04-06,,0.21888343371921504,-199.99981601229624,11.712863158816623,0.02,0.01974491317317221,-0.04752539319822823,0.001,0.001,4.998519617076039,150.0,50.0,0.2,0.8,0.4999624777172061
North America,Canada,Newfoundland and Labrador,2020-03-27,,0.23193012920653802,-199.9999319656516,14.999960231567735,0.02,0.02048722004018796,0.3618778829219068,0.001,1.151810095628618,3.5922556675480304,150.0,50.0,0.6403596625707367,0.7999549087588185,0.31884129667308875
North America,Canada,Nova Scotia,2020-03-28,,0.1519392308973339,-199.9999386509299,14.999973925207614,0.03189337874688892,0.0848741323351706,4.961952393737016,0.001,4.999871651355973,5.0,150.0,50.0,1.4059216751005787,0.8,0.5
North America,Canada,Ontario,2020-03-15,,0.17144912676505744,-199.99992266506305,14.999650721385422,0.02,0.25,0.6005866518887233,4.998695305530701,5.0,4.999999845029328,150.0,50.0,2.0,0.8,0.0011363548350589129
North America,Canada,Quebec,2020-03-19,,1.5,-79.12807864221816,1.0,0.5,0.25,0.461448980132331,5.0,5.0,0.3689853218066721,150.0,50.0,2.0,0.8,0.1765175253878167
North America,Canada,Saskatchewan,2020-03-28,,0.2668873543502588,-199.99998587701825,14.887620110749012,0.02,0.24934169450217544,0.8882306012636726,0.001,0.001,4.49806950726247,150.0,50.0,0.2,0.8,0.1774168421877827
Africa,Central African Republic,None,2020-05-08,,0.3005311731614318,39.83712879036299,2.6209237536127747,0.15799791094040666,0.013881305802732061,0.04526142519708015,1.5556195435981082,1.360839845412369,1.4467522609538435,150.0,41.30769384069247,0.5319391695750861,0.7707778826881043,0.4496467958406123
Africa,Chad,None,2020-05-02,,0.16661971124899538,-200.0,15.0,0.02,0.0891343286876285,0.21462243021173305,0.001,5.0,4.940316764185355,150.0,50.0,2.0,0.8,0.010879436873902412
South America,Chile,None,2020-03-15,,0.32947181637784995,42.593954991528186,9.891005131080243,0.02,0.045819169100148556,0.1140160390177363,4.948534820558925,4.947290138742788,1.6212207928717324,150.0,50.0,1.946075130892023,0.8,0.001450723626201417
South America,Colombia,None,2020-03-18,,1.4040301193325595,9.016337529821774,15.0,0.02,0.08164718631264514,0.18307009635480723,5.0,5.0,0.473175620634039,150.0,50.0,2.0,0.8,0.0010438347637358896
Africa,Comoros,None,2020-05-30,,0.4894101912601848,-200.0,11.040816845124784,0.10414603993879418,0.029596108816412687,-0.06818746409182887,0.001,0.001,2.317981771464436,150.0,50.0,0.2,0.8,0.49973800980694727
Africa,Congo (Brazzaville),None,2020-04-15,,1.5,-103.4099208557546,1.0,0.02,0.0254218494962837,0.15220621726996053,4.915622621810651,4.897516493294985,0.31360155628730296,150.0,50.0,1.576162181569187,0.8,0.30846830732914376
Africa,Congo (Kinshasa),None,2020-04-01,,1.5,-88.12473282405178,1.0,0.02,0.0332690159780101,0.007109598898443707,5.0,5.0,0.31635499519055543,150.0,50.0,2.0,0.8,0.49885794669411865
North America,Costa Rica,None,2020-03-21,,0.6417945973497966,5.811960634405776,6.48832240078314,0.02,0.027513669064068113,0.0909206394527933,5.0,5.0,1.068414168931361,150.0,50.0,2.0,0.8,0.07942900115425079
Africa,Cote d'Ivoire,None,2020-03-27,,1.5,-38.5090772539982,1.0,0.02,0.010391625811246858,0.14162425371774318,3.0168322987988474,3.5413724163762605,0.24001631067130147,150.0,50.0,1.9766028623069727,0.8,0.4691993006908408
Europe,Croatia,None,2020-03-19,,1.429437043771575,-199.9999491234442,13.994803241591596,0.02,0.016158175408327934,-0.19549021945091996,0.001,0.001,0.9096043612640036,150.0,50.0,0.2,0.8,0.0010858178832722132
North America,Cuba,None,2020-03-28,,0.6329815617580917,-197.93604420853325,11.715910657579009,0.02,0.01,0.014605862255945982,0.001,0.001,1.932470212495688,150.0,50.0,0.2,0.8,0.12223689084412279
Europe,Cyprus,None,2020-03-23,,0.9864654791974365,-187.5711910294932,4.026830376992612,0.02,0.12442989293342917,1.0226206836039766,0.001,0.001,1.2093849383953725,150.0,50.0,0.2,0.8,0.0010559921626286592
Europe,Czechia,None,2020-03-13,,0.3790402586556189,-199.9999952737526,4.1693270641376055,0.02,0.24997553001423964,0.650871361804773,0.001,0.001,3.565744735253972,150.0,50.0,0.2,0.8,0.10806513695450168
Europe,Denmark,None,2020-03-10,,1.5,-187.0326771764566,1.0,0.02,0.25,1.1331983146467004,0.001,0.001,0.7014918294701884,150.0,50.0,0.2,0.8,0.2084166881862956
Africa,Djibouti,None,2020-04-08,,0.2904529078485573,43.50788352468195,15.0,0.03338438155559022,0.0698715281246224,2.2097833256496475,1.8733994597626098,1.1285193965832814,1.6380590645190205,150.0,48.32760853058213,0.3318772444988841,0.8,0.4892035712823892
North America,Dominican Republic,None,2020-03-21,,0.6794593281248088,10.418670750808745,6.517477939345215,0.02,0.034459460943342464,0.22446811364867955,4.362244642735758,3.61368453337083,0.9063589352904537,150.0,50.0,1.9999981010136445,0.8,0.007701071944845448
South America,Ecuador,None,2020-03-18,,0.6570766541590239,11.20491468092095,9.411534927534145,0.02,0.14137774736827377,0.19645618059736897,5.0,5.0,0.9582572252614171,150.0,50.0,2.0,0.8,0.018555873722330224
Africa,Egypt,None,2020-03-14,,0.28538201336075786,53.26716375518284,14.999984256982417,0.02,0.0697166773663327,0.01699993294238691,4.119566893020159,3.981539571098587,1.701082736061774,150.0,50.0,0.8785699936245589,0.8,0.051292596506359193
North America,El Salvador,None,2020-04-09,,0.30333340370132716,37.84191892987319,7.035624315974815,0.02,0.04240559749643843,0.04053270769481986,2.565502623278378,2.9633815045070344,1.8051365458604538,150.0,50.0,0.8820547108238238,0.8,0.002487247536137965
Africa,Equatorial Guinea,None,2020-04-24,,0.11628330982832173,-95.07908271421496,4.739011624657606,0.02,0.12219594352116944,3.278302813487493,2.6319370943202247,0.0017310868229666423,3.6253019219101423,62.607041849060884,50.0,0.7435135816227085,0.5337167279399007,0.49991059755377343
Europe,Estonia,None,2020-03-14,,0.42061227444339205,-199.99999567609785,11.024037652835817,0.02,0.18517839806910483,0.9257926501975601,0.001,0.001,2.9261785810314715,150.0,50.0,0.2,0.8,0.49995329091886753
Africa,Ethiopia,None,2020-04-18,,1.5,-11.101818307593398,1.0,0.02,0.07563481772480846,0.4240385462210852,2.2986751292041596,1.443342023519865,0.2250836688107993,150.0,50.0,0.9074492516653866,0.8,0.4994782723656975
Europe,Finland,None,2020-03-13,,0.18651591631103812,-199.9994683284532,14.999713031808971,0.02,0.25,1.541250899668154,0.001,1.551081718252945,4.999998924965814,150.0,50.0,2.0,0.8,0.4999745730351838
Europe,France,None,2020-03-01,137.81000634087883,0.2753124146339974,-162.34567603027662,1.0,0.02,0.23624320393336098,0.4644545571636167,0.001,0.001,4.979753549895161,150.0,50.0,0.2,0.8,0.030480308854316768
Africa,Gabon,None,2020-04-17,,0.30698386506767894,15.726972376372668,11.31935774035333,0.02,0.01,0.15048521214592367,4.733524382985369,4.642164111429244,2.0058050971517125,150.0,50.0,1.2681405843551103,0.8,0.1480149639547455
Africa,Gambia,None,2020-07-20,,0.2782276947209563,22.626108515699034,14.999951203094437,0.02,0.20710958926727163,5.0,2.5912071300917088,2.9199789411474946,2.025028104823869,150.0,50.0,1.4365943170484825,0.8,0.1087158560588569
Asia,Georgia,None,2020-03-30,,0.26978807590100046,-123.31561105197791,3.65384124550235,0.027624492050176423,0.24888426861383714,0.9745049096041514,0.001,0.001,4.908192735198203,150.0,50.0,0.2,0.8,0.1643900806762434
Europe,Germany,None,2020-03-01,,0.6708104707383143,-199.96869234585515,11.748694115524861,0.02,0.023464299582020422,-0.06696351841550277,0.001,0.001,2.074626647143152,150.0,50.0,0.2,0.8,0.030859982447184797
Africa,Ghana,None,2020-03-26,,1.5,-24.750269592721065,1.0,0.02,0.01,0.05695561986230121,4.719056464857666,4.73243367027666,0.21878321126929542,150.0,50.0,0.8820690473273373,0.8,0.16576514183488197
Europe,Greece,None,2020-03-13,,0.9912108810284285,-197.34367653867307,14.622284613630727,0.02,0.029830504537844495,-0.06837916948795081,0.001,0.001,1.274769835781821,150.0,50.0,0.2,0.8,0.4999076782681566
North America,Guatemala,None,2020-04-10,,0.32339449215944904,53.4085354631264,6.8384718938204045,0.02,0.07746074178206558,0.1461369722112959,4.770110760279611,4.67453786533158,1.5102943496650472,150.0,50.0,0.2838275750018745,0.8,0.0401426262313001
Africa,Guinea,None,2020-04-04,,0.21529613239460654,54.227803144023895,8.299631869077846,0.02,0.010659949000064829,0.15387605374913702,3.6622383516704176,2.6667999610510784,2.2589560717938264,150.0,50.0,0.49940023096705866,0.8,0.06223658872795756
Africa,Guinea-Bissau,None,2020-04-29,,0.15077283482960735,37.49054196369298,14.999994386275239,0.02,0.02087418860730674,0.041605889987085067,4.890697856364141,3.500165467713233,3.592456218559588,150.0,50.0,0.33767215101340875,0.8,0.2736196283535211
South America,Guyana,None,2020-05-10,,1.5,-21.875664209776208,1.0,0.02,0.10481211843771897,0.3743054151411223,0.965181358824021,0.39884150696764264,0.24518766764978597,150.0,50.0,1.0427233019088205,0.8,0.0010786263786903242
North America,Haiti,None,2020-05-07,,0.28825676352177293,34.07707682068747,13.035643598139727,0.022376692805120283,0.16502184000672468,3.0480051498465475,4.999403401265399,3.5747266431795306,1.7847400775784794,150.0,50.0,1.089830576297727,0.8,0.43706069387513297
North America,Honduras,None,2020-03-29,,0.31471817359786,28.39534412834957,4.409015629799138,0.02,0.057548329245281374,0.15642041980236643,4.027040624020317,4.227130730871149,1.8507333450478651,150.0,50.0,1.9987541483339386,0.8,0.49979398398370906
Europe,Hungary,None,2020-03-21,,0.3003779074191167,-199.9998218322764,1.0,0.02,0.03051119208076612,-0.06792438405386257,0.001,0.001,4.3324306875445675,150.0,50.0,0.2,0.8,0.027777286744173804
