Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Asia,Afghanistan,None,2020-03-27,15.228081693124327,2.772306876081043,-4.589618138803442,1.480925337067972,0.04145087329373619,0.039664474454098764,0.0,0.2152151128341612,0.0,0.0,87.64386251,1.0
Europe,Albania,None,2020-03-23,13.653182582279484,0.39739089810158496,-924.2278206268824,2.971159701464776e-07,0.057777670405262924,0.04028714144016833,0.0,2.941309865282793e-05,1.0234210669295205,1.7120483734466792,81.56800797803749,2.031934313626052
Africa,Algeria,None,2020-03-21,10.990336935802466,0.41716667164901583,-9.882504731411396,0.06300790066140559,0.020553194841801,0.8668203940660022,5.51770746932843,2.064263845349023,13.019403812098563,0.7693516316357427,100.88248846500014,7.804808794971156
Europe,Andorra,None,2020-03-22,6.943370022706631,1.236745232949306,-72.54730014162536,0.6565953681336654,0.0885684951730663,0.09493321606237468,1.2925094835917617,1.0898267981085157,1.069327972096294,2.358708471953228,134.31213402457996,6.078335529894415
Africa,Angola,None,2020-06-10,7.958459212761637,1.1410510017913609,-7.516309824762662,0.5837509152514235,0.3494187700049302,0.057778590540843236,0.20636487984722285,0.09519302986160104,0.0709358405802983,0.0,14.565529724913715,1.0
South America,Argentina,None,2020-03-20,32.605569513130774,0.48259616474024714,-0.5144986350420295,0.024417282332709317,1.0,0.11247409222906504,1.2465480664320612,0.028747137490290106,4.384678568696373,1.0705224201130736,81.3971968645236,2.5788283033815858
Asia,Armenia,None,2020-03-19,15.852824042540814,2.0526176010957107,-31.05424760780405,0.5715958539805548,0.13493045188903738,0.02079591021239746,0.008380109759755852,0.03378653304647625,0.07725447013844826,0.00911533807988718,93.23787560893896,1.0000304217741676
Oceania,Australia,Australian Capital Territory,2020-04-09,1.1979996528687484,1.8875335773909845,-27.288615864159695,3.4918729837716973,0.2321748184618203,0.01020340332503436,0.29310550461092144,0.019489448968650708,0.022795681651369026,3.1751711922156614,77.59449484952445,2.782341559495753
Oceania,Australia,New South Wales,2020-03-14,6.510255554308605,45.70522047,0.007855986,290.5037019,0.053604225000000005,0.017049465,0.897356293,8.943069853999999,0.001520175999996945,1.068621302,104.28155799999999,1.1173858970000001
Oceania,Australia,Queensland,2020-03-19,2.940611664173945,0.09866076651346462,-92.49846477230831,0.1567118757308391,0.18122465481804825,0.00558103081291092,0.0,5.294377866623347,0.17752939776809842,0.6254110478953611,98.59929213011414,1.0124287156586358
Oceania,Australia,South Australia,2020-03-22,2.7210932119712643,0.0,-295.1644311380823,65.2333727022779,0.10631392744375473,0.008277477305705591,3.5703224483033336,2.420746748150989,1.0824291969246627,0.10571750735177984,92.25508956347664,1.0666027743806967
Oceania,Australia,Tasmania,2020-04-09,1.3782995648359204,0.0,-278.8795658,46.73445698,0.13486779394927303,0.04876337511782686,0.20408962420558677,1.0278215067483418,0.24098688133851803,0.11808094903074559,73.45568311,1.019308731
Oceania,Australia,Victoria,2020-03-18,61.6886098877118,0.3562105453469987,-306.10825598950737,0.030674433771370135,0.020813640453592602,0.05541548722243682,0.0,1.4074604755151336,2.245724553775277,2.901686786379687,103.71917121950067,10.91676207973259
Oceania,Australia,Western Australia,2020-03-22,6.310547202901994,0.42600383305418427,-141.20785709012998,0.14225327260103504,0.12118496199890742,0.013680088936052714,0.2412379940000189,0.1473779900353507,1.6829698081387874,0.772586934001494,67.93597060979117,1.523730482001228
Europe,Austria,None,2020-03-08,24.883825195779146,10.818278683349796,-0.43997306022816884,25.229315132191346,0.058194887038502716,0.06657465549954725,0.9533051778320829,10.853196019273257,0.06300604851408471,3.1306133323672403,140.25723306347425,1.724373238666388
Asia,Azerbaijan,None,2020-03-26,13.8791262401066,0.7820442088605273,-23.66192291252705,0.21291765925352354,0.13332663795385644,0.015650731475812446,0.034163448962759774,0.00023617171156103955,1.0066600136703387,0.7167981716533155,79.06122724659748,1.262925452372302
Asia,Bahrain,None,2020-03-10,18.488500845749073,0.573493585556766,-0.5825235764613309,0.09512499024534138,1.0,0.0010312864799270627,0.09674951305923625,0.32431848287367865,0.9486266434485835,0.0,107.31680983069784,1.0
Asia,Bangladesh,None,2020-04-06,13.755441563456099,0.620766132882434,-2.0594764575194255,0.17701048352964724,1.0,0.013431231571421856,0.0,4.100583452775818,25.641725814234913,0.0,76.89938243311528,1.0
North America,Barbados,None,2020-07-11,0.7460994797504275,1.1715426780378626,-5.381570461934222,1.433498871278812,0.43154580714760715,0.0,0.005198358633778988,0.001256708032947848,0.004579800579996088,1.1666876812420317,6.91251577530279,4.380929345110883
Europe,Belarus,None,2020-03-30,16.398465902225876,0.6153956203560275,0.3109270419455475,0.33328301297488433,0.025058825914576963,0.01072168707675207,0.0037888117869272486,15.390413240636711,4.008060684831949e-06,0.015322569468401978,84.15250487787998,1.000427986845631
Europe,Belgium,None,2020-03-06,41.67080242940436,2.721874063360968,4.837038288373607,3.8713626878362697,0.11525162719334014,0.3920193036346257,0.8169056204434935,1.431528605974436,8.693393391268067e-08,0.20173379910518602,130.21624378029742,23.46401681770411
North America,Belize,None,2020-08-06,15.746940524040156,0.805104265921395,-0.33062088078861324,3.0294017535973508,0.020000000000000004,0.06016357788493215,0.0,2.27822989010424,0.004138067521778602,1.0808633378477694,3.274301887169589,1.2662632120778563
