Continent,Country,Province,Day,Total Detected,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths
North America,US,Connecticut,2020-07-01,48219,64,64,4439
North America,US,Connecticut,2020-07-02,48338,64,71,4445
North America,US,Connecticut,2020-07-03,48481,66,80,4449
North America,US,Connecticut,2020-07-04,48639,68,90,4453
North America,US,Connecticut,2020-07-05,48803,71,101,4457
North America,US,Connecticut,2020-07-06,48969,73,111,4461
North America,US,Connecticut,2020-07-07,49135,75,122,4464
North America,US,Connecticut,2020-07-08,49299,77,132,4468
North America,US,Connecticut,2020-07-09,49460,78,143,4471
North America,US,Connecticut,2020-07-10,49617,80,152,4474
North America,US,Connecticut,2020-07-11,49770,80,162,4477
North America,US,Connecticut,2020-07-12,49919,81,172,4480
North America,US,Connecticut,2020-07-13,50063,81,181,4483
North America,US,Connecticut,2020-07-14,50204,81,190,4486
North America,US,Connecticut,2020-07-15,50340,80,198,4488
North America,US,Connecticut,2020-07-16,50472,80,207,4491
North America,US,Connecticut,2020-07-17,50600,79,215,4494
North America,US,Connecticut,2020-07-18,50725,78,223,4496
North America,US,Connecticut,2020-07-19,50846,77,230,4498
North America,US,Connecticut,2020-07-20,50964,76,238,4501
North America,US,Connecticut,2020-07-21,51078,75,245,4503
North America,US,Connecticut,2020-07-22,51190,73,252,4505
North America,US,Connecticut,2020-07-23,51298,72,259,4507
North America,US,Connecticut,2020-07-24,51404,71,266,4509
North America,US,Connecticut,2020-07-25,51507,70,272,4511
North America,US,Connecticut,2020-07-26,51608,68,279,4513
North America,US,Connecticut,2020-07-27,51706,67,285,4515
North America,US,Connecticut,2020-07-28,51803,66,291,4516
North America,US,Connecticut,2020-07-29,51897,64,297,4518
North America,US,Connecticut,2020-07-30,51989,63,303,4520
North America,US,Connecticut,2020-07-31,52079,62,309,4521
North America,US,Connecticut,2020-08-01,52168,61,314,4523
North America,US,Connecticut,2020-08-02,52256,59,320,4525
North America,US,Connecticut,2020-08-03,52341,58,325,4526
North America,US,Connecticut,2020-08-04,52426,57,331,4528
North America,US,Connecticut,2020-08-05,52509,56,336,4529
North America,US,Connecticut,2020-08-06,52591,55,341,4530
North America,US,Connecticut,2020-08-07,52673,54,346,4532
North America,US,Connecticut,2020-08-08,52753,53,351,4533
North America,US,Connecticut,2020-08-09,52833,52,356,4534
North America,US,Connecticut,2020-08-10,52912,52,361,4536
North America,US,Connecticut,2020-08-11,52990,51,366,4537
North America,US,Connecticut,2020-08-12,53068,50,371,4538
North America,US,Connecticut,2020-08-13,53145,49,376,4539
North America,US,Connecticut,2020-08-14,53222,49,381,4541
North America,US,Connecticut,2020-08-15,53299,48,386,4542
North America,US,Connecticut,2020-08-16,53376,48,391,4543
North America,US,Connecticut,2020-08-17,53453,47,396,4544
North America,US,Connecticut,2020-08-18,53529,47,401,4545
North America,US,Connecticut,2020-08-19,53606,47,406,4547
North America,US,Connecticut,2020-08-20,53683,46,410,4548
North America,US,Connecticut,2020-08-21,53761,46,415,4549
North America,US,Connecticut,2020-08-22,53839,46,420,4550
North America,US,Connecticut,2020-08-23,53917,46,425,4551
North America,US,Connecticut,2020-08-24,53997,46,430,4552
North America,US,Connecticut,2020-08-25,54076,46,435,4554
North America,US,Connecticut,2020-08-26,54157,46,440,4555
North America,US,Connecticut,2020-08-27,54239,46,446,4556
North America,US,Connecticut,2020-08-28,54321,46,451,4557
North America,US,Connecticut,2020-08-29,54405,46,456,4558
North America,US,Connecticut,2020-08-30,54490,46,462,4559
North America,US,Connecticut,2020-08-31,54577,46,467,4561
North America,US,Connecticut,2020-09-01,54665,47,473,4562
North America,US,Connecticut,2020-09-02,54754,47,478,4563
North America,US,Connecticut,2020-09-03,54846,48,484,4564
North America,US,Connecticut,2020-09-04,54939,48,490,4565
North America,US,Connecticut,2020-09-05,55035,49,496,4567
North America,US,Connecticut,2020-09-06,55132,50,502,4568
North America,US,Connecticut,2020-09-07,55232,50,509,4569
North America,US,Connecticut,2020-09-08,55334,51,515,4570
North America,US,Connecticut,2020-09-09,55439,52,522,4572
North America,US,Connecticut,2020-09-10,55547,53,529,4573
North America,US,Connecticut,2020-09-11,55658,54,536,4575
North America,US,Connecticut,2020-09-12,55773,55,543,4576
North America,US,Connecticut,2020-09-13,55891,56,550,4577
North America,US,Connecticut,2020-09-14,56012,58,558,4579
North America,US,Connecticut,2020-09-15,56137,59,566,4580
North America,US,Connecticut,2020-09-16,56267,61,574,4582
North America,US,Connecticut,2020-09-17,56400,62,583,4584
North America,US,Connecticut,2020-09-18,56539,64,592,4585
North America,US,Connecticut,2020-09-19,56683,66,601,4587
North America,US,Connecticut,2020-09-20,56831,68,610,4589
North America,US,Connecticut,2020-09-21,56985,70,620,4590
North America,US,Connecticut,2020-09-22,57145,72,630,4592
North America,US,Connecticut,2020-09-23,57312,74,641,4594
North America,US,Connecticut,2020-09-24,57485,77,652,4596
North America,US,Connecticut,2020-09-25,57665,80,663,4598
North America,US,Connecticut,2020-09-26,57852,82,675,4600
North America,US,Connecticut,2020-09-27,58047,85,687,4602
North America,US,Connecticut,2020-09-28,58250,88,700,4605
North America,US,Connecticut,2020-09-29,58462,92,714,4607
North America,US,Connecticut,2020-09-30,58684,95,728,4609
North America,US,Connecticut,2020-10-01,58915,99,742,4612
North America,US,Connecticut,2020-10-02,59157,103,758,4614
North America,US,Connecticut,2020-10-03,59408,107,774,4617
North America,US,Connecticut,2020-10-04,59672,112,790,4620
North America,US,Connecticut,2020-10-05,59947,116,808,4623
North America,US,Connecticut,2020-10-06,60236,121,826,4626
North America,US,Connecticut,2020-10-07,60538,127,845,4629
North America,US,Connecticut,2020-10-08,60855,132,865,4632
North America,US,Connecticut,2020-10-09,61185,138,886,4635
North America,US,Connecticut,2020-10-10,61532,144,908,4639
North America,US,Connecticut,2020-10-11,61895,151,931,4643
North America,US,Connecticut,2020-10-12,62275,158,955,4646
North America,US,Connecticut,2020-10-13,62675,165,981,4650
North America,US,Connecticut,2020-10-14,63093,173,1007,4655
North America,US,Connecticut,2020-10-15,63531,181,1035,4659
North America,US,Connecticut,2020-10-16,63990,189,1064,4664
North America,US,Connecticut,2020-10-17,64471,198,1095,4668
North America,US,Connecticut,2020-10-18,64976,207,1127,4673
North America,US,Connecticut,2020-10-19,65506,217,1160,4678
North America,US,Connecticut,2020-10-20,66061,227,1196,4684
North America,US,Connecticut,2020-10-21,66642,238,1232,4689
North America,US,Connecticut,2020-10-22,67250,250,1271,4695
North America,US,Connecticut,2020-10-23,67888,261,1312,4701
North America,US,Connecticut,2020-10-24,68556,274,1354,4708
North America,US,Connecticut,2020-10-25,69255,287,1398,4714
North America,US,Connecticut,2020-10-26,69988,300,1445,4721
North America,US,Connecticut,2020-10-27,70754,315,1493,4728
North America,US,Connecticut,2020-10-28,71555,329,1544,4736
North America,US,Connecticut,2020-10-29,72393,345,1597,4744
North America,US,Connecticut,2020-10-30,73269,361,1653,4752
North America,US,Connecticut,2020-10-31,74184,378,1711,4760
North America,US,Connecticut,2020-11-01,75139,395,1771,4769
North America,US,Connecticut,2020-11-02,76133,413,1835,4778
North America,US,Connecticut,2020-11-03,77170,431,1900,4788
North America,US,Connecticut,2020-11-04,78249,450,1969,4798
North America,US,Connecticut,2020-11-05,79373,470,2040,4808
North America,US,Connecticut,2020-11-06,80544,491,2114,4819
North America,US,Connecticut,2020-11-07,81764,512,2192,4830
North America,US,Connecticut,2020-11-08,83031,534,2272,4841
North America,US,Connecticut,2020-11-09,84346,556,2356,4853
North America,US,Connecticut,2020-11-10,85707,579,2442,4865
North America,US,Connecticut,2020-11-11,87118,603,2531,4878
North America,US,Connecticut,2020-11-12,88580,627,2624,4891
North America,US,Connecticut,2020-11-13,90093,651,2720,4905
North America,US,Connecticut,2020-11-14,91654,676,2819,4919
North America,US,Connecticut,2020-11-15,93266,701,2921,4933
North America,US,Connecticut,2020-11-16,94927,727,3027,4948
North America,US,Connecticut,2020-11-17,96638,753,3135,4963
North America,US,Connecticut,2020-11-18,98400,779,3247,4979
North America,US,Connecticut,2020-11-19,100210,805,3362,4995
North America,US,Connecticut,2020-11-20,102066,831,3480,5012
North America,US,Connecticut,2020-11-21,103967,857,3600,5029
North America,US,Connecticut,2020-11-22,105913,884,3724,5046
North America,US,Connecticut,2020-11-23,107906,910,3850,5064
North America,US,Connecticut,2020-11-24,109943,936,3979,5082
North America,US,Connecticut,2020-11-25,112020,962,4111,5100
North America,US,Connecticut,2020-11-26,114133,987,4245,5119
North America,US,Connecticut,2020-11-27,116280,1011,4381,5138
North America,US,Connecticut,2020-11-28,118458,1035,4520,5157
North America,US,Connecticut,2020-11-29,120670,1058,4660,5177
North America,US,Connecticut,2020-11-30,122915,1081,4802,5196
North America,US,Connecticut,2020-12-01,125186,1103,4946,5216
North America,US,Connecticut,2020-12-02,127478,1124,5092,5237
North America,US,Connecticut,2020-12-03,129787,1144,5238,5257
North America,US,Connecticut,2020-12-04,132111,1162,5386,5278
North America,US,Connecticut,2020-12-05,134448,1180,5534,5298
North America,US,Connecticut,2020-12-06,136798,1196,5683,5319
North America,US,Connecticut,2020-12-07,139154,1211,5832,5340
North America,US,Connecticut,2020-12-08,141512,1225,5982,5361
North America,US,Connecticut,2020-12-09,143867,1237,6131,5382
North America,US,Connecticut,2020-12-10,146217,1247,6280,5403
North America,US,Connecticut,2020-12-11,148559,1256,6429,5424
North America,US,Connecticut,2020-12-12,150891,1263,6577,5444
North America,US,Connecticut,2020-12-13,153208,1269,6724,5465
North America,US,Connecticut,2020-12-14,155506,1273,6870,5485
North America,US,Connecticut,2020-12-15,157781,1275,7014,5506
North America,US,Connecticut,2020-12-16,160031,1275,7157,5526
North America,US,Connecticut,2020-12-17,162252,1274,7298,5546
North America,US,Connecticut,2020-12-18,164443,1271,7437,5565
North America,US,Connecticut,2020-12-19,166600,1266,7574,5584
North America,US,Connecticut,2020-12-20,168720,1260,7708,5603
North America,US,Connecticut,2020-12-21,170801,1251,7840,5622
North America,US,Connecticut,2020-12-22,172841,1242,7969,5640
North America,US,Connecticut,2020-12-23,174838,1230,8096,5658
North America,US,Connecticut,2020-12-24,176789,1218,8220,5676
North America,US,Connecticut,2020-12-25,178692,1203,8341,5693
North America,US,Connecticut,2020-12-26,180546,1188,8458,5710
North America,US,Connecticut,2020-12-27,182348,1170,8573,5726
North America,US,Connecticut,2020-12-28,184099,1152,8684,5742
North America,US,Connecticut,2020-12-29,185798,1132,8791,5757
North America,US,Connecticut,2020-12-30,187445,1112,8896,5772
North America,US,Connecticut,2020-12-31,189038,1090,8997,5787
North America,US,Connecticut,2021-01-01,190574,1067,9094,5801
North America,US,Connecticut,2021-01-02,192056,1043,9188,5814
North America,US,Connecticut,2021-01-03,193483,1019,9279,5827
North America,US,Connecticut,2021-01-04,194856,994,9366,5840
North America,US,Connecticut,2021-01-05,196176,968,9450,5852
North America,US,Connecticut,2021-01-06,197441,942,9530,5863
North America,US,Connecticut,2021-01-07,198652,915,9607,5874
North America,US,Connecticut,2021-01-08,199808,888,9680,5885
North America,US,Connecticut,2021-01-09,200912,861,9750,5895
North America,US,Connecticut,2021-01-10,201967,833,9817,5905
North America,US,Connecticut,2021-01-11,202974,806,9881,5914
North America,US,Connecticut,2021-01-12,203931,778,9942,5923
North America,US,Connecticut,2021-01-13,204840,751,9999,5931
North America,US,Connecticut,2021-01-14,205700,723,10054,5939
North America,US,Connecticut,2021-01-15,206514,696,10106,5947
North America,US,Connecticut,2021-01-16,207285,669,10154,5954
North America,US,Connecticut,2021-01-17,208015,642,10201,5961
North America,US,Connecticut,2021-01-18,208704,616,10245,5967
North America,US,Connecticut,2021-01-19,209354,590,10286,5973
North America,US,Connecticut,2021-01-20,209964,564,10324,5979
North America,US,Connecticut,2021-01-21,210536,539,10361,5984
North America,US,Connecticut,2021-01-22,211075,515,10395,5990
North America,US,Connecticut,2021-01-23,211580,491,10427,5994
North America,US,Connecticut,2021-01-24,212054,467,10457,5999
North America,US,Connecticut,2021-01-25,212497,445,10485,6003
North America,US,Connecticut,2021-01-26,212910,423,10511,6007
North America,US,Connecticut,2021-01-27,213295,401,10536,6010
North America,US,Connecticut,2021-01-28,213654,380,10559,6014
North America,US,Connecticut,2021-01-29,213989,360,10580,6017
North America,US,Connecticut,2021-01-30,214300,341,10600,6020
North America,US,Connecticut,2021-01-31,214590,323,10618,6023
North America,US,Connecticut,2021-02-01,214857,305,10635,6025
North America,US,Connecticut,2021-02-02,215105,287,10651,6028
North America,US,Connecticut,2021-02-03,215335,271,10665,6030
North America,US,Connecticut,2021-02-04,215547,255,10679,6032
North America,US,Connecticut,2021-02-05,215744,240,10691,6034
North America,US,Connecticut,2021-02-06,215925,226,10703,6035
North America,US,Connecticut,2021-02-07,216091,212,10713,6037
North America,US,Connecticut,2021-02-08,216244,199,10723,6038
North America,US,Connecticut,2021-02-09,216385,186,10732,6040
North America,US,Connecticut,2021-02-10,216514,174,10740,6041
North America,US,Connecticut,2021-02-11,216633,163,10748,6042
North America,US,Connecticut,2021-02-12,216742,153,10754,6043
North America,US,Connecticut,2021-02-13,216842,142,10761,6044
North America,US,Connecticut,2021-02-14,216933,133,10766,6045
North America,US,Connecticut,2021-02-15,217016,124,10772,6046
North America,US,Connecticut,2021-02-16,217092,115,10777,6047
North America,US,Connecticut,2021-02-17,217161,107,10781,6047
North America,US,Connecticut,2021-02-18,217224,100,10785,6048
North America,US,Connecticut,2021-02-19,217281,93,10789,6049
North America,US,Connecticut,2021-02-20,217333,86,10792,6049
North America,US,Connecticut,2021-02-21,217381,80,10795,6049
North America,US,Connecticut,2021-02-22,217424,74,10798,6050
North America,US,Connecticut,2021-02-23,217463,69,10800,6050
North America,US,Connecticut,2021-02-24,217498,64,10802,6051
North America,US,Connecticut,2021-02-25,217530,59,10804,6051
North America,US,Connecticut,2021-02-26,217559,54,10806,6051
North America,US,Connecticut,2021-02-27,217585,50,10808,6051
North America,US,Connecticut,2021-02-28,217608,46,10809,6052
North America,US,Connecticut,2021-03-01,217629,43,10811,6052
North America,US,Connecticut,2021-03-02,217649,39,10812,6052
North America,US,Connecticut,2021-03-03,217666,36,10813,6052
North America,US,Connecticut,2021-03-04,217681,33,10814,6052
North America,US,Connecticut,2021-03-05,217695,31,10815,6053
North America,US,Connecticut,2021-03-06,217708,28,10816,6053
North America,US,Connecticut,2021-03-07,217719,26,10816,6053
North America,US,Connecticut,2021-03-08,217729,24,10817,6053
North America,US,Connecticut,2021-03-09,217738,22,10818,6053
North America,US,Connecticut,2021-03-10,217746,20,10818,6053
North America,US,Connecticut,2021-03-11,217753,18,10819,6053
North America,US,Connecticut,2021-03-12,217760,17,10819,6053
North America,US,Connecticut,2021-03-13,217766,15,10819,6053
North America,US,Connecticut,2021-03-14,217771,14,10820,6053
North America,US,Connecticut,2021-03-15,217775,13,10820,6053
