"State","Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"Alabama","2020-04-05",1672,855,176,251,36,38
"Alabama","2020-04-06",1782,877,183,267,40,39
"Alabama","2020-04-07",1890,894,190,283,45,40
"Alabama","2020-04-08",1994,907,195,299,49,41
"Alabama","2020-04-09",2095,915,201,314,53,42
"Alabama","2020-04-10",2192,919,205,329,57,42
"Alabama","2020-04-11",2285,920,208,343,61,43
"Alabama","2020-04-12",2375,917,211,356,66,43
"Alabama","2020-04-13",2460,910,213,369,70,43
"Alabama","2020-04-14",2542,901,214,381,74,43
"Alabama","2020-04-15",2619,889,215,393,78,43
"Alabama","2020-04-16",2693,875,215,404,82,42
"Alabama","2020-04-17",2762,858,215,414,86,42
"Alabama","2020-04-18",2828,839,214,424,90,41
"Alabama","2020-04-19",2890,819,212,433,94,40
"Alabama","2020-04-20",2948,798,210,442,98,40
"Alabama","2020-04-21",3003,775,208,450,101,39
"Alabama","2020-04-22",3054,751,205,458,105,38
"Alabama","2020-04-23",3102,727,202,465,108,37
"Alabama","2020-04-24",3147,702,198,472,112,36
"Alabama","2020-04-25",3189,677,195,478,115,35
"Alabama","2020-04-26",3227,652,191,484,118,34
"Alabama","2020-04-27",3264,626,187,490,121,33
"Alabama","2020-04-28",3297,601,182,495,124,32
"Alabama","2020-04-29",3329,576,178,499,126,30
"Alabama","2020-04-30",3358,551,173,504,129,29
"Alabama","2020-05-01",3384,527,169,508,131,28
"Alabama","2020-05-02",3409,503,164,511,134,27
"Alabama","2020-05-03",3432,479,159,515,136,26
"Alabama","2020-05-04",3453,457,154,518,138,25
"Alabama","2020-05-05",3473,434,149,521,140,24
"Alabama","2020-05-06",3490,413,145,524,142,23
"Alabama","2020-05-07",3507,392,140,526,144,22
"Alabama","2020-05-08",3522,372,135,528,146,21
"Alabama","2020-05-09",3536,353,130,530,147,20
"Alabama","2020-05-10",3549,334,126,532,149,19
"Alabama","2020-05-11",3560,316,121,534,151,18
"Alabama","2020-05-12",3571,299,117,536,152,17
"Alabama","2020-05-13",3581,283,113,537,153,16
"Alabama","2020-05-14",3590,267,108,538,155,15
"Alabama","2020-05-15",3598,252,104,540,156,15
"Alabama","2020-05-16",3606,238,100,541,157,14
"Alabama","2020-05-17",3612,224,96,542,158,13
"Alabama","2020-05-18",3619,212,92,543,159,12
"Alabama","2020-05-19",3624,199,89,544,160,12
"Alabama","2020-05-20",3629,188,85,544,161,11
"Alabama","2020-05-21",3634,177,81,545,162,10
"Alabama","2020-05-22",3638,166,78,546,162,10
"Alabama","2020-05-23",3642,157,75,546,163,9
"Alabama","2020-05-24",3646,147,71,547,164,9
"Alabama","2020-05-25",3649,139,68,547,165,8
"Alabama","2020-05-26",3652,130,65,548,165,8
"Alabama","2020-05-27",3655,122,63,548,166,7
"Alabama","2020-05-28",3657,115,60,549,166,7
"Alabama","2020-05-29",3659,108,57,549,167,6
"Alabama","2020-05-30",3661,102,55,549,167,6
"Alabama","2020-05-31",3663,95,52,549,168,6
"Alabama","2020-06-01",3665,90,50,550,168,5
"Alabama","2020-06-02",3666,84,48,550,169,5
"Alabama","2020-06-03",3667,79,45,550,169,5
"Alabama","2020-06-04",3668,74,43,550,169,4
"Alabama","2020-06-05",3670,70,41,550,170,4
"Alabama","2020-06-06",3671,66,39,551,170,4
"Alabama","2020-06-07",3671,62,38,551,170,4
"Alabama","2020-06-08",3672,58,36,551,171,3
"Alabama","2020-06-09",3673,54,34,551,171,3
"Alabama","2020-06-10",3674,51,33,551,171,3
"Alabama","2020-06-11",3674,48,31,551,171,3
"Alabama","2020-06-12",3675,45,30,551,171,3
"Alabama","2020-06-13",3675,42,28,551,172,2
"Alabama","2020-06-14",3676,40,27,551,172,2
"Alabama","2020-06-15",3676,37,26,551,172,2
"Alabama","2020-06-16",3676,35,24,551,172,2
"Alabama","2020-06-17",3677,33,23,551,172,2
"Alabama","2020-06-18",3677,31,22,552,173,2
"Alabama","2020-06-19",3677,29,21,552,173,2
"Alabama","2020-06-20",3677,28,20,552,173,2
"Alabama","2020-06-21",3678,26,19,552,173,1
"Alabama","2020-06-22",3678,24,18,552,173,1
"Alabama","2020-06-23",3678,23,17,552,173,1
