"State","Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"Alabama","2020-04-03",1309,699,142,196,25,31
"Alabama","2020-04-04",1398,715,147,210,28,32
"Alabama","2020-04-05",1482,727,153,222,31,33
"Alabama","2020-04-06",1564,734,157,235,35,33
"Alabama","2020-04-07",1641,736,161,246,38,34
"Alabama","2020-04-08",1715,735,163,257,41,34
"Alabama","2020-04-09",1784,731,166,268,44,34
"Alabama","2020-04-10",1850,724,167,278,47,34
"Alabama","2020-04-11",1912,714,168,287,50,34
"Alabama","2020-04-12",1971,701,168,296,53,34
"Alabama","2020-04-13",2025,687,168,304,56,33
"Alabama","2020-04-14",2076,670,167,311,59,33
"Alabama","2020-04-15",2124,652,166,319,62,32
"Alabama","2020-04-16",2169,633,164,325,65,31
"Alabama","2020-04-17",2210,613,162,332,68,31
"Alabama","2020-04-18",2248,593,160,337,70,30
"Alabama","2020-04-19",2284,571,157,343,73,29
"Alabama","2020-04-20",2317,550,154,348,75,28
"Alabama","2020-04-21",2347,528,151,352,77,27
"Alabama","2020-04-22",2376,506,148,356,80,26
"Alabama","2020-04-23",2401,484,144,360,82,25
"Alabama","2020-04-24",2425,462,141,364,84,24
"Alabama","2020-04-25",2447,441,137,367,86,24
"Alabama","2020-04-26",2467,420,133,370,88,23
"Alabama","2020-04-27",2486,400,129,373,89,22
"Alabama","2020-04-28",2503,380,125,375,91,21
"Alabama","2020-04-29",2518,361,121,378,93,20
"Alabama","2020-04-30",2532,342,118,380,94,19
"Alabama","2020-05-01",2545,324,114,382,96,18
"Alabama","2020-05-02",2557,307,110,384,97,17
"Alabama","2020-05-03",2568,290,106,385,98,16
"Alabama","2020-05-04",2577,274,102,387,99,16
"Alabama","2020-05-05",2586,259,98,388,101,15
"Alabama","2020-05-06",2594,244,95,389,102,14
"Alabama","2020-05-07",2602,230,91,390,103,13
"Alabama","2020-05-08",2608,217,88,391,104,13
"Alabama","2020-05-09",2614,204,84,392,104,12
"Alabama","2020-05-10",2620,192,81,393,105,11
"Alabama","2020-05-11",2625,181,78,394,106,11
"Alabama","2020-05-12",2629,170,74,394,107,10
"Alabama","2020-05-13",2633,160,71,395,108,9
"Alabama","2020-05-14",2637,150,68,396,108,9
"Alabama","2020-05-15",2641,141,65,396,109,8
"Alabama","2020-05-16",2644,132,63,397,109,8
"Alabama","2020-05-17",2646,124,60,397,110,7
"Alabama","2020-05-18",2649,116,57,397,111,7
"Alabama","2020-05-19",2651,109,55,398,111,7
"Alabama","2020-05-20",2653,103,52,398,111,6
"Alabama","2020-05-21",2655,96,50,398,112,6
"Alabama","2020-05-22",2656,90,48,398,112,5
"Alabama","2020-05-23",2658,85,46,399,113,5
"Alabama","2020-05-24",2659,79,44,399,113,5
"Alabama","2020-05-25",2660,74,42,399,113,5
"Alabama","2020-05-26",2661,70,40,399,114,4
"Alabama","2020-05-27",2662,65,38,399,114,4
"Alabama","2020-05-28",2663,61,36,399,114,4
"Alabama","2020-05-29",2664,58,35,400,114,3
"Alabama","2020-05-30",2665,54,33,400,115,3
