Continent,Country,Province,Day,Shift,Total Detected,Total Detected Deaths
Asia,Afghanistan,None,2020-03-27,210,110.0,4.0
Asia,Afghanistan,None,2020-03-28,210,114.53864716364316,4.278009081526708
Asia,Afghanistan,None,2020-03-29,210,123.18124275608749,4.563225604067375
Asia,Afghanistan,None,2020-03-30,210,134.8078640870827,4.865998476273946
Asia,Afghanistan,None,2020-03-31,210,148.78628265871512,5.194112992684554
Asia,Afghanistan,None,2020-04-01,210,164.93692617260024,5.553040527116575
Asia,Afghanistan,None,2020-04-02,210,183.1741273078222,5.948165662739797
Asia,Afghanistan,None,2020-04-03,210,203.5996473295759,6.384258214457435
Asia,Afghanistan,None,2020-04-04,210,226.38414412175462,6.866263856391659
Asia,Afghanistan,None,2020-04-05,210,251.68926179614022,7.399841723895293
Asia,Afghanistan,None,2020-04-06,210,279.7921622245494,7.990648164270905
Asia,Afghanistan,None,2020-04-07,210,311.0048533232765,8.644935598294115
Asia,Afghanistan,None,2020-04-08,210,345.64285277909124,9.36985640940652
Asia,Afghanistan,None,2020-04-09,210,384.0433428299468,10.173424318931348
Asia,Afghanistan,None,2020-04-10,210,426.6371140937343,11.06411167280822
Asia,Afghanistan,None,2020-04-11,210,473.90140815644696,12.051251515212998
Asia,Afghanistan,None,2020-04-12,210,526.3525779971651,13.145458479562729
Asia,Afghanistan,None,2020-04-13,210,584.5469384405425,14.358634990237643
Asia,Afghanistan,None,2020-04-14,210,649.0807661568067,15.703971262581156
Asia,Afghanistan,None,2020-04-15,210,720.562576981054,17.19668549874895
Asia,Afghanistan,None,2020-04-16,210,799.7798114635239,18.852463229960197
Asia,Afghanistan,None,2020-04-17,210,887.703865972062,20.687706456999265
Asia,Afghanistan,None,2020-04-18,210,985.3654236207483,22.721653274576518
Asia,Afghanistan,None,2020-04-19,210,1093.8539939884458,24.976386222981812
Asia,Afghanistan,None,2020-04-20,210,1214.3179131188028,27.476832288084502
