"State","Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"California","2020-03-25",1991,1158,224,297,34,50
"California","2020-03-26",2195,1239,243,328,38,54
"California","2020-03-27",2400,1314,261,358,44,57
"California","2020-03-28",2607,1382,279,389,49,61
"California","2020-03-29",2811,1442,295,420,55,64
"California","2020-03-30",3014,1495,310,450,61,67
"California","2020-03-31",3213,1539,324,480,67,69
"California","2020-04-01",3408,1575,337,510,74,71
"California","2020-04-02",3597,1604,348,538,80,73
"California","2020-04-03",3781,1624,358,565,87,75
"California","2020-04-04",3958,1636,366,592,93,76
"California","2020-04-05",4128,1641,373,618,100,77
"California","2020-04-06",4292,1639,378,642,107,77
"California","2020-04-07",4447,1631,383,665,114,77
"California","2020-04-08",4595,1616,386,688,120,77
"California","2020-04-09",4736,1597,387,709,127,77
"California","2020-04-10",4869,1572,388,729,133,76
"California","2020-04-11",4995,1543,387,748,140,75
"California","2020-04-12",5113,1510,385,765,146,74
"California","2020-04-13",5224,1474,383,782,152,73
"California","2020-04-14",5329,1435,379,798,158,72
"California","2020-04-15",5426,1394,375,812,164,70
"California","2020-04-16",5518,1351,370,826,170,68
"California","2020-04-17",5603,1306,364,839,175,67
"California","2020-04-18",5682,1261,358,851,180,65
"California","2020-04-19",5755,1214,351,862,185,63
"California","2020-04-20",5824,1168,344,872,190,61
"California","2020-04-21",5887,1121,336,881,195,59
"California","2020-04-22",5945,1074,328,890,199,57
"California","2020-04-23",5999,1028,320,898,204,55
"California","2020-04-24",6049,982,312,906,208,53
"California","2020-04-25",6095,937,303,913,212,51
"California","2020-04-26",6137,893,294,919,216,49
"California","2020-04-27",6176,850,286,925,219,46
"California","2020-04-28",6212,809,277,930,223,44
"California","2020-04-29",6245,768,268,935,226,43
"California","2020-04-30",6275,729,259,940,229,41
"California","2020-05-01",6302,691,251,944,232,39
"California","2020-05-02",6328,655,242,947,234,37
"California","2020-05-03",6351,619,233,951,237,35
"California","2020-05-04",6372,586,225,954,240,33
"California","2020-05-05",6391,554,217,957,242,32
"California","2020-05-06",6408,523,209,960,244,30
"California","2020-05-07",6424,493,201,962,246,29
"California","2020-05-08",6439,465,193,964,248,27
"California","2020-05-09",6452,438,186,966,250,26
"California","2020-05-10",6464,413,178,968,252,24
"California","2020-05-11",6475,389,171,970,253,23
"California","2020-05-12",6484,366,164,971,255,22
"California","2020-05-13",6493,345,157,972,256,20
"California","2020-05-14",6501,324,151,974,258,19
"California","2020-05-15",6509,305,144,975,259,18
"California","2020-05-16",6515,287,138,976,260,17
"California","2020-05-17",6521,269,132,977,261,16
"California","2020-05-18",6527,253,127,977,262,15
"California","2020-05-19",6532,238,121,978,263,14
"California","2020-05-20",6536,223,116,979,264,13
"California","2020-05-21",6540,210,111,979,265,13
"California","2020-05-22",6544,197,106,980,266,12
"California","2020-05-23",6547,185,101,980,267,11
"California","2020-05-24",6550,174,97,981,268,10
"California","2020-05-25",6553,163,92,981,268,10
"California","2020-05-26",6555,153,88,982,269,9
"California","2020-05-27",6557,144,84,982,270,9
"California","2020-05-28",6559,135,80,982,270,8
"California","2020-05-29",6561,127,77,983,271,8
"California","2020-05-30",6563,119,73,983,271,7
"California","2020-05-31",6564,112,70,983,272,7
"California","2020-06-01",6565,105,66,983,272,6
"California","2020-06-02",6566,99,63,983,273,6
"California","2020-06-03",6568,93,60,983,273,5
"California","2020-06-04",6568,87,58,984,273,5
"California","2020-06-05",6569,82,55,984,274,5
"California","2020-06-06",6570,77,52,984,274,4
"California","2020-06-07",6571,72,50,984,274,4
"California","2020-06-08",6571,68,47,984,275,4
"California","2020-06-09",6572,64,45,984,275,4
"California","2020-06-10",6572,60,43,984,275,3
"California","2020-06-11",6573,56,41,984,275,3
"California","2020-06-12",6573,53,39,984,276,3
"California","2020-06-13",6573,50,37,984,276,3
"California","2020-06-14",6574,47,35,984,276,3
"California","2020-06-15",6574,44,34,984,276,2
"Colorado","2020-03-25",705,464,85,102,3,20
"Colorado","2020-03-26",839,546,101,123,4,23
"Colorado","2020-03-27",991,638,118,145,4,27
"Colorado","2020-03-28",1163,739,138,171,5,31
"Colorado","2020-03-29",1355,850,160,200,5,36
"Colorado","2020-03-30",1569,970,184,232,6,42
"Colorado","2020-03-31",1804,1100,210,267,7,47
"Colorado","2020-04-01",2062,1237,238,306,8,53
"Colorado","2020-04-02",2341,1383,268,348,8,60
"Colorado","2020-04-03",2643,1535,300,393,9,67
"Colorado","2020-04-04",2966,1694,334,442,11,74
"Colorado","2020-04-05",3310,1857,369,493,12,81
"Colorado","2020-04-06",3675,2024,405,548,13,89
"Colorado","2020-04-07",4059,2193,443,605,15,97
"Colorado","2020-04-08",4461,2364,482,666,16,105
"Colorado","2020-04-09",4880,2534,521,729,18,113
"Colorado","2020-04-10",5314,2703,561,794,20,121
"Colorado","2020-04-11",5763,2870,601,861,22,129
"Colorado","2020-04-12",6223,3032,641,930,24,137
"Colorado","2020-04-13",6695,3190,681,1001,26,145
"Colorado","2020-04-14",7176,3341,720,1073,29,153
"Colorado","2020-04-15",7664,3486,758,1146,31,160
"Colorado","2020-04-16",8158,3622,796,1220,33,167
"Colorado","2020-04-17",8655,3750,832,1295,36,174
"Colorado","2020-04-18",9155,3868,868,1370,39,180
"Colorado","2020-04-19",9656,3976,901,1445,42,186
"Colorado","2020-04-20",10156,4074,933,1520,44,192
"Colorado","2020-04-21",10654,4161,963,1595,47,197
"Colorado","2020-04-22",11148,4237,992,1669,50,201
"Colorado","2020-04-23",11637,4302,1018,1742,53,205
"Colorado","2020-04-24",12121,4356,1042,1815,56,209
"Colorado","2020-04-25",12596,4398,1064,1886,59,212
"Colorado","2020-04-26",13064,4429,1084,1956,63,215
"Colorado","2020-04-27",13523,4450,1101,2025,66,217
