Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Europe,Germany,None,2020-03-01,130,130,20,20,0,5
Europe,Germany,None,2020-03-02,152,143,22,23,1,5
Europe,Germany,None,2020-03-03,187,168,26,28,1,6
Europe,Germany,None,2020-03-04,244,213,33,37,2,8
Europe,Germany,None,2020-03-05,337,289,45,51,3,11
Europe,Germany,None,2020-03-06,481,411,64,72,4,15
Europe,Germany,None,2020-03-07,703,600,94,106,6,22
Europe,Germany,None,2020-03-08,1032,879,138,155,9,33
Europe,Germany,None,2020-03-09,1500,1278,200,225,13,48
Europe,Germany,None,2020-03-10,2147,1823,286,322,18,68
Europe,Germany,None,2020-03-11,3003,2535,398,450,26,94
Europe,Germany,None,2020-03-12,4101,3437,540,615,37,128
Europe,Germany,None,2020-03-13,5465,4538,715,820,52,169
Europe,Germany,None,2020-03-14,7110,5841,923,1067,71,217
Europe,Germany,None,2020-03-15,9054,7350,1165,1358,95,273
Europe,Germany,None,2020-03-16,11296,9052,1440,1694,125,336
Europe,Germany,None,2020-03-17,13835,10931,1745,2075,161,405
Europe,Germany,None,2020-03-18,16671,12978,2080,2501,204,481
Europe,Germany,None,2020-03-19,19789,15168,2440,2968,255,562
Europe,Germany,None,2020-03-20,23171,17472,2822,3476,314,646
Europe,Germany,None,2020-03-21,26798,19867,3223,4020,381,734
Europe,Germany,None,2020-03-22,30657,22333,3639,4598,457,825
Europe,Germany,None,2020-03-23,34720,24840,4066,5208,541,917
Europe,Germany,None,2020-03-24,38960,27359,4498,5844,634,1009
Europe,Germany,None,2020-03-25,43350,29861,4933,6502,735,1100
Europe,Germany,None,2020-03-26,47866,32327,5366,7180,845,1189
Europe,Germany,None,2020-03-27,52486,34736,5794,7873,963,1277
Europe,Germany,None,2020-03-28,57177,37059,6213,8577,1089,1361
Europe,Germany,None,2020-03-29,61919,39285,6620,9288,1223,1441
Europe,Germany,None,2020-03-30,66694,41402,7013,10004,1364,1517
Europe,Germany,None,2020-03-31,71479,43397,7389,10722,1511,1589
Europe,Germany,None,2020-04-01,76252,45254,7747,11438,1664,1655
Europe,Germany,None,2020-04-02,80986,46957,8082,12148,1823,1715
Europe,Germany,None,2020-04-03,85655,48487,8392,12848,1987,1769
Europe,Germany,None,2020-04-04,90248,49845,8677,13537,2155,1816
Europe,Germany,None,2020-04-05,94762,51042,8937,14214,2327,1858
Europe,Germany,None,2020-04-06,99191,52083,9172,14879,2502,1893
Europe,Germany,None,2020-04-07,103521,52965,9383,15528,2680,1923
Europe,Germany,None,2020-04-08,107733,53680,9567,16160,2859,1946
Europe,Germany,None,2020-04-09,111806,54214,9722,16771,3040,1963
Europe,Germany,None,2020-04-10,115738,54577,9849,17361,3222,1973
Europe,Germany,None,2020-04-11,119538,54790,9950,17931,3404,1978
Europe,Germany,None,2020-04-12,123208,54866,10028,18481,3585,1978
Europe,Germany,None,2020-04-13,126742,54810,10084,19011,3766,1973
Europe,Germany,None,2020-04-14,130134,54622,10115,19520,3945,1964
Europe,Germany,None,2020-04-15,133369,54294,10123,20005,4123,1949
Europe,Germany,None,2020-04-16,136448,53835,10107,20467,4299,1929
Europe,Germany,None,2020-04-17,139385,53270,10071,20908,4473,1906
Europe,Germany,None,2020-04-18,142188,52612,10017,21328,4643,1879
Europe,Germany,None,2020-04-19,144858,51872,9947,21729,4811,1850
Europe,Germany,None,2020-04-20,147395,51052,9860,22109,4975,1817
Europe,Germany,None,2020-04-21,149792,50150,9757,22469,5136,1782
Europe,Germany,None,2020-04-22,152047,49166,9638,22807,5293,1744
Europe,Germany,None,2020-04-23,154174,48122,9506,23126,5447,1704
Europe,Germany,None,2020-04-24,156184,47032,9363,23428,5596,1662
Europe,Germany,None,2020-04-25,158082,45906,9210,23712,5740,1619
Europe,Germany,None,2020-04-26,159872,44748,9049,23981,5881,1575
Europe,Germany,None,2020-04-27,161554,43561,8879,24233,6017,1530
Europe,Germany,None,2020-04-28,163122,42340,8700,24468,6149,1484
Europe,Germany,None,2020-04-29,164587,41095,8515,24688,6276,1437
Europe,Germany,None,2020-04-30,165958,39839,8324,24894,6399,1390
Europe,Germany,None,2020-05-01,167244,38582,8130,25087,6518,1343
Europe,Germany,None,2020-05-02,168449,37328,7933,25267,6632,1297
Europe,Germany,None,2020-05-03,169575,36078,7734,25436,6741,1250
Europe,Germany,None,2020-05-04,170622,34832,7532,25593,6847,1204
Europe,Germany,None,2020-05-05,171591,33589,7328,25739,6948,1159
Europe,Germany,None,2020-05-06,172491,32358,7124,25874,7045,1113
Europe,Germany,None,2020-05-07,173328,31145,6919,25999,7137,1069
Europe,Germany,None,2020-05-08,174108,29954,6716,26116,7226,1025
Europe,Germany,None,2020-05-09,174834,28787,6515,26225,7311,983
Europe,Germany,None,2020-05-10,175508,27643,6315,26326,7391,941
Europe,Germany,None,2020-05-11,176129,26522,6116,26419,7469,900
Europe,Germany,None,2020-05-12,176700,25423,5920,26505,7542,860
Europe,Germany,None,2020-05-13,177229,24352,5726,26584,7612,822
Europe,Germany,None,2020-05-14,177718,23311,5535,26658,7679,784
Europe,Germany,None,2020-05-15,178171,22302,5348,26726,7742,748
Europe,Germany,None,2020-05-16,178591,21323,5164,26789,7802,713
Europe,Germany,None,2020-05-17,178977,20376,4985,26847,7859,679
Europe,Germany,None,2020-05-18,179332,19456,4809,26900,7913,646
Europe,Germany,None,2020-05-19,179656,18566,4636,26948,7965,615
Europe,Germany,None,2020-05-20,179955,17707,4468,26993,8013,584
Europe,Germany,None,2020-05-21,180231,16879,4304,27035,8059,555
Europe,Germany,None,2020-05-22,180485,16083,4144,27073,8103,527
Europe,Germany,None,2020-05-23,180719,15318,3989,27108,8144,500
Europe,Germany,None,2020-05-24,180933,14583,3838,27140,8183,474
Europe,Germany,None,2020-05-25,181129,13875,3691,27169,8220,449
Europe,Germany,None,2020-05-26,181308,13195,3549,27196,8255,426
Europe,Germany,None,2020-05-27,181472,12543,3411,27221,8287,403
Europe,Germany,None,2020-05-28,181622,11919,3277,27243,8318,381
Europe,Germany,None,2020-05-29,181760,11322,3148,27264,8347,361
Europe,Germany,None,2020-05-30,181887,10752,3023,27283,8375,341
Europe,Germany,None,2020-05-31,182003,10207,2902,27300,8401,322
Europe,Germany,None,2020-06-01,182108,9686,2785,27316,8425,304
Europe,Germany,None,2020-06-02,182204,9188,2672,27331,8448,287
Europe,Germany,None,2020-06-03,182291,8713,2563,27344,8469,271
Europe,Germany,None,2020-06-04,182371,8260,2457,27356,8489,256
Europe,Germany,None,2020-06-05,182444,7829,2356,27367,8508,241
Europe,Germany,None,2020-06-06,182512,7419,2259,27377,8526,228
Europe,Germany,None,2020-06-07,182578,7034,2165,27387,8543,215
Europe,Germany,None,2020-06-08,182658,6686,2078,27399,8559,203
Europe,Germany,None,2020-06-09,182788,6407,2003,27418,8574,194
Europe,Germany,None,2020-06-10,183040,6265,1949,27456,8588,190
Europe,Germany,None,2020-06-11,183502,6335,1928,27525,8602,194
Europe,Germany,None,2020-06-12,184204,6631,1943,27631,8618,207
Europe,Germany,None,2020-06-13,185091,7087,1984,27764,8634,225
Europe,Germany,None,2020-06-14,186080,7611,2039,27912,8653,246
Europe,Germany,None,2020-06-15,187108,8137,2096,28066,8673,267
Europe,Germany,None,2020-06-16,188128,8623,2150,28219,8695,286
Europe,Germany,None,2020-06-17,189110,9040,2195,28367,8718,302
Europe,Germany,None,2020-06-18,190042,9381,2231,28506,8743,315
Europe,Germany,None,2020-06-19,190916,9644,2257,28637,8769,326
Europe,Germany,None,2020-06-20,191725,9827,2272,28759,8795,333
Europe,Germany,None,2020-06-21,192470,9935,2277,28870,8822,338
Europe,Germany,None,2020-06-22,193154,9978,2273,28973,8850,340
Europe,Germany,None,2020-06-23,193780,9962,2261,29067,8877,340
Europe,Germany,None,2020-06-24,194349,9892,2240,29152,8904,338
Europe,Germany,None,2020-06-25,194867,9775,2214,29230,8931,334
Europe,Germany,None,2020-06-26,195338,9621,2181,29301,8957,328
Europe,Germany,None,2020-06-27,195766,9435,2144,29365,8983,322
Europe,Germany,None,2020-06-28,196153,9222,2102,29423,9008,314
Europe,Germany,None,2020-06-29,196503,8986,2057,29475,9033,306
Europe,Germany,None,2020-06-30,196819,8732,2010,29523,9056,297
Europe,Germany,None,2020-07-01,197106,8466,1959,29566,9079,287
Europe,Germany,None,2020-07-02,197366,8190,1908,29605,9101,277
Europe,Germany,None,2020-07-03,197600,7907,1855,29640,9123,267
Europe,Germany,None,2020-07-04,197811,7620,1801,29672,9143,257
Europe,Germany,None,2020-07-05,198002,7331,1746,29700,9163,246
Europe,Germany,None,2020-07-06,198174,7042,1692,29726,9181,236
Europe,Germany,None,2020-07-07,198329,6755,1637,29749,9199,226
Europe,Germany,None,2020-07-08,198469,6472,1583,29770,9216,216
Europe,Germany,None,2020-07-09,198595,6194,1529,29789,9232,206
Europe,Germany,None,2020-07-10,198710,5921,1476,29806,9247,196
Europe,Germany,None,2020-07-11,198812,5654,1423,29822,9262,187
Europe,Germany,None,2020-07-12,198904,5394,1372,29836,9276,177
Europe,Germany,None,2020-07-13,198987,5141,1321,29848,9289,169
Europe,Germany,None,2020-07-14,199062,4896,1272,29859,9301,160
Europe,Germany,None,2020-07-15,199129,4660,1223,29869,9312,152
Europe,Germany,None,2020-07-16,199190,4432,1176,29878,9323,144
Europe,Germany,None,2020-07-17,199245,4213,1131,29887,9334,136
Europe,Germany,None,2020-07-18,199294,4002,1086,29894,9344,129
Europe,Germany,None,2020-07-19,199339,3799,1043,29901,9353,122
Europe,Germany,None,2020-07-20,199378,3605,1002,29907,9361,115
