Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Europe,Germany,None,2020-03-01,130,130,20,20,0,5,130.0,0.0,130,0,130,0
Europe,Germany,None,2020-03-02,136,128,19,20,1,5,159.0,0.0,136,1,136,1
Europe,Germany,None,2020-03-03,153,136,21,23,3,5,196.0,0.0,153,3,153,3
Europe,Germany,None,2020-03-04,185,159,25,28,4,6,262.0,0.0,185,4,185,4
Europe,Germany,None,2020-03-05,241,203,32,36,6,8,482.0,0.0,241,6,241,6
Europe,Germany,None,2020-03-06,334,281,44,50,9,10,670.0,0.0,334,9,334,9
Europe,Germany,None,2020-03-07,488,413,64,73,12,15,799.0,0.0,488,12,488,12
Europe,Germany,None,2020-03-08,734,625,97,110,16,23,1040.0,0.0,734,16,734,16
Europe,Germany,None,2020-03-09,1108,949,148,166,23,35,1176.0,2.0,1108,23,1108,23
Europe,Germany,None,2020-03-10,1657,1422,221,248,32,53,1457.0,2.0,1657,32,1657,32
Europe,Germany,None,2020-03-11,2422,2074,323,363,44,77,1908.0,3.0,2422,44,2422,44
Europe,Germany,None,2020-03-12,3441,2932,458,516,61,109,2078.0,3.0,3441,61,3441,61
Europe,Germany,None,2020-03-13,4747,4013,628,712,83,149,3675.0,7.0,4747,83,4747,83
Europe,Germany,None,2020-03-14,6355,5319,834,953,112,198,4585.0,9.0,6355,112,6355,112
Europe,Germany,None,2020-03-15,8283,6851,1078,1242,148,255,5795.0,11.0,8283,148,8283,148
Europe,Germany,None,2020-03-16,10531,8597,1358,1580,192,319,7272.0,17.0,10531,192,10531,192
Europe,Germany,None,2020-03-17,13091,10535,1670,1964,244,391,9257.0,24.0,13091,244,13091,244
Europe,Germany,None,2020-03-18,15958,12648,2013,2394,305,469,12327.0,28.0,15958,305,15958,305
Europe,Germany,None,2020-03-19,19118,14911,2383,2868,375,553,15320.0,44.0,19118,375,19118,375
Europe,Germany,None,2020-03-20,22543,17288,2775,3381,454,640,19848.0,67.0,22543,454,22543,454
Europe,Germany,None,2020-03-21,26212,19750,3185,3932,543,731,22213.0,84.0,26212,543,26212,543
Europe,Germany,None,2020-03-22,30105,22274,3608,4516,640,824,24873.0,94.0,30105,640,30105,640
Europe,Germany,None,2020-03-23,34192,24828,4041,5129,746,917,29056.0,123.0,34192,746,34192,746
Europe,Germany,None,2020-03-24,38444,27380,4478,5767,860,1010,32986.0,157.0,38444,860,38444,860
Europe,Germany,None,2020-03-25,42833,29903,4915,6425,983,1102,37323.0,206.0,42833,983,42833,983
Europe,Germany,None,2020-03-26,47331,32373,5348,7100,1112,1192,43938.0,267.0,47331,1112,47331,1112
Europe,Germany,None,2020-03-27,51913,34769,5774,7787,1249,1279,50871.0,342.0,51913,1249,51913,1249
Europe,Germany,None,2020-03-28,56547,37063,6187,8482,1392,1362,57695.0,433.0,56547,1392,56547,1392
Europe,Germany,None,2020-03-29,61212,39243,6586,9182,1541,1441,62095.0,533.0,61212,1541,61212,1541
Europe,Germany,None,2020-03-30,65894,41303,6970,9884,1694,1515,66885.0,645.0,65894,1694,65894,1694
Europe,Germany,None,2020-03-31,70573,43232,7336,10586,1852,1584,71808.0,775.0,70573,1852,70573,1852
