"State","Data Start Date","Infection Rate","Median Day of Action","Rate of Action","Mortality Rate","Internal Parameter 1","Internal Parameter 2"
"Alabama","2020-03-20",1.246322257031542,-2.8551410840139426,1.6564255827139815,0.07764761490689312,6.292470783643982,0.22833346093472884
"Alaska","2020-03-28",0.9362717868190561,-7.323749432774113,2.2345931616059285,0.05190166170343623,1.0754135372374887,0.16602293301678017
"Arizona","2020-03-21",1.000898627205464,1.362626880338861,2.7137421355062576,0.08638259030135122,7.520567361367621,1.433817232254555
"Arkansas","2020-03-20",0.8502129030493665,-5.553395687854398,2.217175282534704,0.04703466892509775,5.498980400143104,0.17407222340298298
"California","2020-03-19",0.8589246896503441,5.054436805324196,2.3035091358878224,0.07636261292089559,4.17096371041163,0.44859026212925857
"Colorado","2020-03-19",0.7519898511497756,5.479387944968497,2.867697797807093,0.09573770380977085,7.141715500192147,0.24091504621319218
"Connecticut","2020-03-19",0.7529214967519324,13.012888413842685,2.549145336491047,0.12954871966953402,8.249665233952967,1.0813210922398537
"Delaware","2020-03-24",1.4681789513459904,-4.126531203080944,1.501747777471207,0.07188394291489039,2.9938910915056396,0.17403874424982124
"District of Columbia","2020-03-22",1.2740503038457922,-2.828054662934794,1.6627960388056255,0.07104017159046265,4.190419135626147,0.1476709343366859
"Florida","2020-03-19",0.8241261243151632,7.888634383891887,2.0401463904388817,0.06294875178184625,2.033572623390252,2.8883218281718914
"Georgia","2020-03-19",0.7289026824916996,9.933225712482377,2.4520568673503544,0.10445051693355066,7.879814575174413,1.4197330012585938
"Hawaii","2020-03-26",0.5163752990116726,-7.8334317924665875,3.3684244385645763,0.0308042042388801,3.4277922501827804,0.06854937885965348
"Idaho","2020-03-25",0.5495288254737177,3.377879120658487,2.97490639354738,0.05095134013374458,5.6301211126078154,0.44207455573842525
"Illinois","2020-03-19",0.9390776661751061,7.401456158040337,2.430665583891771,0.09848582760015588,5.973218686238588,0.3023595465543376
"Indiana","2020-03-21",0.7186941046858348,9.561544900549181,2.2773099185109054,0.1204584511722116,7.1057051400419535,4.86810108957791
"Iowa","2020-03-23",1.1404922175319567,-3.994233628582046,1.7467818984578114,0.07018709560974755,4.438791175527326,0.17162151560038327
"Kansas","2020-03-24",0.9963358254652704,-6.0692497282991145,2.2580980139974085,0.09189991151837121,9.174396145294754,0.23949145258536902
"Kentucky","2020-03-22",1.2830817197142392,-4.709030862288277,2.024111730870118,0.13752562028244106,7.900977148696162,0.1771027866903649
"Louisiana","2020-03-19",1.087148829103531,7.577560855157163,3.6677420521446766,0.11446759793794917,4.334249462898045,1.0140590560977296
"Maine","2020-03-23",0.7094806566930808,-6.828937412002608,1.9145641021666713,0.06774265750703679,2.9495719524914525,0.1042082960260246
"Maryland","2020-03-19",1.0394739420799517,9.109016688312577,2.155515042428538,0.06932752853603895,5.101926635584952,0.48308811409370334
"Massachusetts","2020-03-19",1.2067836389432383,5.902174533026191,2.634672772595539,0.0866494521950467,6.725676180946415,0.08741255194603967
