"State","Data Start Date","Infection Rate","Median Day of Action","Rate of Action","Mortality Rate","Internal Parameter 1","Internal Parameter 2"
"Alabama","2020-03-21",1.1385236347400325,-2.578527738667245,2.3282171381530485,0.023440378386978895,5.2202626138666455,0.28147820623414316
"Arizona","2020-03-22",0.7551198332422058,-1.466915723969719,2.9542450130416054,0.08014611887450243,9.147887365557022,0.15733154410605427
"Arkansas","2020-03-22",0.837947877345473,-7.808987640165166,2.3389063010538336,0.04571821229495558,4.094075574032638,0.13960539655383067
"California","2020-03-10",0.9883191382045121,5.503980261702814,2.5111128148833153,0.06603897055518916,7.731988840792005,0.12406419678339803
"Colorado","2020-03-15",1.212914372617213,6.015123338248673,1.4069574969443785,0.012539598018272011,3.8049727887425457,0.24724876111479588
"Connecticut","2020-03-20",0.9200594124613071,4.144391510221196,2.5920360739774133,0.08949614572860116,8.651726072641715,0.14080678416751102
"District of Columbia","2020-03-23",0.8427292603125517,-6.5672135685856485,2.2320848231528694,0.03383100389646988,4.6903032564349445,0.1
"Florida","2020-03-17",1.2863384219890435,5.746195260339729,1.73885137688841,0.04979123714136876,1.8421264036345357,2.6081062371169406
"Georgia","2020-03-17",0.9179066631523296,4.50265802011801,2.942072445333844,0.11643563107133942,8.513191357634849,0.1801604510320907
"Illinois","2020-03-18",0.9039899540545555,3.7219061353281826,2.217913409471691,0.0469905698299691,4.481183996725624,1.7984341865077684
"Indiana","2020-03-22",0.8237109756787298,2.1853196928276932,2.006807116790261,0.08727626790174411,7.5235068576309905,2.4119687117044126
"Kentucky","2020-03-23",0.9396924375526422,2.8254835295282312,2.5705157479391456,0.07727520278908995,5.7250832049355544,0.18356766978888528
"Louisiana","2020-03-17",0.7167131114665528,9.607417778718215,2.255540332356761,0.10875148553322522,8.198182831286879,1.1649941811722273
"Maryland","2020-03-20",1.3651400829533853,-4.865224979811868,2.3146505573423264,0.028333022616286778,6.708811683713536,0.11086863933279002
"Massachusetts","2020-03-13",1.5781098607900446,7.774334381784914,1.0693203569770775,0.0451696860388583,1.7728364316721068,0.4630879041812472
"Michigan","2020-03-19",0.7101211251106758,8.33005472049667,2.4500300709387512,0.08713172682754425,5.314387144817106,3.0269275127725668
"Minnesota","2020-03-21",1.0313356959236855,-6.774926476169924,2.3172366364490524,0.037198929549895565,3.7566370225394454,0.09993776453047266
"Mississippi","2020-03-22",0.8861555587062792,-0.9608029842044581,2.638175279178225,0.06372114326881688,5.288168915781187,0.095
"Missouri","2020-03-23",0.9434794800913606,5.821317555171044,2.18372865213859,0.03296246749800423,5.566692153511354,1.4053285058354796
"Nevada","2020-03-21",0.9160109231491516,-3.587923704541214,2.421127836603116,0.060117547174298985,3.3733457836112835,0.17023747582014512
"New Jersey","2020-03-17",1.3554372926346205,9.908466172226209,1.4650047511430038,0.08414709362322297,6.088014233071523,2.687543720748744
"New York","2020-03-09",1.1916379866754723,12.72298531723823,3.2442869236051615,0.10516845128903426,3.3731114565460323,4.183962962950837
"North Carolina","2020-03-20",1.074978427787919,-8.255285985379569,2.0906379013406786,0.017597785183075487,5.624686252289586,0.09692501592266745
"Ohio","2020-03-20",0.9007698066343696,7.861765952850159,2.612142257553723,0.07552189194857675,7.0187209236788375,0.10064680508198592
"Oregon","2020-03-21",0.9579680623032893,-1.121530570442484,2.6523658167307107,0.08243714048765112,4.659065381591248,0.17942932412409943
"Pennsylvania","2020-03-18",1.4173274131699671,-1.7430582865906632,2.173117805555724,0.03824923354963511,11.058821609085735,0.10645471523456321
"South Carolina","2020-03-21",0.8291894069833,2.8629201914091196,2.7203829081113016,0.07582470904748909,4.554781196143798,0.16566982198446895
"Tennessee","2020-03-20",1.1283043167332902,3.7946520042446505,2.289850664811229,0.01688867252695934,3.719276291950526,1.150303238022149
"Texas","2020-03-18",0.8857324107776915,5.672914646461324,2.368604968971054,0.03859507512689448,5.5726411167282945,1.1493991910125252
"Utah","2020-03-22",0.8194708873855318,-10.444571799986079,2.2035473154773824,0.009500000051030816,5.992498591994704,0.09526989443460218
"Virginia","2020-03-20",1.0591871468777438,3.239314988673846,2.3131431481052136,0.07746171141217328,5.13914902749265,0.19548285426525364
"Washington","2020-03-08",0.5806217596173495,-10.008193264455622,3.771060353478595,0.007737835299340511,0.07739064061821552,0.07738342165477367
"Wisconsin","2020-03-19",1.1703202150425778,-3.1091184902356086,2.0426006694145853,0.048682505123612205,6.9095842146841715,0.11030258472237024
