Continent,Country,Province,Day,Total Detected,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths
North America,US,Connecticut,2020-11-30,116837,1071,4217,4990
North America,US,Connecticut,2020-12-01,118988,1090,4337,5004
North America,US,Connecticut,2020-12-02,121148,1108,4458,5019
North America,US,Connecticut,2020-12-03,123315,1125,4579,5034
North America,US,Connecticut,2020-12-04,125485,1141,4701,5048
North America,US,Connecticut,2020-12-05,127654,1155,4822,5063
North America,US,Connecticut,2020-12-06,129819,1168,4943,5078
North America,US,Connecticut,2020-12-07,131976,1179,5064,5092
North America,US,Connecticut,2020-12-08,134121,1188,5184,5106
North America,US,Connecticut,2020-12-09,136250,1196,5304,5120
North America,US,Connecticut,2020-12-10,138361,1202,5422,5134
North America,US,Connecticut,2020-12-11,140449,1207,5539,5148
North America,US,Connecticut,2020-12-12,142512,1209,5654,5162
North America,US,Connecticut,2020-12-13,144546,1210,5768,5175
North America,US,Connecticut,2020-12-14,146548,1209,5880,5188
North America,US,Connecticut,2020-12-15,148516,1207,5990,5201
North America,US,Connecticut,2020-12-16,150446,1202,6098,5214
North America,US,Connecticut,2020-12-17,152337,1196,6204,5226
North America,US,Connecticut,2020-12-18,154185,1188,6308,5238
North America,US,Connecticut,2020-12-19,155989,1179,6409,5250
North America,US,Connecticut,2020-12-20,157746,1168,6507,5261
North America,US,Connecticut,2020-12-21,159456,1155,6603,5272
North America,US,Connecticut,2020-12-22,161116,1141,6696,5282
North America,US,Connecticut,2020-12-23,162726,1125,6786,5293
North America,US,Connecticut,2020-12-24,164284,1108,6873,5303
North America,US,Connecticut,2020-12-25,165790,1090,6957,5312
North America,US,Connecticut,2020-12-26,167243,1071,7039,5322
North America,US,Connecticut,2020-12-27,168642,1050,7117,5330
North America,US,Connecticut,2020-12-28,169987,1028,7192,5339
North America,US,Connecticut,2020-12-29,171279,1006,7265,5347
North America,US,Connecticut,2020-12-30,172517,983,7334,5355
North America,US,Connecticut,2020-12-31,173702,958,7400,5362
North America,US,Connecticut,2021-01-01,174835,934,7464,5369
North America,US,Connecticut,2021-01-02,175915,908,7524,5376
North America,US,Connecticut,2021-01-03,176944,882,7582,5382
North America,US,Connecticut,2021-01-04,177923,856,7637,5389
North America,US,Connecticut,2021-01-05,178852,830,7689,5394
North America,US,Connecticut,2021-01-06,179733,803,7738,5400
North America,US,Connecticut,2021-01-07,180568,776,7785,5405
North America,US,Connecticut,2021-01-08,181357,749,7829,5410
North America,US,Connecticut,2021-01-09,182101,722,7871,5414
North America,US,Connecticut,2021-01-10,182803,696,7910,5419
North America,US,Connecticut,2021-01-11,183464,669,7947,5423
