"Continent","Country","Province","Data Start Date","Infection Rate","Median Day of Action","Rate of Action","Mortality Rate","Internal Parameter 1","Internal Parameter 2"
"Asia","Afghanistan","None","2020-03-27",1.22115741989114,-26.090870357320046,1.9170227686593322,0.07042187661587991,4.306287690800121,0.1
"Europe","Albania","None","2020-03-23",1.24999999759259,-25.75419384313396,1.7880548956369127,0.1,1.9427755766774677,0.6659274037802075
"Africa","Algeria","None","2020-03-21",0.9863748266845717,-3.3332376951332945,1.8406805150434713,0.09999999134287588,5.087003704507379,4.267314482874178
"Europe","Andorra","None","2020-03-22",0.8386528821454745,-29.106941720763228,1.1463934473169761,0.1,2.1265824712931076,0.8708524139084373
"South America","Argentina","None","2020-03-20",0.9881616558806271,-29.903598721802712,2.0924965286934483,0.09538526690029855,9.967717718966773,1.5973547366236556
"Asia","Armenia","None","2020-03-19",1.2499999934269106,-23.92070277051957,1.4174023461153122,0.029772076751178,3.6515933549736217,0.10002469700613056
"Oceania","Australia","Queensland","2020-03-19",0.75,-18.295985719978184,2.9999334429566074,0.010477199285678375,4.053693556326862,0.7056668438948291
"Oceania","Australia","Victoria","2020-03-18",0.8803436260720569,-27.99311042070179,1.894214837005314,0.022346322724074722,6.984656344136249,0.1
"Europe","Austria","None","2020-03-08",0.75,8.689064956610213,3.,0.0462270607382702,9.999999929288993,2.5510960966810647
"Asia","Azerbaijan","None","2020-03-26",1.0675353356707804,-29.948550894814502,1.8255153121050947,0.02449644978333743,7.6533133903706725,0.1
"Asia","Bahrain","None","2020-03-10",1.1554485222746897,-11.115735885315845,1.,0.014761438567478124,0.10041900943426331,0.6256285927352371
"Europe","Belarus","None","2020-03-30",1.1239290768871797,9.99999771307998,2.4894312965646948,0.06759474483114175,3.5810241410514747,0.2907524153565477
"Europe","Belgium","None","2020-03-06",1.249999999296283,9.999999886967684,2.200374351323372,0.1,3.8138811173242058,0.10042673891795408
"South America","Bolivia","None","2020-03-31",0.7500012629712213,-19.3506750643768,2.5105089495558777,0.09979976756254502,3.037478817196191,0.1
"South America","Brazil","None","2020-03-13",1.25,-3.7183697984158894,1.2393836546201873,0.09999996720213986,0.10004631321288569,6.5192486541718955
"Europe","Bulgaria","None","2020-03-20",0.8847528798946949,-26.067547334915208,2.4165135677803162,0.08547929033615236,3.630269656009045,0.1
"Asia","Cambodia","None","2020-03-29",0.8232845361496418,-29.95385276832335,2.249318978268227,0.011367435166961218,0.16209584032199667,0.11226659897794641
"Africa","Cameroon","None","2020-03-29",1.0118675166781994,-24.849190743065016,2.441484757350618,0.026773676733934,6.721156149170227,0.6859511567036412
"North America","Canada","Alberta","2020-03-19",1.2499999989691002,-5.304093121034876,2.224872074083878,0.05839973305244625,2.646515116227217,0.7732539929699281
"North America","Canada","Manitoba","2020-03-31",0.751781818049172,-27.650572153356883,1.8761706514685172,0.033896658020394266,0.1,1.0575842159532094
"North America","Canada","Ontario","2020-03-15",1.249999992458103,8.75741052702518,2.9999999408756777,0.1,1.1672020411240946,0.44288548956955925
"North America","Canada","Quebec","2020-03-19",0.9390140783232512,7.297090880354085,2.999999985013614,0.06611246607328869,5.385039903473315,3.756448709249641
"North America","Canada","Saskatchewan","2020-03-28",1.0422896756607005,-29.999478278712992,2.0204630459481576,0.03677264328385958,0.3038466899002028,0.5746057177289663
"South America","Chile","None","2020-03-16",1.032756586367011,2.051293250199246,1.5623328846700355,0.02892239466857934,6.041538552495825,0.10545097808762552
"South America","Colombia","None","2020-03-19",1.126585924833532,-6.163400404796995,1.0000712327154455,0.09999999680006126,4.933494672084825,0.10230906045683989
"Europe","Croatia","None","2020-03-19",1.0832714774848864,-25.478053624194118,2.363408141871705,0.03195840596577788,9.736244362462353,0.1
