Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Vaccinated,Fully Vaccinated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Africa,None,None,2021-04-30,29257,51,2,820,2074,0,334494.5178221289,0.0,,,29257,2074,29257,2074
Africa,None,None,2021-05-01,29257,50,2,820,2075,0,334494.5178221289,0.0,,,29257,2074,3022671,80749
Africa,None,None,2021-05-02,29257,49,2,820,2076,0,334494.5178221289,0.0,,,29257,2074,4262584,113338
Africa,None,None,2021-05-03,29257,48,2,820,2077,0,334494.5178221289,0.0,,,29257,2074,5214002,138345
Africa,None,None,2021-05-04,29257,47,2,820,2078,0,334494.5178221289,0.0,,,29257,2074,6016085,159427
Africa,None,None,2021-05-05,29257,46,2,820,2079,0,334494.5178221289,0.0,,,29257,2074,6722734,178000
Africa,None,None,2021-05-06,29257,45,2,820,2080,0,334494.5178221289,0.0,,,29257,2074,7361594,194792
Africa,None,None,2021-05-07,29257,44,2,820,2081,0,334494.5178221289,0.0,,,29257,2074,7949086,210234
Africa,None,None,2021-05-08,29257,43,1,820,2081,0,334494.5178221289,0.0,,,29257,2074,8495911,224606
Africa,None,None,2021-05-09,29257,43,1,820,2082,0,334494.5178221289,0.0,,,29257,2074,9009499,238105
Africa,None,None,2021-05-10,29257,42,1,820,2083,0,334494.5178221289,0.0,,,29257,2074,9495264,250873
Africa,None,None,2021-05-11,29257,41,1,820,2084,0,334494.5178221289,0.0,,,29257,2074,9957288,263018
Africa,None,None,2021-05-12,29257,40,1,820,2085,0,334494.5178221289,0.0,,,29257,2074,10398748,274621
Africa,None,None,2021-05-13,29257,39,1,820,2086,0,334494.5178221289,0.0,,,29257,2074,10822165,285751
Africa,None,None,2021-05-14,29257,38,1,820,2086,0,334494.5178221289,0.0,,,29257,2074,11229587,296459
Africa,None,None,2021-05-15,29257,38,1,820,2087,0,334494.5178221289,0.0,,,29257,2074,11622700,306792
Africa,Sudan,None,2021-04-30,29257,51,2,820,2074,0,334494.5178221289,0.0,,,29257,2074,29257,2074
Africa,Sudan,None,2021-05-01,29257,50,2,820,2075,0,334494.5178221289,0.0,,,29257,2074,30185,2209
