Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
Asia,Afghanistan,None,2020-03-27,13.341200574787536,2.257627015190513,-152.5285029337375,0.25025152731928163,0.10218324706833108,0.037770186871825207,1.9422330476629757,0.12189543198750112
Europe,Albania,None,2020-03-23,9.334859461500374,0.9257379440264428,-90.39016863763115,0.3270111410469824,0.2502367161319041,0.0341172555310518,1.7292727828177876,0.7490863356862857
Africa,Algeria,None,2020-03-21,19.246823472753263,0.7301400197105766,-49.175577249626464,0.20567532652679027,0.3287628869949123,0.09209619464992773,1.578455499469026,7.738634045737869
Europe,Andorra,None,2020-03-22,7.364083755743931,1.878927648953176,-5.141200260419911,10.016590980973026,0.08327731481770571,0.06731816372162333,2.7422176954141957,0.5059006632332682
South America,Argentina,None,2020-03-20,12.213964815481004,0.506387725785495,-3.3505702908221884,0.06076567860038635,0.12664653448890215,0.058778056458443084,0.976642643751197,2.678842921214624
Asia,Armenia,None,2020-03-19,19.687233362024685,1.2810101501168183,-148.74125579231637,0.1492248589002936,0.2782816898420707,0.01517902759161546,0.8688847329548312,0.3216490726088229
Oceania,Australia,Australian Capital Territory,2020-04-09,2.4503274387241105,1.0628574420720236,-19.43011537270295,3.6776924501072448,0.1253621708438448,0.011120408186176342,0.034736697518121355,0.017827694602527675
Oceania,Australia,New South Wales,2020-03-14,10.957316615822362,3.758318326561757,-0.4757382241728126,23.34702889146281,0.032743631337334364,0.018500461007555737,7.585152363199209,1.3101053978210155
Oceania,Australia,Queensland,2020-03-19,4.10577381002397,0.3110692427751698,-3.1629636813007065,13.2192314697849,0.11904141204674087,0.005901557635543295,5.609344500178961,0.14504134137602134
Oceania,Australia,South Australia,2020-03-22,5.8726559055372975,0.045510265948453886,-97.35122355054979,14.065433025519571,0.08680846055759174,0.009537354737642865,2.020432580050205,1.383404356761006
Oceania,Australia,Tasmania,2020-04-09,3.4448909905890717,0.0767879121485049,-94.56423988357895,10.175503060192797,0.11060223130245046,0.05089026312357623,0.9863969564891186,0.2740870766199306
Oceania,Australia,Victoria,2020-03-18,6.834074156093936,0.7091154521183499,-23.95977387866937,1.4940147353114068,0.1468188607932546,0.012311285118675972,6.283401302762628,0.08034448333017237
Oceania,Australia,Western Australia,2020-03-22,5.910036881026504,0.12889761616946335,-5.779187086866951,10.67948491527572,0.06782618243786985,0.015437900585967244,3.5804429583700936,0.10985378587098757
Europe,Austria,None,2020-03-08,55.742307363195636,6.3759916417100575,-0.3395432782764773,18.21437271463403,0.06362489079663984,0.042873732818976495,12.982180947275946,0.8722597985093818
Asia,Azerbaijan,None,2020-03-26,14.988635747073054,1.2166138755499396,-20.98831786188832,0.6971246846183377,0.12820571653639434,0.014085689427881538,1.4005974664851721,0.4326469340248965
Asia,Bahrain,None,2020-03-10,26.836073731786147,0.5665104372939375,-0.04598463559863319,0.08079361247164138,0.23920123681549696,0.0020747979038657645,0.13635722877637452,0.9933132343630297
Asia,Bangladesh,None,2020-04-06,23.135451563643173,0.8042084398865392,-3.396303452373569,0.3795013442532641,0.1090968186789908,0.02242235809947856,2.2306894063436533,13.103378923318123
Europe,Belarus,None,2020-03-30,26.12311855326668,0.7047860340935624,1.8434757476584869,0.4983573071388547,0.12503865448125975,0.0075378295796610295,10.93062762586866,0.8735446229232527
Europe,Belgium,None,2020-03-06,57.726628180033366,1.5859638212611105,9.760068547703028,2.7863574883428033,0.18103625547470692,0.17083235185989662,1.7825480029926342,0.019265815342152142
Africa,Benin,None,2020-05-07,28.44199258927852,0.3587227920524925,-19.487165471240857,5.846149844610068,0.03314611162967325,0.007145888597972165,0.04782974650331953,0.70900993292272
South America,Bolivia,None,2020-03-31,9.913102550128869,1.6476559364647323,-84.07612366014189,0.27111889298749786,0.11153469131186802,0.0656436698741119,0.27589085744232955,0.7995157373648382
Europe,Bosnia and Herzegovina,None,2020-03-22,8.691504981719916,0.7136096345411593,-29.89096693648359,0.4181931443452414,0.041427305952831305,0.08458119397097237,2.519009854850243,0.4494150060481119
