Continent,Country,Province,Day,Total Detected,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths
North America,US,Connecticut,2020-07-01,42589,60,60,4336
North America,US,Connecticut,2020-07-02,42622,56,62,4351
North America,US,Connecticut,2020-07-03,42704,55,66,4357
North America,US,Connecticut,2020-07-04,42816,56,72,4361
North America,US,Connecticut,2020-07-05,42946,58,80,4364
North America,US,Connecticut,2020-07-06,43086,60,88,4367
North America,US,Connecticut,2020-07-07,43233,62,96,4370
North America,US,Connecticut,2020-07-08,43384,65,104,4373
North America,US,Connecticut,2020-07-09,43535,67,113,4376
North America,US,Connecticut,2020-07-10,43687,69,121,4379
North America,US,Connecticut,2020-07-11,43838,71,130,4383
North America,US,Connecticut,2020-07-12,43988,72,138,4386
North America,US,Connecticut,2020-07-13,44137,74,146,4389
North America,US,Connecticut,2020-07-14,44283,75,155,4392
North America,US,Connecticut,2020-07-15,44427,76,163,4394
North America,US,Connecticut,2020-07-16,44569,76,171,4397
North America,US,Connecticut,2020-07-17,44709,77,178,4400
North America,US,Connecticut,2020-07-18,44846,77,186,4403
North America,US,Connecticut,2020-07-19,44980,78,194,4405
North America,US,Connecticut,2020-07-20,45113,78,201,4408
North America,US,Connecticut,2020-07-21,45242,78,208,4410
North America,US,Connecticut,2020-07-22,45370,77,215,4413
North America,US,Connecticut,2020-07-23,45494,77,222,4415
North America,US,Connecticut,2020-07-24,45617,77,229,4417
North America,US,Connecticut,2020-07-25,45737,76,236,4419
North America,US,Connecticut,2020-07-26,45854,76,243,4422
North America,US,Connecticut,2020-07-27,45970,75,249,4424
North America,US,Connecticut,2020-07-28,46083,74,255,4426
North America,US,Connecticut,2020-07-29,46194,74,262,4428
North America,US,Connecticut,2020-07-30,46303,73,268,4430
North America,US,Connecticut,2020-07-31,46410,72,274,4431
North America,US,Connecticut,2020-08-01,46516,71,280,4433
North America,US,Connecticut,2020-08-02,46619,70,285,4435
North America,US,Connecticut,2020-08-03,46721,69,291,4437
North America,US,Connecticut,2020-08-04,46821,69,297,4438
North America,US,Connecticut,2020-08-05,46919,68,302,4440
North America,US,Connecticut,2020-08-06,47017,67,308,4441
North America,US,Connecticut,2020-08-07,47112,66,313,4443
North America,US,Connecticut,2020-08-08,47207,65,318,4445
North America,US,Connecticut,2020-08-09,47300,64,324,4446
North America,US,Connecticut,2020-08-10,47392,63,329,4447
North America,US,Connecticut,2020-08-11,47483,63,334,4449
North America,US,Connecticut,2020-08-12,47574,62,339,4450
