,Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
0,Asia,Afghanistan,None,2020-03-27,10.5228498232091,0.7500072431748958,3.277140615912941,1.0000042481323528,0.05000010375057668,0.08312098188804486,0.7345089007580646,0.9022587142689403
0,Europe,Albania,None,2020-03-23,6.448081971124315,0.750003459813185,-9.999944738562304,1.3060885382197456,0.49999936927569705,0.0486180278372585,1.1286028107795614,0.8454253849970509
0,Africa,Algeria,None,2020-03-21,13.527366091910052,1.1147092349901158,0.6250360659422484,2.9998752791269276,0.16661769958170955,0.20228936633714728,6.728301333820145,1.7962189650866554
0,Europe,Andorra,None,2020-03-22,17.375307455146018,1.0525342725983822,-9.968172328201774,2.9999996134669065,0.10105698334737674,0.06504516666536463,1.9910983918467435,0.820431014376842
0,South America,Argentina,None,2020-03-20,5.709545879343155,0.8748672634383432,-9.999990453237327,1.0000004219334004,0.05434050755267317,0.09697810390532388,3.696245444664942,1.695660067380565
0,Asia,Armenia,None,2020-03-19,14.463871567625903,0.7500076281376832,2.5469463515044315,2.83625121995071,0.050000037377875756,0.03056136555847954,2.174720380414681,0.2762626743351352
0,Oceania,Australia,Australian Capital Territory,2020-04-10,11.677161450448963,0.7500115070214197,-0.8096528468399022,2.6195102762162352,0.050001781401142274,0.01000058978934313,0.10000154900472558,0.10000061055148154
0,Oceania,Australia,New South Wales,2020-03-14,16.68314598264575,0.7500000104004282,-0.44291509696008524,2.99999997260355,0.061711966708228524,0.012467845207134242,9.999999803092935,0.6786202370604307
0,Oceania,Australia,Queensland,2020-03-19,11.206616394472832,0.7500000001214739,-9.999999950840605,2.99999999881213,0.050000000002209145,0.01000000000119697,1.9530683814664542,1.6392152839273002
0,Oceania,Australia,South Australia,2020-03-23,13.627069154357955,0.7500000214099533,-9.99999991890493,2.99999989868045,0.05000001663148777,0.013569594945767144,0.10000006976460835,1.1827203528656807
0,Oceania,Australia,Tasmania,2020-04-09,3.0886351691872576,0.7500006438834012,-9.999979875229636,2.9999972200915273,0.23623117282824302,0.03163050131136241,0.49657744930883524,0.36638523935473966
0,Oceania,Australia,Victoria,2020-03-18,10.811565426535106,0.7500000096732875,-9.999999736768885,2.9999999636670065,0.08942471724840478,0.01447233791921581,5.9190587451818795,0.5100137496110287
0,Oceania,Australia,Western Australia,2020-03-22,12.521934464916207,0.7500000016952609,-9.999999996169729,2.9999999883076125,0.050000001446855014,0.018389495052734593,1.1855328413337167,1.0499761394983314
0,Europe,Austria,None,2020-03-08,87.46001144246873,0.7500000002447779,7.857204661149978,2.999999999597084,0.050000000027547904,0.0465395595527129,9.999999931241575,3.2562289801314246
0,Asia,Azerbaijan,None,2020-03-26,5.248935043140939,0.7500000853060182,1.3596842547786254,2.999999781867032,0.06495957349716183,0.020292053071604258,4.762411758990708,0.10000025254960805
0,Asia,Bahrain,None,2020-03-10,26.413146773907485,0.9058845602449168,9.99999539430285,1.0000000035463403,0.06808737816629859,0.010000000154084945,0.1000000495722408,0.16492410645236114
0,Asia,Bangladesh,None,2020-04-06,6.919425162201268,1.2499999633413457,5.447567024373956,2.9999980575624066,0.4999998678115685,0.04920636460228321,5.116047483472483,3.390816875852993
0,Europe,Belarus,None,2020-03-30,14.978757063158305,1.0344189072659882,5.786173917992763,2.9999998100621124,0.49999996333546187,0.011878855815960038,6.006647017916115,0.1000003393957276
0,Europe,Belgium,None,2020-03-06,101.08040291397266,1.2499999979354142,9.999999998694065,2.090971014920325,0.067702439759242,0.24999999987965693,3.696606832190901,0.10000036936058845
0,South America,Bolivia,None,2020-03-31,5.463020541602006,1.2499279166431272,-9.111344783439758,1.1268785628919005,0.2983778841065788,0.07821183813271214,1.2488713524809874,0.3251817757438989
0,Europe,Bosnia and Herzegovina,None,2020-03-22,17.575500146110638,1.2499866457103166,-3.96599853053777,2.6829220594388508,0.4999982727614646,0.04068145493350775,2.6487158049245485,0.1000001331676918
0,South America,Brazil,None,2020-03-13,42.18318439479383,1.24999998327759,2.780910481218155,1.0000000025845113,0.05000000015008884,0.18017872181777667,3.0146497375628445,1.3402780353578523
0,Europe,Bulgaria,None,2020-03-20,18.260031054829795,0.8628674450370016,-9.999979070574003,1.0000004439738615,0.05000001682223897,0.08973317803732848,0.10004846543842097,1.079497907329136
0,Africa,Burkina Faso,None,2020-03-24,5.481582805381325,0.7500003221060073,1.450558276799653,2.939492981623986,0.15238773301343617,0.06968876862298731,0.1000001241369735,0.9403320506348982
0,Asia,Cambodia,None,2020-03-29,,0.750000389143912,-9.99999204484262,2.9999981786835375,0.050000556380024874,0.010000085420566239,0.10000005151072451,0.1000000339150678
