Country,Province,Day,1 Week Earlier,Current,Percentage_Decrease
Afghanistan,None,2020-05-17,4961,6664,25.6
Albania,None,2020-05-17,785,912,13.9
Algeria,None,2020-05-17,4684,6544,28.4
Andorra,None,2020-05-17,675,763,11.5
Argentina,None,2020-05-17,6718,7556,11.1
Armenia,None,2020-05-17,3344,4168,19.8
Australia,Australian Capital Territory,2020-05-17,107,107,0
Australia,New South Wales,2020-05-17,1459,3096,52.9
Australia,None,2020-05-17,5115,6925,26.1
Australia,Queensland,2020-05-17,1024,1044,1.9
Australia,South Australia,2020-05-17,441,441,0
Australia,Tasmania,2020-05-17,227,228,0.4
Australia,Victoria,2020-05-17,1309,1455,10
Australia,Western Australia,2020-05-17,549,554,0.9
Austria,None,2020-05-17,4959,16052,69.1
Azerbaijan,None,2020-05-17,1665,2697,38.3
Bahrain,None,2020-05-17,5029,6355,20.9
Bangladesh,None,2020-05-17,11084,21071,47.4
Belarus,None,2020-05-17,19382,29469,34.2
Belgium,None,2020-05-17,6582,54787,88
Benin,None,2020-05-17,357,380,6.1
Bolivia,None,2020-05-17,2605,4015,35.1
Bosnia and Herzegovina,None,2020-05-17,1981,2316,14.5
Brazil,None,2020-05-17,183447,242497,24.4
Bulgaria,None,2020-05-17,1801,2259,20.3
Burkina Faso,None,2020-05-17,681,766,11.1
Cabo Verde,None,2020-05-17,279,347,19.6
Cambodia,None,2020-05-17,122,122,0
Cameroon,None,2020-05-17,2406,3097,22.3
Canada,Alberta,2020-05-17,4034,7073,43
Canada,British Columbia,2020-05-17,1889,2416,21.8
Canada,Manitoba,2020-05-17,275,289,4.8
Canada,New Brunswick,2020-05-17,119,120,0.8
Canada,Newfoundland and Labrador,2020-05-17,261,261,0
Canada,None,2020-05-17,41773,77975,46.4
Canada,Nova Scotia,2020-05-17,672,1070,37.2
Canada,Ontario,2020-05-17,7323,23470,68.8
Canada,Quebec,2020-05-17,26685,42663,37.5
Canada,Saskatchewan,2020-05-17,516,613,15.8
Central African Republic,None,2020-05-17,280,356,21.3
Chad,None,2020-05-17,371,529,29.9
Chile,None,2020-05-17,26288,38602,31.9
Colombia,None,2020-05-17,10421,14721,29.2
Congo (Brazzaville),None,2020-05-17,311,373,16.6
Congo (Kinshasa),None,2020-05-17,978,1406,30.4
Costa Rica,None,2020-05-17,642,802,20
