"State","Data Start Date","Infection Rate","Median Day of Action","Rate of Action","Mortality Rate","Internal Parameter 1","Internal Parameter 2"
"Alabama","2020-03-20",1.0340441101984468,-2.6964420232113264,1.9755907095741745,0.06569333925726789,7.896472947354189,0.19913767161194743
"Alaska","2020-03-28",0.9002460569236577,-8.675651739092615,2.4056838220577426,0.058514647995571156,1.1806832968171503,0.1542264573743192
"Arizona","2020-03-21",0.987547013967229,1.3352674826000184,2.835472917003643,0.08344021031066112,7.434136931092252,1.5915073926553982
"Arkansas","2020-03-20",0.6687020336425096,-6.9544825153073715,2.8009890465540863,0.04869016492250482,6.534888401708208,0.141353112288328
"California","2020-03-19",0.917826744774634,4.5253207730331475,2.1693138694222722,0.0756407515108081,3.824540158335982,0.5331126248468402
"Colorado","2020-03-19",0.7143525705116294,5.093522966173867,2.809908877945151,0.0889542692398802,7.746278308645731,0.27022804680816304
"Connecticut","2020-03-19",0.837203123064854,11.275125011869953,2.3398615087121044,0.11624560903788118,7.459152608022004,1.2354362499259488
"Delaware","2020-03-24",1.183940763089316,-4.429402533787386,1.6980723353510672,0.07121554535021926,3.79001584109093,0.19544257610020668
"District of Columbia","2020-03-22",1.2010683148877637,-2.75163070225484,1.8991507169624453,0.05953849439605395,4.774279165959917,0.14181751762516515
"Florida","2020-03-19",0.9337640220071466,7.018027366773108,2.278154475865868,0.05432942420789389,2.4505858447679727,2.357107237507769
"Georgia","2020-03-19",0.7499116460066928,9.662483179162711,2.4965273628937377,0.10760888369420944,7.865446004078229,1.3330563135804692
"Hawaii","2020-03-26",0.6465482526606949,-8.200940502816724,2.793487074024279,0.02445469333806579,3.298746280929122,0.07937094862553652
"Idaho","2020-03-25",0.7070399095896882,4.262972474580207,2.338251062111339,0.04686366382045107,5.0326005365125495,0.4519988301827418
"Illinois","2020-03-19",0.9268298468954403,6.7635983160487045,2.6816100666088953,0.08940089533200704,6.490032911974643,0.3215142273382061
"Indiana","2020-03-21",0.7468602857939357,10.38847598313552,2.4985487345016955,0.10460890502019658,6.0887398477546455,4.545448911584561
"Iowa","2020-03-23",0.9705199611103548,-4.309139576351098,2.005187726938426,0.07148226857797561,5.297299488158414,0.16771144925891876
"Kansas","2020-03-24",0.8622851582959794,-7.438060876928655,2.742928288358175,0.09138347903991961,10.206352535549819,0.19694445715247744
"Kentucky","2020-03-22",1.0667990449375135,-5.312445043757758,2.350040079060243,0.12310840404676288,9.50285423924969,0.15162831258089154
"Louisiana","2020-03-19",1.0290235317637413,9.722545051381333,2.881598813716437,0.1324558302881455,3.404672597769796,1.178067403772888
"Maine","2020-03-23",0.8245540867552094,-7.447492826262882,1.8229413149870242,0.06679024497874934,2.7667614091092254,0.10694548318953051
"Maryland","2020-03-19",1.0021884367797755,7.429226119102319,2.2403682380069654,0.054949960596354895,6.459085293700864,0.49933351952687144
"Massachusetts","2020-03-19",0.9707643157345076,6.801845790451916,3.4035900272621045,0.07222082961925978,8.682016664914538,0.0864794312599341
"Michigan","2020-03-19",0.7806683871184372,10.04958933381012,2.7739145298981556,0.12983695445184062,8.809505006940338,1.3337834411577743
"Minnesota","2020-03-20",0.6907445368184225,-5.095935381061974,2.4895168715071927,0.06429853119598464,5.445245479056441,0.089660240198097
"Mississippi","2020-03-21",0.8044332500345388,-3.87935990566766,1.076372444457177,0.08258194711827384,4.873973245225755,0.8834064252205093
