Continent,Country,Province,Day,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT
None,None,None,2020-08-06,301322572.9532059,1978896.789815527,808698.4563741416,3216876.65565031,170467.52308309716,683586.2893256912,113518.25436136001,4256.934538551002,24122.62905178902,19114457.986642733,802068.527950973,723802.3440181351,30158.21864672167,1064.2336346377506,160413.70559019456,4825870.960120901
None,None,None,2020-08-07,301065278.43745744,1962854.90100058,803044.4819146241,3213014.1464642,170795.01181836776,682765.5061236424,113802.53482673413,4267.595056002531,24183.03865068101,19392599.76295208,806917.5837356877,732172.0553888214,30122.00762310187,1066.8987640006328,161383.51674713753,4881669.035925479
None,None,None,2020-08-08,300809995.70492166,1947003.320449557,797204.3468405836,3207897.256355357,171050.3615310471,681678.1669755134,114049.78843095976,4276.867066160989,24235.580041578916,19670380.871888712,811750.735498842,740481.2888336453,30074.03677833147,1069.2167665402474,162350.1470997684,4937063.925557636
None,None,None,2020-08-09,300556577.71932524,1931545.5610466895,790965.6484502555,3201759.971810724,171242.0659066718,680373.9940097788,114264.08925854243,4284.903347195343,24281.11896744026,19947660.910269424,816567.0176081622,748734.7221353381,30016.499735725534,1071.2258367988356,163313.40352163243,4992086.814235587
None,None,None,2020-08-10,300305076.1105504,1916405.6760317395,784412.5037005211,3194632.366567032,171371.4342844386,678859.3778954941,114446.54703564789,4291.745513836796,24319.891245075185,20224342.208297577,821365.1388782036,756930.5612915191,29949.67843656592,1072.936378459199,164273.02777564072,5046725.741943463
None,None,None,2020-08-11,300055624.04895145,1901393.991072097,777742.7136406424,3186464.4065084816,171436.98076407748,677123.6863830521,114596.57224764497,4297.371459286684,24351.77160262452,20500347.022464853,826144.4349057494,765064.5673900731,29873.103811017005,1074.342864821671,165228.88698114973,5100952.449267154
None,None,None,2020-08-12,299808479.89043045,1886146.4765163155,771328.9690957727,3177085.0327558564,171432.97345472663,675130.5694606195,114711.10984666407,4301.6666192499015,24376.110842416107,20775624.995456677,830905.2055211522,773128.7299187208,29785.17218208616,1075.4166548124754,166181.04110423045,5154713.532791472
None,None,None,2020-08-13,299563758.1308722,1870501.9433452995,765338.2082517269,3166452.8594952286,171358.33297484645,672871.2326427357,114789.28389118593,4304.598145919472,24392.722826877005,21050108.410221066,835647.2773328663,781119.4415259218,29685.495557767757,1076.149536479868,167129.45546657318,5207984.943506147
None,None,None,2020-08-14,299321341.49759084,1854625.8768479582,759598.6801761767,3154746.645327621,171219.83945613983,670383.6621321194,114833.03342048875,4306.238753268328,24402.01960185386,21323695.588824246,840369.9178692676,789040.4083615502,29575.74979994644,1076.559688317082,168073.9835738535,5260791.389077002
None,None,None,2020-08-15,299081058.8554927,1838760.5090464815,753856.452921353,3142194.9119697646,171026.068612128,667716.4187935751,114845.64389998741,4306.711646249525,24404.699328747316,21596280.502682522,845072.225606372,796897.11547618,29458.077299716544,1076.6779115623813,169014.44512127436,5313169.4365078695
None,None,None,2020-08-16,298842703.98676485,1823199.3540212074,747791.808327342,3129066.894703817,170787.0620511524,664926.7151245613,114832.42195182224,4306.215823193334,24401.889664762235,21867753.716008257,849752.935559164,804696.5355266016,29335.002137848296,1076.5539557983334,169950.58711183287,5365165.570177344
None,None,None,2020-08-17,298606239.0339426,1807999.7541228917,741330.3344534052,3115465.13919766,170506.9622865345,662036.3420795025,114795.69274112879,4304.838477792331,24394.08470748987,22138039.37895076,854411.4390402361,812440.3163244332,29207.485679978065,1076.2096194480828,170882.2878080472,5416790.775496219
None,None,None,2020-08-18,298371762.7799268,1793026.4745979307,734608.6994685003,3101346.2365467744,170184.74988129784,659036.0752661893,114734.51888563795,4302.544458211421,24381.085263198056,22407091.63530978,859048.200395652,820125.4513802021,29075.120967626,1075.6361145528554,171809.64007913048,5468025.00920135
None,None,None,2020-08-19,298139567.0650386,1777872.4398066623,728054.4757462805,3086468.5297535076,169812.3813964153,655874.5625726201,114645.06709229908,4299.190015961215,24362.076757113566,22674903.523209326,863663.6886112073,827742.570582253,28935.64246643912,1074.7975039903038,172732.73772224147,5518805.803881689
None,None,None,2020-08-20,297909812.99342,1762314.1981230928,721909.927277485,3070709.470768379,169386.0549020534,652525.7625382807,114525.33468741256,4294.700050777971,24336.633621075172,22941450.162168816,868257.7624425666,835286.2764353807,28787.901288453562,1073.6750126944928,173651.5524885133,5569097.176235873
None,None,None,2020-08-21,297682380.63591284,1746525.2081736475,715990.446082226,3054230.884868937,168912.06839987778,649024.0630346485,114377.32247737008,4289.149592901376,24305.18102644114,23206658.49758534,872829.5428458891,842760.5012949422,28633.41454564627,1072.287398225344,174565.9085691778,5618925.341966283
None,None,None,2020-08-22,297457212.485948,1730592.452349609,710190.6026432231,3037141.1816663644,168394.82216822627,645392.5011041024,114202.59150565768,4282.597181462164,24268.050694952286,23470467.3212038,877378.3935346033,850167.5237717751,28473.198578122163,1070.649295365541,175475.67870692062,5668305.491811834
