Continent,Country,Province,Day,Total Predicted,Total Predicted Deaths,Total Detected,Total Detected Deaths
North America,US,Alabama,2020-06-16,9353.303036007064,464.74150151985884,26912,785
North America,US,Alaska,2020-06-16,318.48102348315587,13.933720779679735,675,12
North America,US,Arizona,2020-06-16,20386.245649183504,1212.0647527095045,39185,1228
North America,US,California,2020-06-16,111478.62507957178,4503.850130217334,158961,5200
North America,US,Colorado,2020-06-16,25397.50978562164,1885.1354168253004,29427,1617
North America,US,Delaware,2020-06-16,10768.327086391158,436.6694046129809,10403,424
North America,US,District of Columbia,2020-06-16,10261.798962215971,607.7663774366602,9818,520
North America,US,Florida,2020-06-16,41459.1049504458,2265.8116378881346,80109,2993
North America,US,Georgia,2020-06-16,33286.92214203776,1524.0236081532241,59078,2529
North America,US,Idaho,2020-06-16,1372.1448593519706,66.6996364224753,3462,88
North America,US,Indiana,2020-06-16,37014.43025482055,2802.1109246357614,40786,2447
North America,US,Kansas,2020-06-16,12979.337540927445,856.7020748198914,11411,246
North America,US,Louisiana,2020-06-16,26058.85799987237,2064.2671486149206,47706,3042
North America,US,Maine,2020-06-16,2827.8851870942735,119.97641933110562,2819,101
North America,US,Maryland,2020-06-16,63162.87195780861,3246.4762921734623,62409,2982
North America,US,Michigan,2020-06-16,48954.02533919768,5647.367382294957,66269,6034
North America,US,Minnesota,2020-06-16,66787.44174208274,4527.61392789835,30882,1344
North America,US,Mississippi,2020-06-16,13715.639442553053,838.405757078757,20152,915
North America,US,Missouri,2020-06-16,10792.175987448752,720.9049655701051,16857,891
North America,US,Montana,2020-06-16,429.77812004951846,10.185213838686863,614,19
North America,US,Nevada,2020-06-16,7311.4428285235235,440.81377844873697,11683,467
North America,US,New Jersey,2020-06-16,169025.2823106676,12917.106691126417,167426,12792
North America,US,New York,2020-06-16,370958.3088162133,30247.20717642391,384575,30909
North America,US,North Carolina,2020-06-16,29604.187626013387,2043.634990238569,45907,1169
North America,US,Ohio,2020-06-16,35235.970322249006,2390.0807201060898,42010,2599
North America,US,Pennsylvania,2020-06-16,86291.72689404352,7424.748101233896,83978,6276
North America,US,Rhode Island,2020-06-16,14465.36137934534,624.6440687728168,16164,865
North America,US,South Carolina,2020-06-16,7444.170071405963,469.1245705597186,19990,607
North America,US,Tennessee,2020-06-16,12314.72188213785,493.8195372015709,31751,493
North America,US,Texas,2020-06-16,37953.80743509584,1377.7187325363072,93569,2049
North America,US,Vermont,2020-06-16,675.3979651739527,44.956794240915094,1131,55
North America,US,Virginia,2020-06-16,61400.28902757624,1938.337073030739,55331,1570
North America,US,Washington,2020-06-16,10057.379901833072,536.6232291485193,26531,1231
North America,US,West Virginia,2020-06-16,1213.417522016548,61.94355367541726,2341,88
North America,US,Wisconsin,2020-06-16,16729.277560141094,962.4129657787862,23198,703
North America,US,None,2020-06-16,1407485.6476886012,95787.87827534357,1723520,95290
