"Continent","Country","Province","Data Start Date","Infection Rate","Median Day of Action","Rate of Action","Mortality Rate","Internal Parameter 1","Internal Parameter 2"
"Asia","Afghanistan","None","2020-03-27",1.281901768033812,-25.50679524931626,1.838905176110293,0.0739386739305255,4.382545650650526,0.10147249645587161
"Europe","Albania","None","2020-03-23",1.2424652671776861,-25.150030262116594,1.7738445151451057,0.10500000000000001,1.8984555648290704,0.6744384701874507
"Africa","Algeria","None","2020-03-21",0.9526270916448396,-3.193951144865028,1.8451894433757363,0.1049999821923683,5.167272652369004,4.240975591675289
"Europe","Andorra","None","2020-03-22",0.8286125103561206,-28.226108102780056,1.0890737749511272,0.10459923648052577,2.0500234958166828,0.8683797763578082
"South America","Argentina","None","2020-03-20",1.0327142329488075,-28.452614093313574,2.01379626756617,0.09245799711455191,9.842048136510071,1.6234124199974942
"Asia","Armenia","None","2020-03-19",1.2005768328980413,-23.371366880505363,1.427640297321294,0.029941980016831838,3.7161709394905826,0.09887372694988344
"Oceania","Australia","Queensland","2020-03-19",0.7125,-18.707811480732328,3.149930076632985,0.010199726387807443,4.109314122938122,0.7407990228825181
"Oceania","Australia","Victoria","2020-03-18",0.836326444768454,-27.460544025055665,1.9404056698883752,0.022188842870050605,7.080236083945125,0.095
"Europe","Austria","None","2020-03-08",0.7244005910438025,9.080611539218095,3.15,0.047410947018409845,10.499999671934836,2.4252597681181127
"Asia","Azerbaijan","None","2020-03-26",1.1120473887901912,-28.501478668833236,1.7608184347302138,0.02426536089766797,7.295553890627266,0.10244870082593537
"Asia","Bahrain","None","2020-03-10",1.2021320457821063,-11.671522679581637,0.95,0.014023366639104216,0.09539805896255014,0.5943471630984752
"Asia","Bangladesh","None","2020-04-06",0.8825007322461643,8.198081924366571,1.9662024312386335,0.05631662813881193,1.4971608800598764,5.363898339643462
"Europe","Belarus","None","2020-03-30",1.0677326230428208,9.749626376245125,2.529085121155089,0.06421500758958466,3.6240854954528356,0.3052570569429295
"Europe","Belgium","None","2020-03-06",1.2344842903261612,10.499999780186267,2.2719086956255765,0.10500000000000001,3.6411190097678663,0.0980573432209928
"South America","Bolivia","None","2020-03-31",0.7728704002409353,-18.88208705034854,2.467479564987484,0.10386990435390206,3.1023773965639903,0.10055723474506456
"South America","Brazil","None","2020-03-13",1.2639629542395079,-3.6114656640044545,1.177414471889178,0.10499996556224685,0.09504405262355665,6.193297027679617
"Europe","Bulgaria","None","2020-03-20",0.9289905214624449,-24.828335081709053,2.315974065003941,0.08688613081115096,3.5219892513279545,0.10095130866015085
"Asia","Cambodia","None","2020-03-29",0.7862661417433722,-31.406125867718472,2.3274638290789342,0.011225926936948395,0.1547074358740684,0.10715288136505415
"Africa","Cameroon","None","2020-03-29",0.9612741408442894,-26.04578571624324,2.5437606823890504,0.025482153469885062,6.599168663430332,0.6675107730390218
"North America","Canada","Alberta","2020-03-19",1.2355916135014922,-5.165422910530548,2.212671022914043,0.060841503069124864,2.6443575216471387,0.7646157149500121
"North America","Canada","Manitoba","2020-03-31",0.7170595068860948,-26.372525074850042,1.878897065400965,0.034618850032679276,0.095,1.0627141683058658
"North America","Canada","Ontario","2020-03-15",1.2231843686924988,9.079067895435786,3.1499998988266364,0.10500000000000001,1.1088419510648286,0.46490026498792053
"North America","Canada","Quebec","2020-03-19",0.9127248334700443,7.489938415515584,3.149999944977652,0.06941808937695312,5.654288645133146,3.787346027466437
"North America","Canada","Saskatchewan","2020-03-28",1.0944041454051363,-29.170440764072005,1.9776256750081844,0.034934011119666604,0.31330686275876024,0.560331293005307
"South America","Chile","None","2020-03-16",1.0193896794706103,2.142570463773668,1.5944140356176317,0.02956753298228561,6.195900557768216,0.10018343681044052
"South America","Colombia","None","2020-03-19",1.0915950115147872,-6.062069764706041,1.0008227561043441,0.10499999623755239,5.0743258010311445,0.09837437944896921
"Europe","Croatia","None","2020-03-19",1.1286732687720178,-24.296313581365688,2.2464573244611623,0.032523867654620085,9.541537508390466,0.10439067296834305
"North America","Cuba","None","2020-03-28",1.2398556883275778,-19.64598811613701,2.757099528603788,0.08501169813146285,4.474495032419158,0.10454579935251054
"Europe","Cyprus","None","2020-03-23",1.1027633310353215,-7.535119995950515,2.184788426050104,0.05134255467087731,2.133117338543727,0.13719503698655733
"Europe","Denmark","None","2020-03-10",1.3124991113604914,-29.49301606457477,0.95,0.09481605537158005,5.450754010101233,0.09501723604580306
"South America","Ecuador","None","2020-03-18",1.2136320905215956,-2.590301925798951,1.8992559280056265,0.10499999094247513,0.09500006975577974,6.95434851767876
"Europe","Estonia","None","2020-03-14",1.2363582371305446,-12.27649369753202,1.5358230754190896,0.04189567735620191,2.8886293164093884,0.1060597674854432
"Europe","Finland","None","2020-03-13",1.3124999803281499,-30.294623285704287,0.95,0.0391378571785464,5.001674531164939,0.0950004005971017
"Europe","France","None","2020-02-29",1.1928553035726461,10.362903634596828,1.1165577619177771,0.10500000000000001,0.21906734130302707,4.361887985788492
"Asia","Georgia","None","2020-03-30",0.7753200133620384,-19.933147498485855,1.5115748443265467,0.043852241274706764,1.1427711619269245,0.2444907218382485
"Europe","Germany","None","2020-03-01",1.068509030642727,10.499967243036261,1.7194966687322917,0.050438023365161636,0.8738815315742671,6.572154658146639
"Africa","Ghana","None","2020-03-26",0.9601247234028117,-13.36279718160696,1.7136809449709922,0.018979084640015062,1.6173631681343419,0.11767456017692825
"Europe","Greece","None","2020-03-13",1.0088077571482592,-13.846418652746241,2.223958818153207,0.09368621333105666,4.8743637806564495,0.10413032879498832
"Africa","Guinea","None","2020-04-04",0.8301569387444763,-15.306542152999896,2.4475266560540514,0.06658630435779946,2.211315115887768,0.15684666792852492
"North America","Honduras","None","2020-03-29",0.8072939412707898,-26.449134500992745,2.416064605237022,0.10499998750297078,3.253280371942674,0.15831151048244743
"Europe","Hungary","None","2020-03-21",1.3124995119595444,-28.47789458235419,1.5354046595965964,0.10499999174216432,7.910153281671517,0.10425468667702187
"Europe","Iceland","None","2020-03-12",1.234954110492955,-31.433589294958708,1.0232354285000116,0.00955354050139879,5.607669041212547,0.10406152313560414
