Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Vaccinated,Fully Vaccinated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Africa,None,None,2020-04-21,140,234,7,7,13,2,0.0,0.0,140.0,13.0,140,13,140,13
Africa,None,None,2020-04-22,514,581,16,17,14,4,0.0,0.0,162.0,16.0,514,14,514,14
Africa,None,None,2020-04-23,859,879,25,27,15,6,0.0,0.0,174.0,16.0,859,15,859,15
Africa,None,None,2020-04-24,1208,1162,34,36,17,8,0.0,0.0,213.0,17.0,1208,17,1208,17
Africa,None,None,2020-04-25,1580,1451,42,47,19,10,0.0,0.0,237.0,21.0,1580,19,1580,19
Africa,None,None,2020-04-26,1987,1755,52,58,22,12,0.0,0.0,275.0,22.0,1987,22,1987,22
Africa,None,None,2020-04-27,2433,2079,62,71,26,14,0.0,0.0,318.0,25.0,2433,26,2433,26
Africa,None,None,2020-04-28,2912,2414,72,84,30,17,0.0,0.0,375.0,28.0,2912,30,2912,30
Africa,None,None,2020-04-29,3413,2750,83,98,35,19,0.0,0.0,375.0,31.0,3413,35,3413,35
Africa,None,None,2020-04-30,3919,3070,93,112,41,21,0.0,0.0,442.0,36.0,3919,41,3919,41
Africa,None,None,2020-05-01,4417,3364,103,126,48,23,0.0,0.0,533.0,41.0,4417,48,4417,48
Africa,None,None,2020-05-02,4899,3623,111,140,55,25,0.0,0.0,592.0,41.0,4899,55,4899,55
Africa,None,None,2020-05-03,5358,3844,119,152,63,27,0.0,0.0,678.0,41.0,5358,63,5358,63
Africa,None,None,2020-05-04,5789,4026,126,164,71,28,0.0,0.0,778.0,45.0,5789,71,5789,71
Africa,None,None,2020-05-05,6192,4170,132,176,80,29,0.0,0.0,852.0,49.0,6192,80,6192,80
Africa,None,None,2020-05-06,6566,4276,136,186,89,30,0.0,0.0,930.0,52.0,6566,89,6566,89
Africa,None,None,2020-05-07,6907,4345,140,196,99,30,0.0,0.0,930.0,59.0,6907,99,6907,99
Africa,None,None,2020-05-08,7219,4383,142,204,109,30,0.0,0.0,1111.0,64.0,7219,109,7219,109
Africa,None,None,2020-05-09,7504,4392,144,212,120,31,0.0,0.0,1164.0,70.0,7504,120,7504,120
Africa,None,None,2020-05-10,7763,4377,145,220,130,30,0.0,0.0,1365.0,74.0,7763,130,7763,130
Africa,None,None,2020-05-11,7997,4338,145,226,141,30,0.0,0.0,1526.0,80.0,7997,141,7997,141
Africa,None,None,2020-05-12,8208,4281,145,232,152,30,0.0,0.0,1660.0,90.0,8208,152,8208,152
Africa,None,None,2020-05-13,8399,4208,144,237,163,29,0.0,0.0,1818.0,90.0,8399,163,8399,163
Africa,None,None,2020-05-14,8571,4122,142,242,175,29,0.0,0.0,1964.0,91.0,8571,175,8571,175
Africa,None,None,2020-05-15,8727,4025,141,246,186,28,0.0,0.0,1964.0,97.0,8727,186,8727,186
Africa,None,None,2020-05-16,8866,3920,138,250,197,27,0.0,0.0,2289.0,97.0,8866,197,8866,197
Africa,None,None,2020-05-17,8991,3807,136,254,208,26,0.0,0.0,2591.0,105.0,8991,208,8991,208
Africa,None,None,2020-05-18,9103,3690,133,257,220,26,0.0,0.0,2591.0,111.0,9103,220,9103,220
Africa,None,None,2020-05-19,9204,3570,131,260,231,25,0.0,0.0,2728.0,111.0,9204,231,9204,231
Africa,None,None,2020-05-20,9295,3447,127,262,242,24,0.0,0.0,3138.0,121.0,9295,242,9295,242
Africa,None,None,2020-05-21,9376,3324,124,265,253,23,0.0,0.0,3138.0,137.0,9376,253,9376,253
Africa,None,None,2020-05-22,9449,3200,121,267,264,22,0.0,0.0,3378.0,146.0,9449,264,9449,264
Africa,None,None,2020-05-23,9515,3077,118,269,275,21,0.0,0.0,3634.0,165.0,9515,275,9515,275
Africa,None,None,2020-05-24,9574,2956,115,270,285,20,0.0,0.0,3826.0,170.0,9574,285,9574,285
Africa,None,None,2020-05-25,9627,2837,111,272,296,20,0.0,0.0,3976.0,170.0,9627,296,9627,296
Africa,None,None,2020-05-26,9675,2720,108,273,306,19,0.0,0.0,4146.0,195.0,9675,306,9675,306
Africa,None,None,2020-05-27,9718,2606,104,274,317,18,0.0,0.0,4346.0,195.0,9718,317,9718,317
Africa,None,None,2020-05-28,9756,2495,101,275,327,17,0.0,0.0,4346.0,233.0,9756,327,9756,327
Africa,None,None,2020-05-29,9791,2387,98,276,337,16,0.0,0.0,4521.0,262.0,9791,337,9791,337
Africa,None,None,2020-05-30,9823,2283,95,277,347,16,0.0,0.0,4800.0,286.0,9823,347,9823,347
Africa,None,None,2020-05-31,9851,2183,92,278,356,15,0.0,0.0,5026.0,298.0,9851,356,9851,356
Africa,None,None,2020-06-01,9877,2086,88,279,366,14,0.0,0.0,5173.0,307.0,9877,366,9877,366
Africa,None,None,2020-06-02,9900,1992,85,279,375,14,0.0,0.0,5310.0,314.0,9900,375,9900,375
Africa,None,None,2020-06-03,9920,1903,82,280,385,13,0.0,0.0,5499.0,333.0,9920,385,9920,385
Africa,None,None,2020-06-04,9939,1817,80,280,394,12,0.0,0.0,5714.0,347.0,9939,394,9939,394
Africa,None,None,2020-06-05,9956,1734,77,281,403,12,0.0,0.0,5866.0,359.0,9956,403,9956,403
Africa,None,None,2020-06-06,9972,1656,74,281,412,11,0.0,0.0,6081.0,359.0,9972,412,9972,412
Africa,None,None,2020-06-07,9986,1581,71,282,420,11,0.0,0.0,6081.0,372.0,9986,420,9986,420
Africa,None,None,2020-06-08,9999,1509,69,282,429,10,0.0,0.0,6242.0,389.0,9999,429,9999,429
Africa,None,None,2020-06-09,10011,1440,66,282,437,10,0.0,0.0,6427.0,401.0,10011,437,10011,437
Africa,None,None,2020-06-10,10022,1375,64,283,445,9,0.0,0.0,6582.0,413.0,10022,445,10022,445
Africa,None,None,2020-06-11,10031,1313,62,283,454,9,0.0,0.0,6730.0,433.0,10031,454,10031,454
Africa,None,None,2020-06-12,10040,1254,59,283,462,9,0.0,0.0,6879.0,447.0,10040,462,10040,462
Africa,None,None,2020-06-13,10049,1197,57,283,469,8,0.0,0.0,7007.0,459.0,10049,469,10049,469
Africa,None,None,2020-06-14,10056,1144,55,284,477,8,0.0,0.0,7220.0,468.0,10056,477,10056,477
Africa,None,None,2020-06-15,10063,1093,53,284,484,7,0.0,0.0,7435.0,477.0,10063,484,10063,484
Africa,None,None,2020-06-16,10069,1044,51,284,492,7,0.0,0.0,7740.0,487.0,10069,492,10069,492
Africa,None,None,2020-06-17,10075,998,49,284,499,7,0.0,0.0,8020.0,487.0,10075,499,10075,499
Africa,None,None,2020-06-18,10081,954,47,284,506,7,0.0,0.0,8020.0,506.0,10081,506,10081,506
Africa,None,None,2020-06-19,10086,912,46,284,513,6,0.0,0.0,8416.0,521.0,10086,513,10086,513
Africa,None,None,2020-06-20,10090,873,44,285,520,6,0.0,0.0,8580.0,521.0,10090,520,10090,520
Africa,None,None,2020-06-21,10095,835,42,285,527,6,0.0,0.0,8698.0,533.0,10095,527,10095,527
Africa,None,None,2020-06-22,10099,800,41,285,533,5,0.0,0.0,8796.0,548.0,10099,533,10099,533
Africa,None,None,2020-06-23,10102,766,39,285,540,5,0.0,0.0,8887.0,548.0,10102,540,10102,540
Africa,None,None,2020-06-24,10106,734,38,285,546,5,0.0,0.0,8887.0,556.0,10106,546,10106,546
Africa,None,None,2020-06-25,10109,703,36,285,552,5,0.0,0.0,8982.0,572.0,10109,552,10109,552
Africa,None,None,2020-06-26,10112,674,35,285,558,5,0.0,0.0,9257.0,572.0,10112,558,10112,558
Africa,None,None,2020-06-27,10115,647,34,285,564,4,0.0,0.0,9314.0,572.0,10115,564,10115,564
Africa,None,None,2020-06-28,10118,620,33,285,570,4,0.0,0.0,9320.0,572.0,10118,570,10118,570
Africa,None,None,2020-06-29,10120,596,31,285,576,4,0.0,0.0,9372.0,572.0,10120,576,10120,576
Africa,None,None,2020-06-30,10123,572,30,285,582,4,0.0,0.0,9500.0,602.0,10123,582,10123,582
Africa,None,None,2020-07-01,10125,550,29,286,587,4,0.0,0.0,9573.0,602.0,10125,587,10125,587
Africa,None,None,2020-07-02,10127,528,28,286,593,4,0.0,0.0,9689.0,604.0,10127,593,10127,593
Africa,None,None,2020-07-03,10129,508,27,286,598,3,0.0,0.0,9689.0,608.0,10129,598,10129,598
Africa,None,None,2020-07-04,10131,489,26,286,603,3,0.0,0.0,9767.0,608.0,10131,603,10131,603
Africa,None,None,2020-07-05,10133,470,25,286,608,3,0.0,0.0,9767.0,616.0,10133,608,10133,608
Africa,None,None,2020-07-06,10135,453,24,286,613,3,0.0,0.0,9894.0,622.0,10135,613,10135,613
Africa,None,None,2020-07-07,10136,436,23,286,618,3,0.0,0.0,9997.0,636.0,10136,618,10136,618
Africa,None,None,2020-07-08,10138,421,22,286,623,3,0.0,0.0,10084.0,641.0,10138,623,10138,623
Africa,None,None,2020-07-09,10140,406,22,286,628,3,0.0,0.0,10204.0,649.0,10140,628,10140,628
Africa,None,None,2020-07-10,10141,391,21,286,633,3,0.0,0.0,10204.0,650.0,10141,633,10141,633
Africa,None,None,2020-07-11,10143,378,20,286,637,3,0.0,0.0,10250.0,650.0,10143,637,10143,637
Africa,None,None,2020-07-12,10144,365,19,286,642,2,0.0,0.0,10250.0,657.0,10144,642,10144,642
Africa,None,None,2020-07-13,10145,352,19,286,646,2,0.0,0.0,10316.0,659.0,10145,646,10145,646
Africa,None,None,2020-07-14,10147,341,18,286,650,2,0.0,0.0,10417.0,668.0,10147,650,10147,650
Africa,None,None,2020-07-15,10148,329,17,286,654,2,0.0,0.0,10527.0,668.0,10148,654,10148,654
Africa,None,None,2020-07-16,10149,319,17,286,659,2,0.0,0.0,10527.0,668.0,10149,659,10149,659
