Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Vaccinated,Fully Vaccinated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Europe,Germany,None,2020-10-01,298374,1672,0,0,9518,0,0.0,0.0,298374.0,9518.0,298374,9518,298374,9518
Europe,Germany,None,2020-10-02,300240,3366,0,0,9520,0,0.0,0.0,300027.0,9531.0,300240,9520,300240,9520
Europe,Germany,None,2020-10-03,302164,5007,0,0,9522,0,0.0,0.0,301573.0,9533.0,302164,9522,302164,9522
Europe,Germany,None,2020-10-04,304204,6652,0,0,9526,0,0.0,0.0,304673.0,9554.0,304204,9526,304204,9526
Europe,Germany,None,2020-10-05,306401,8342,0,0,9531,0,0.0,0.0,307127.0,9566.0,306401,9531,306401,9531
Europe,Germany,None,2020-10-06,308788,10106,0,0,9538,0,0.0,0.0,311137.0,9582.0,308788,9538,308788,9538
Europe,Germany,None,2020-10-07,311383,11955,0,0,9546,0,0.0,0.0,315941.0,9594.0,311383,9546,311383,9546
Europe,Germany,None,2020-10-08,314208,13908,0,0,9555,0,0.0,0.0,320495.0,9599.0,314208,9555,314208,9555
Europe,Germany,None,2020-10-09,317286,15977,0,0,9566,0,0.0,0.0,323463.0,9620.0,317286,9566,317286,9566
Europe,Germany,None,2020-10-10,320627,18167,0,0,9579,0,0.0,0.0,326309.0,9626.0,320627,9579,320627,9579
Europe,Germany,None,2020-10-11,324250,20487,0,0,9594,0,0.0,0.0,332850.0,9640.0,324250,9594,324250,9594
Europe,Germany,None,2020-10-12,328176,22949,0,0,9611,0,0.0,0.0,337314.0,9682.0,328176,9611,328176,9611
Europe,Germany,None,2020-10-13,332430,25569,0,0,9631,0,0.0,0.0,344487.0,9716.0,332430,9631,332430,9631
