Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Vaccinated,Fully Vaccinated
Africa,Algeria,None,2021-04-20,104060,56,34,52089,3097,5,0.0,0.0
Africa,Algeria,None,2021-04-21,104060,54,33,52089,3098,5,0.0,0.0
Africa,Algeria,None,2021-04-22,104060,53,32,52089,3099,5,0.0,0.0
Africa,Algeria,None,2021-04-23,104060,52,31,52089,3100,5,0.0,0.0
Africa,Algeria,None,2021-04-24,104060,50,30,52089,3100,5,0.0,0.0
Africa,Algeria,None,2021-04-25,104060,49,29,52089,3101,5,0.0,0.0
Africa,Algeria,None,2021-04-26,104060,48,28,52089,3102,5,0.0,0.0
Africa,Algeria,None,2021-04-27,104060,47,28,52089,3103,5,0.0,0.0
Africa,Algeria,None,2021-04-28,104060,45,27,52089,3103,5,0.0,0.0
Africa,Algeria,None,2021-04-29,104060,44,26,52089,3104,5,0.0,0.0
Africa,Algeria,None,2021-04-30,104060,43,25,52089,3105,4,0.0,0.0
Africa,Algeria,None,2021-05-01,104060,42,25,52089,3106,4,0.0,0.0
Africa,Algeria,None,2021-05-02,104060,41,24,52089,3106,4,0.0,0.0
Africa,Algeria,None,2021-05-03,104060,40,23,52089,3107,4,0.0,0.0
Africa,Algeria,None,2021-05-04,104060,39,23,52089,3108,4,0.0,0.0
Africa,Algeria,None,2021-05-05,104060,38,22,52089,3108,4,0.0,0.0
Africa,Algeria,None,2021-05-06,104060,37,21,52089,3109,4,0.0,0.0
Africa,Algeria,None,2021-05-07,104060,36,21,52089,3109,4,0.0,0.0
Africa,Algeria,None,2021-05-08,104060,36,20,52089,3110,4,0.0,0.0
Africa,Algeria,None,2021-05-09,104060,35,20,52089,3111,4,0.0,0.0
Africa,Algeria,None,2021-05-10,104060,34,19,52089,3111,4,0.0,0.0
Africa,Algeria,None,2021-05-11,104060,33,19,52089,3112,4,0.0,0.0
Africa,Algeria,None,2021-05-12,104060,32,18,52089,3112,3,0.0,0.0
Africa,Algeria,None,2021-05-13,104060,32,18,52089,3113,3,0.0,0.0
Africa,Algeria,None,2021-05-14,104060,31,17,52089,3113,3,0.0,0.0
Africa,Algeria,None,2021-05-15,104060,30,17,52089,3114,3,0.0,0.0
Africa,Angola,None,2021-04-20,21100,29,24,10491,525,1,11215.771334670244,0.0
Africa,Angola,None,2021-04-21,21100,27,23,10491,525,1,11455.69496434939,0.0
Africa,Angola,None,2021-04-22,21100,26,22,10491,525,1,11695.618594028534,0.0
Africa,Angola,None,2021-04-23,21100,25,21,10491,525,1,11935.542223707678,0.0
Africa,Angola,None,2021-04-24,21100,24,20,10491,525,1,12175.465853386822,0.0
Africa,Angola,None,2021-04-25,21100,23,19,10491,525,1,12415.389483065966,0.0
Africa,Angola,None,2021-04-26,21101,21,19,10491,525,1,12655.313112745112,0.0
Africa,Angola,None,2021-04-27,21101,20,18,10491,525,1,12895.236742424255,0.0
Africa,Angola,None,2021-04-28,21101,20,17,10491,525,1,13135.1603721034,0.0
Africa,Angola,None,2021-04-29,21101,19,16,10491,525,1,13375.084001782545,0.0
Africa,Angola,None,2021-04-30,21101,18,15,10491,525,1,13615.007631461689,0.0
Africa,Angola,None,2021-05-01,21101,17,15,10491,525,1,13854.931261140833,0.0
Africa,Angola,None,2021-05-02,21101,16,14,10491,525,1,14094.854890819977,0.0
Africa,Angola,None,2021-05-03,21101,15,14,10491,526,0,14334.778520499123,0.0
Africa,Angola,None,2021-05-04,21101,15,13,10491,526,0,14574.702150178266,0.0
Africa,Angola,None,2021-05-05,21101,14,12,10491,526,0,14814.625779857412,0.0
Africa,Angola,None,2021-05-06,21101,13,12,10491,526,0,15054.549409536556,0.0
Africa,Angola,None,2021-05-07,21101,13,11,10491,526,0,15294.4730392157,0.0
Africa,Angola,None,2021-05-08,21101,12,11,10491,526,0,15534.396668894844,0.0
Africa,Angola,None,2021-05-09,21101,12,10,10491,526,0,15774.320298573988,0.0
Africa,Angola,None,2021-05-10,21101,11,10,10491,526,0,16014.243928253134,0.0
Africa,Angola,None,2021-05-11,21101,11,9,10491,526,0,16254.167557932276,0.0
Africa,Angola,None,2021-05-12,21101,10,9,10491,526,0,16494.091187611422,0.0
Africa,Angola,None,2021-05-13,21101,10,9,10491,526,0,16734.01481729057,0.0
Africa,Angola,None,2021-05-14,21101,9,8,10491,526,0,16973.93844696971,0.0
Africa,Angola,None,2021-05-15,21101,9,8,10491,526,0,17213.862076648853,0.0
Africa,Benin,None,2021-04-20,5491,5,0,6,82,0,0.0,0.0
Africa,Benin,None,2021-04-21,5491,5,0,6,82,0,0.0,0.0
Africa,Benin,None,2021-04-22,5491,5,0,6,82,0,0.0,0.0
Africa,Benin,None,2021-04-23,5491,5,0,6,82,0,0.0,0.0
Africa,Benin,None,2021-04-24,5491,4,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-04-25,5491,4,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-04-26,5491,4,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-04-27,5491,4,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-04-28,5491,4,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-04-29,5491,4,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-04-30,5491,4,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-05-01,5491,4,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-05-02,5491,4,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-05-03,5491,3,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-05-04,5491,3,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-05-05,5491,3,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-05-06,5491,3,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-05-07,5491,3,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-05-08,5491,3,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-05-09,5491,3,0,6,83,0,0.0,0.0
Africa,Benin,None,2021-05-10,5491,3,0,6,84,0,0.0,0.0
Africa,Benin,None,2021-05-11,5491,3,0,6,84,0,0.0,0.0
Africa,Benin,None,2021-05-12,5491,3,0,6,84,0,0.0,0.0
Africa,Benin,None,2021-05-13,5491,3,0,6,84,0,0.0,0.0
Africa,Benin,None,2021-05-14,5491,3,0,6,84,0,0.0,0.0
Africa,Benin,None,2021-05-15,5491,3,0,6,84,0,0.0,0.0
Africa,Botswana,None,2021-04-20,36536,510,196,6697,585,18,0.0,0.0
Africa,Botswana,None,2021-04-21,36537,487,187,6698,587,17,0.0,0.0
Africa,Botswana,None,2021-04-22,36538,464,180,6698,590,16,0.0,0.0
Africa,Botswana,None,2021-04-23,36538,443,172,6698,592,15,0.0,0.0
Africa,Botswana,None,2021-04-24,36539,423,165,6698,594,14,0.0,0.0
Africa,Botswana,None,2021-04-25,36540,403,158,6698,597,14,0.0,0.0
Africa,Botswana,None,2021-04-26,36540,385,152,6698,599,13,0.0,0.0
Africa,Botswana,None,2021-04-27,36541,368,146,6698,601,12,0.0,0.0
Africa,Botswana,None,2021-04-28,36541,351,139,6698,603,12,0.0,0.0
Africa,Botswana,None,2021-04-29,36541,336,134,6698,605,11,0.0,0.0
Africa,Botswana,None,2021-04-30,36542,321,128,6698,607,11,0.0,0.0
Africa,Botswana,None,2021-05-01,36542,307,123,6699,609,10,0.0,0.0
Africa,Botswana,None,2021-05-02,36542,293,118,6699,611,10,0.0,0.0
Africa,Botswana,None,2021-05-03,36542,281,113,6699,613,9,0.0,0.0
Africa,Botswana,None,2021-05-04,36543,269,108,6699,615,9,0.0,0.0
Africa,Botswana,None,2021-05-05,36543,257,104,6699,617,9,0.0,0.0
Africa,Botswana,None,2021-05-06,36543,246,100,6699,619,8,0.0,0.0
Africa,Botswana,None,2021-05-07,36543,236,96,6699,620,8,0.0,0.0
Africa,Botswana,None,2021-05-08,36543,226,92,6699,622,8,0.0,0.0
Africa,Botswana,None,2021-05-09,36543,217,88,6699,624,7,0.0,0.0
Africa,Botswana,None,2021-05-10,36543,208,84,6699,625,7,0.0,0.0
Africa,Botswana,None,2021-05-11,36543,199,81,6699,627,7,0.0,0.0
Africa,Botswana,None,2021-05-12,36543,191,78,6699,629,6,0.0,0.0
Africa,Botswana,None,2021-05-13,36544,184,75,6699,630,6,0.0,0.0
Africa,Botswana,None,2021-05-14,36544,177,72,6699,632,6,0.0,0.0
Africa,Botswana,None,2021-05-15,36544,170,69,6699,633,6,0.0,0.0
Africa,Burkina Faso,None,2021-04-20,9886,5,1,1011,141,0,0.0,0.0
Africa,Burkina Faso,None,2021-04-21,9886,5,1,1011,141,0,0.0,0.0
Africa,Burkina Faso,None,2021-04-22,9886,5,1,1011,141,0,0.0,0.0
Africa,Burkina Faso,None,2021-04-23,9886,5,1,1011,141,0,0.0,0.0
Africa,Burkina Faso,None,2021-04-24,9886,5,1,1011,141,0,0.0,0.0
Africa,Burkina Faso,None,2021-04-25,9886,4,1,1011,141,0,0.0,0.0
Africa,Burkina Faso,None,2021-04-26,9886,4,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-04-27,9886,4,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-04-28,9886,4,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-04-29,9886,4,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-04-30,9886,4,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-01,9886,4,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-02,9886,4,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-03,9886,4,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-04,9886,4,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-05,9886,3,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-06,9886,3,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-07,9886,3,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-08,9886,3,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-09,9886,3,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-10,9886,3,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-11,9886,3,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-12,9886,3,1,1011,142,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-13,9886,3,1,1011,143,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-14,9886,3,1,1011,143,0,0.0,0.0
Africa,Burkina Faso,None,2021-05-15,9886,3,0,1011,143,0,0.0,0.0
Africa,Burundi,None,2021-04-20,2614,41,32,1259,6,2,0.0,0.0
Africa,Burundi,None,2021-04-21,2614,39,31,1259,6,2,0.0,0.0
Africa,Burundi,None,2021-04-22,2614,37,30,1259,6,2,0.0,0.0
Africa,Burundi,None,2021-04-23,2614,35,28,1259,6,2,0.0,0.0
Africa,Burundi,None,2021-04-24,2614,33,27,1259,6,2,0.0,0.0
Africa,Burundi,None,2021-04-25,2614,32,26,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-04-26,2614,30,25,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-04-27,2614,29,24,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-04-28,2614,27,23,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-04-29,2614,26,22,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-04-30,2614,25,21,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-05-01,2614,24,20,1259,6,1,0.0,0.0
