"Continent","Country","Province","Data Start Date","Infection Rate","Median Day of Action","Rate of Action","Rate of Death","Mortality Rate","Internal Parameter 1","Internal Parameter 2"
"Asia","Afghanistan","None","2020-03-27",1.2499999917991342,-29.974775540684718,2.0570565759574357,5.987043830732495,0.041579901099761375,4.528189329062656,0.1225335142334732
"Europe","Albania","None","2020-03-23",0.75,-26.872281083470273,1.4009668106951654,2.,0.05361606913221512,3.1537765258516077,0.11529952182079635
"Africa","Algeria","None","2020-03-21",0.9647815998854075,-6.266452814787659,1.841918010215769,2.,0.1,9.922200639781547,3.275339333786049
"Europe","Andorra","None","2020-03-22",0.9863653218653903,-30.,1.333064680230435,7.063268626512302,0.06609999979653562,2.251536327310061,0.7821459448681559
"South America","Argentina","None","2020-03-20",1.2499999927325762,-16.461840471203836,1.8737534107041525,12.691062639404137,0.09260404654057794,2.544707926094764,3.6551351932678857
"Asia","Armenia","None","2020-03-19",1.2431798785139467,-29.302864279777307,1.2587183499505636,11.204115412101336,0.024606275100130786,3.7532318636034665,0.1
"Oceania","Australia","Queensland","2020-03-19",0.7500334929105767,-18.67576195938406,2.9999806726288365,14.579347321849967,0.01,3.682990076837425,0.9703812936129027
"Oceania","Australia","Victoria","2020-03-18",1.199421590899306,-24.19435487391392,2.999999989742308,14.99985203504516,0.02226055570777129,6.965221507645189,0.1007188938221808
"Europe","Austria","None","2020-03-08",0.7500158547818082,8.496241908063197,2.999984674136239,14.999727441498752,0.04726300745233966,9.998622017623678,2.684251811220931
"Asia","Azerbaijan","None","2020-03-26",1.085164829063523,-10.145829722747589,1.6421603955195772,12.878914440948783,0.023376731669895456,5.150393676025359,0.1
"Asia","Bahrain","None","2020-03-10",1.25,-19.999526243144555,1.,13.70401377925701,0.012573114218683379,1.6008380486479266,0.10026446957829675
"Asia","Bangladesh","None","2020-04-06",1.0660272639631356,-16.402560393238346,2.2707241753201295,4.092404088112193,0.07431395048495308,9.00048517658238,7.2405305726530464
"Europe","Belarus","None","2020-03-30",1.166596295787542,4.118933653301175,1.5520873814701162,10.517607822898336,0.041919582166265186,5.8478734114677176,0.1
"Europe","Belgium","None","2020-03-06",1.25,-1.7376631551645418,1.,2.,0.1,5.478488080788159,2.9560493669148147
"South America","Bolivia","None","2020-03-31",1.2499999827256068,-29.987994100505123,1.6873659007755741,3.8195403946805224,0.09984589298859822,2.7947555771564283,0.11384547272880245
"South America","Brazil","None","2020-03-13",1.25,0.3250536942046612,1.0000341991182895,6.179234656110319,0.1,7.044930040333353,0.45468739394684105
