Date,baseline,New deaths,New deaths (7-day average)
2020-03-01 0:00:00,0,null,null
2020-03-02 0:00:00,0,0,0
2020-03-03 0:00:00,0,0,0
2020-03-04 0:00:00,0,0,0
2020-03-05 0:00:00,0,0,0
2020-03-06 0:00:00,0,0,0
2020-03-07 0:00:00,0,0,0
2020-03-08 0:00:00,0,0,0
2020-03-09 0:00:00,0,0,0
2020-03-10 0:00:00,0,0,0
2020-03-11 0:00:00,0,0,0
2020-03-12 0:00:00,0,0,0
2020-03-13 0:00:00,0,0,0
2020-03-14 0:00:00,0,0,0
2020-03-15 0:00:00,0,0,0
2020-03-16 0:00:00,0,0,0
2020-03-17 0:00:00,0,0,0
2020-03-18 0:00:00,0,0,0
2020-03-19 0:00:00,0,0,0
2020-03-20 0:00:00,0,0,0
2020-03-21 0:00:00,0,0,0
2020-03-22 0:00:00,0,1,0
2020-03-23 0:00:00,0,1,0
2020-03-24 0:00:00,0,0,0
2020-03-25 0:00:00,0,0,0
2020-03-26 0:00:00,0,0,0
2020-03-27 0:00:00,0,0,0
2020-03-28 0:00:00,0,0,0
2020-03-29 0:00:00,0,0,0
2020-03-30 0:00:00,0,0,0
2020-03-31 0:00:00,0,1,0
2020-04-01 0:00:00,0,5,1
2020-04-02 0:00:00,0,2,1
2020-04-03 0:00:00,0,0,1
2020-04-04 0:00:00,0,3,2
2020-04-05 0:00:00,0,2,2
2020-04-06 0:00:00,0,4,2
2020-04-07 0:00:00,0,6,3
2020-04-08 0:00:00,0,5,3
2020-04-09 0:00:00,0,4,3
2020-04-10 0:00:00,0,10,5
2020-04-11 0:00:00,0,6,5
2020-04-12 0:00:00,0,8,6
2020-04-13 0:00:00,0,11,7
2020-04-14 0:00:00,0,15,8
2020-04-15 0:00:00,0,21,11
2020-04-16 0:00:00,0,17,13
2020-04-17 0:00:00,0,21,14
2020-04-18 0:00:00,0,15,15
2020-04-19 0:00:00,0,17,17
2020-04-20 0:00:00,0,12,17
2020-04-21 0:00:00,0,9,16
2020-04-22 0:00:00,0,25,17
2020-04-23 0:00:00,0,11,16
2020-04-24 0:00:00,0,27,17
2020-04-25 0:00:00,0,12,16
2020-04-26 0:00:00,0,31,18
2020-04-27 0:00:00,0,13,18
2020-04-28 0:00:00,0,18,20
2020-04-29 0:00:00,0,7,17
2020-04-30 0:00:00,0,17,18
2020-05-01 0:00:00,0,53,22
2020-05-02 0:00:00,0,1,20
2020-05-03 0:00:00,0,15,18
2020-05-04 0:00:00,0,16,18
2020-05-05 0:00:00,0,7,17
2020-05-06 0:00:00,0,24,19
2020-05-07 0:00:00,0,13,18
2020-05-08 0:00:00,0,10,12
2020-05-09 0:00:00,0,20,15
2020-05-10 0:00:00,0,9,14
2020-05-11 0:00:00,0,8,13
2020-05-12 0:00:00,0,0,12
2020-05-13 0:00:00,0,9,10
