Date,New cases,New cases (7-day average),baseline
2020-03-01 0:00:00,null,null,0
2020-03-02 0:00:00,0,0,0
2020-03-03 0:00:00,0,0,0
2020-03-04 0:00:00,0,0,0
2020-03-05 0:00:00,0,0,0
2020-03-06 0:00:00,9,2,0
2020-03-07 0:00:00,0,2,0
2020-03-08 0:00:00,0,1,0
2020-03-09 0:00:00,8,2,0
2020-03-10 0:00:00,1,3,0
2020-03-11 0:00:00,0,3,0
2020-03-12 0:00:00,1,3,0
2020-03-13 0:00:00,0,1,0
2020-03-14 0:00:00,7,2,0
2020-03-15 0:00:00,2,3,0
2020-03-16 0:00:00,4,2,0
2020-03-17 0:00:00,9,3,0
2020-03-18 0:00:00,7,4,0
2020-03-19 0:00:00,14,6,0
2020-03-20 0:00:00,17,9,0
2020-03-21 0:00:00,22,11,0
2020-03-22 0:00:00,14,12,0
2020-03-23 0:00:00,17,14,0
2020-03-24 0:00:00,64,22,0
2020-03-25 0:00:00,87,34,0
2020-03-26 0:00:00,80,43,0
2020-03-27 0:00:00,113,57,0
2020-03-28 0:00:00,137,73,0
2020-03-29 0:00:00,121,88,0
2020-03-30 0:00:00,90,99,0
2020-03-31 0:00:00,113,106,0
2020-04-01 0:00:00,119,110,0
2020-04-02 0:00:00,176,124,0
2020-04-03 0:00:00,133,127,0
2020-04-04 0:00:00,252,143,0
2020-04-05 0:00:00,259,163,0
2020-04-06 0:00:00,158,173,0
2020-04-07 0:00:00,252,193,0
2020-04-08 0:00:00,215,206,0
2020-04-09 0:00:00,310,226,0
2020-04-10 0:00:00,326,253,0
2020-04-11 0:00:00,538,294,0
2020-04-12 0:00:00,240,291,0
2020-04-13 0:00:00,170,293,0
2020-04-14 0:00:00,200,286,0
2020-04-15 0:00:00,242,289,0
2020-04-16 0:00:00,235,279,0
2020-04-17 0:00:00,333,280,0
2020-04-18 0:00:00,304,246,0
2020-04-19 0:00:00,116,229,0
2020-04-20 0:00:00,233,238,0
2020-04-21 0:00:00,261,246,0
2020-04-22 0:00:00,550,290,0
2020-04-23 0:00:00,398,314,0
2020-04-24 0:00:00,659,360,0
2020-04-25 0:00:00,293,359,0
2020-04-26 0:00:00,249,378,0
2020-04-27 0:00:00,262,382,0
2020-04-28 0:00:00,192,372,0
2020-04-29 0:00:00,442,356,0
2020-04-30 0:00:00,216,330,0
2020-05-01 0:00:00,319,282,0
2020-05-02 0:00:00,204,269,0
2020-05-03 0:00:00,135,253,0
2020-05-04 0:00:00,148,237,0
2020-05-05 0:00:00,164,233,0
2020-05-06 0:00:00,192,197,0
2020-05-07 0:00:00,165,190,0
2020-05-08 0:00:00,163,167,0
2020-05-09 0:00:00,192,166,0
2020-05-10 0:00:00,94,160,0
2020-05-11 0:00:00,59,147,0
2020-05-12 0:00:00,62,132,0
2020-05-13 0:00:00,116,122,0
2020-05-14 0:00:00,111,114,0
2020-05-15 0:00:00,132,109,0
2020-05-16 0:00:00,240,116,0
2020-05-17 0:00:00,99,117,0
2020-05-18 0:00:00,92,122,0
2020-05-19 0:00:00,92,126,0
2020-05-20 0:00:00,93,123,0
2020-05-21 0:00:00,96,121,0
2020-05-22 0:00:00,67,111,0
2020-05-23 0:00:00,89,90,0
2020-05-24 0:00:00,71,86,0
2020-05-25 0:00:00,45,79,0
2020-05-26 0:00:00,10,67,0
2020-05-27 0:00:00,67,64,0
2020-05-28 0:00:00,46,56,0
2020-05-29 0:00:00,47,54,0
2020-05-30 0:00:00,50,48,0
2020-05-31 0:00:00,35,43,0
2020-06-01 0:00:00,18,39,0
2020-06-02 0:00:00,34,42,0
2020-06-03 0:00:00,54,41,0
2020-06-04 0:00:00,34,39,0
2020-06-05 0:00:00,26,36,0
2020-06-06 0:00:00,55,37,0
2020-06-07 0:00:00,23,35,0
2020-06-08 0:00:00,16,35,0
2020-06-09 0:00:00,15,32,0
2020-06-10 0:00:00,33,29,0
2020-06-11 0:00:00,44,30,0
2020-06-12 0:00:00,25,30,0
2020-06-13 0:00:00,18,25,0
2020-06-14 0:00:00,20,24,0
2020-06-15 0:00:00,5,23,0
2020-06-16 0:00:00,20,24,0
2020-06-17 0:00:00,29,23,0
2020-06-18 0:00:00,26,20,0
2020-06-19 0:00:00,9,18,0
2020-06-20 0:00:00,24,19,0
2020-06-21 0:00:00,8,17,0
2020-06-22 0:00:00,24,20,0
2020-06-23 0:00:00,19,20,0
2020-06-24 0:00:00,8,17,0
2020-06-25 0:00:00,29,17,0
2020-06-26 0:00:00,17,18,0
2020-06-27 0:00:00,26,19,0
2020-06-28 0:00:00,15,20,0
2020-06-29 0:00:00,1,16,0
2020-06-30 0:00:00,14,16,0
2020-07-01 0:00:00,12,16,0
2020-07-02 0:00:00,24,16,0
2020-07-03 0:00:00,23,16,0
2020-07-04 0:00:00,null,15,0
2020-07-05 0:00:00,null,15,0
2020-07-06 0:00:00,42,23,0
2020-07-07 0:00:00,22,25,0
2020-07-08 0:00:00,46,31,0
2020-07-09 0:00:00,26,32,0
2020-07-10 0:00:00,23,32,0
2020-07-11 0:00:00,null,32,0
2020-07-12 0:00:00,null,32,0
2020-07-13 0:00:00,50,33,0
2020-07-14 0:00:00,26,34,0
2020-07-15 0:00:00,23,30,0
2020-07-16 0:00:00,null,30,0
2020-07-17 0:00:00,38,34,0
2020-07-18 0:00:00,null,34,0
2020-07-19 0:00:00,null,34,0
2020-07-20 0:00:00,null,29,0
2020-07-21 0:00:00,50,37,0
2020-07-22 0:00:00,28,39,0
2020-07-23 0:00:00,36,38,0
2020-07-24 0:00:00,20,34,0
2020-07-25 0:00:00,null,34,0
2020-07-26 0:00:00,null,34,0
2020-07-27 0:00:00,51,37,0
2020-07-28 0:00:00,27,32,0
2020-07-29 0:00:00,36,34,0
2020-07-30 0:00:00,35,34,0
2020-07-31 0:00:00,45,39,0
2020-08-01 0:00:00,62,43,0
2020-08-02 0:00:00,28,41,0
2020-08-03 0:00:00,43,39,0
2020-08-04 0:00:00,52,43,0
2020-08-05 0:00:00,null,44,0
2020-08-06 0:00:00,null,46,0
2020-08-07 0:00:00,123,62,0
2020-08-08 0:00:00,25,54,0
2020-08-09 0:00:00,30,55,0
2020-08-10 0:00:00,70,60,0
2020-08-11 0:00:00,38,57,0
2020-08-12 0:00:00,48,56,0
2020-08-13 0:00:00,38,53,0
2020-08-14 0:00:00,55,43,0
2020-08-15 0:00:00,50,47,0
2020-08-16 0:00:00,62,52,0
2020-08-17 0:00:00,54,49,0
2020-08-18 0:00:00,24,47,0
2020-08-19 0:00:00,47,47,0
2020-08-20 0:00:00,31,46,0
2020-08-21 0:00:00,66,48,0
2020-08-22 0:00:00,null,47,0
2020-08-23 0:00:00,null,44,0
2020-08-24 0:00:00,148,63,0
2020-08-25 0:00:00,31,65,0
2020-08-26 0:00:00,57,67,0
2020-08-27 0:00:00,54,71,0
2020-08-28 0:00:00,46,67,0
2020-08-29 0:00:00,null,67,0
2020-08-30 0:00:00,null,67,0
2020-08-31 0:00:00,153,68,0
2020-09-01 0:00:00,52,72,0
2020-09-02 0:00:00,48,71,0
2020-09-03 0:00:00,57,71,0
2020-09-04 0:00:00,58,74,0
2020-09-05 0:00:00,70,73,0
2020-09-06 0:00:00,37,68,0
2020-09-07 0:00:00,47,53,0
2020-09-08 0:00:00,25,49,0
2020-09-09 0:00:00,34,47,0
2020-09-10 0:00:00,51,46,0
2020-09-11 0:00:00,54,45,0
2020-09-12 0:00:00,56,43,0
2020-09-13 0:00:00,32,43,0
2020-09-14 0:00:00,51,43,0
2020-09-15 0:00:00,65,49,0
2020-09-16 0:00:00,60,53,0
2020-09-17 0:00:00,60,54,0
2020-09-18 0:00:00,84,58,0
2020-09-21 0:00:00,162,73,0
2020-09-22 0:00:00,27,73,0
2020-09-23 0:00:00,63,74,0
2020-09-24 0:00:00,70,75,0
2020-09-25 0:00:00,88,79,0
2020-09-28 0:00:00,216,101,0
2020-09-30 0:00:00,107,105,0
2020-10-01 0:00:00,82,93,0
2020-10-02 0:00:00,98,103,0
2020-10-05 0:00:00,222,126,0
2020-10-06 0:00:00,63,125,0
2020-10-07 0:00:00,62,121,0
2020-10-08 0:00:00,68,100,0
2020-10-09 0:00:00,95,99,0
2020-10-13 0:00:00,338,135,0
2020-10-14 0:00:00,63,130,0
2020-10-15 0:00:00,108,114,0
2020-10-16 0:00:00,112,121,0
2020-10-19 0:00:00,276,151,0
2020-10-21 0:00:00,195,170,0
2020-10-22 0:00:00,88,169,0
2020-10-23 0:00:00,184,147,0
2020-10-26 0:00:00,453,202,0
2020-10-28 0:00:00,232,220,0
2020-10-29 0:00:00,184,230,0
2020-10-30 0:00:00,188,218,0
2020-11-03 0:00:00,917,321,0
2020-11-04 0:00:00,120,325,0
2020-11-05 0:00:00,201,328,0
2020-11-06 0:00:00,251,299,0
2020-11-09 0:00:00,560,346,0
2020-11-10 0:00:00,239,354,0
2020-11-12 0:00:00,550,405,0
2020-11-17 0:00:00,1197,445,0
2020-11-27 0:00:00,2234,747,0
2020-11-30 0:00:00,601,805,0
2020-12-01 0:00:00,407,827,0
2020-12-02 0:00:00,418,807,0
2020-12-03 0:00:00,542,850,0
2020-12-04 0:00:00,467,838,0
2020-12-07 0:00:00,1280,850,0
2020-12-08 0:00:00,350,581,0
2020-12-09 0:00:00,394,551,0
2020-12-10 0:00:00,465,559,0
2020-12-11 0:00:00,450,564,0
2020-12-11 0:00:00,0,487,0
