prediction_date,n_days_backtest,tuple_area,mape_cases,mape_deaths,mae_cases,mae_deaths,mse_cases,mse_deaths
2020-08-01,30,"('Asia', 'Israel', 'None')",27.209,8.76,26723.839,66.839,865957431.065,6569.355
2020-08-01,30,"('Asia', 'Japan', 'None')",31.291,16.077,18141.452,178.452,397383313.452,32780.323
2020-08-01,30,"('Asia', 'Jordan', 'None')",13.12,11.244,223.065,1.419,105009.581,2.71
2020-08-01,30,"('Asia', 'Kazakhstan', 'None')",2.687,29.285,2725.226,387.806,7957304.0,172002.258
2020-08-01,30,"('Asia', 'Korea, South', 'None')",24.892,6.96,4218.355,21.581,21515727.839,506.742
2020-08-01,30,"('Asia', 'Kuwait', 'None')",9.937,2.368,7830.484,11.645,78697765.258,177.645
2020-08-01,30,"('Asia', 'Lebanon', 'None')",25.443,15.165,3073.806,19.065,16406569.548,641.0
2020-08-01,30,"('Asia', 'Malaysia', 'None')",2.339,1.754,215.613,2.194,54266.968,5.032
2020-08-01,30,"('Asia', 'Maldives', 'None')",36.862,19.033,2301.871,4.774,6466411.871,33.484
2020-08-01,30,"('Asia', 'Mongolia', 'None')",2.654,,7.903,0.0,67.903,0.0
2020-08-01,30,"('Asia', 'Nepal', 'None')",25.356,51.032,7876.613,69.677,93559779.645,7435.935
2020-08-01,30,"('Asia', 'Oman', 'None')",16.547,9.679,13812.71,57.161,222268886.903,3905.935
2020-08-01,30,"('Asia', 'Pakistan', 'None')",8.04,7.941,23263.355,491.129,570353001.613,263592.355
2020-08-01,30,"('Asia', 'Philippines', 'None')",20.329,5.807,34594.774,141.548,1432189970.71,25412.258
2020-08-01,30,"('Asia', 'Qatar', 'None')",2.214,0.826,2581.0,1.548,9591855.903,4.387
2020-08-01,30,"('Asia', 'Russia', 'None')",11.021,2.311,102861.484,374.161,11907778914.581,202793.645
2020-08-01,30,"('Asia', 'Saudi Arabia', 'None')",4.461,4.726,13387.516,160.516,188965534.613,26013.29
2020-08-01,30,"('Asia', 'Singapore', 'None')",7.08,16.726,3941.129,4.516,16054665.774,20.645
2020-08-01,30,"('Asia', 'Sri Lanka', 'None')",0.933,28.592,27.097,3.226,978.194,10.581
2020-08-01,30,"('Asia', 'Tajikistan', 'None')",10.512,3.544,857.194,2.323,836164.29,8.065
2020-08-01,30,"('Asia', 'Thailand', 'None')",4.523,1.724,152.742,1.0,24338.484,1.0
2020-08-01,30,"('Asia', 'Turkey', 'None')",9.918,4.927,25223.129,300.097,756371676.871,118885.452
2020-08-01,30,"('Asia', 'United Arab Emirates', 'None')",6.736,6.516,4459.161,23.548,25509955.097,609.161
2020-08-01,30,"('Asia', 'Uzbekistan', 'None')",6.53,4.444,2571.129,9.323,15392658.29,102.29
2020-08-01,30,"('Asia', 'Vietnam', 'None')",13.701,85.283,137.032,17.71,32309.871,374.484
2020-08-01,30,"('Asia', 'Yemen', 'None')",2.408,2.456,45.613,13.516,2919.419,320.226
2020-08-01,30,"('Europe', 'Albania', 'None')",5.839,14.013,468.677,31.903,296558.935,1083.839
2020-08-01,30,"('Europe', 'Andorra', 'None')",12.696,0.682,132.323,0.355,22088.129,0.355
2020-08-01,30,"('Europe', 'Austria', 'None')",13.971,3.708,3451.032,26.935,15686836.968,727.387
2020-08-01,30,"('Europe', 'Belarus', 'None')",1.686,8.387,1188.0,52.71,2159593.742,3296.968
2020-08-01,30,"('Europe', 'Belgium', 'None')",18.902,0.52,14946.742,51.452,247333321.839,3297.258
2020-08-01,30,"('Europe', 'Bosnia and Herzegovina', 'None')",25.149,24.432,4143.839,122.065,19296047.452,17451.871
2020-08-01,30,"('Europe', 'Bulgaria', 'None')",11.213,10.282,1653.032,55.355,3170081.29,4153.032
2020-08-01,30,"('Europe', 'Croatia', 'None')",31.423,11.241,2426.806,18.903,8423912.742,400.323
2020-08-01,30,"('Europe', 'Cyprus', 'None')",22.602,3.387,309.323,0.677,108584.484,0.677
2020-08-01,30,"('Europe', 'Czechia', 'None')",15.515,4.718,3307.0,18.839,14123829.452,367.742
2020-08-01,30,"('Europe', 'Denmark', 'None')",13.534,0.548,2151.097,3.387,5624658.387,17.581
2020-08-01,30,"('Europe', 'Estonia', 'None')",9.957,11.928,223.129,7.548,57671.387,58.194
2020-08-01,30,"('Europe', 'Finland', 'None')",4.925,1.398,386.903,4.645,190278.323,24.0
2020-08-01,30,"('Europe', 'France', 'None')",15.644,0.714,40772.871,215.839,2385059653.065,55770.871
2020-08-01,30,"('Europe', 'Germany', 'None')",9.938,1.731,22964.452,159.677,639493167.742,26252.387
2020-08-01,30,"('Europe', 'Greece', 'None')",37.78,7.548,2991.581,18.484,12190794.355,615.71
2020-08-01,30,"('Europe', 'Hungary', 'None')",9.4,1.163,495.903,7.032,402236.355,57.548
2020-08-01,30,"('Europe', 'Iceland', 'None')",8.161,0.0,165.806,0.0,31751.742,0.0
2020-08-01,30,"('Europe', 'Ireland', 'None')",7.316,2.983,2024.871,52.903,4825898.484,2822.0
2020-08-01,30,"('Europe', 'Italy', 'None')",4.159,0.345,10772.806,122.0,155903039.516,21556.194
2020-08-01,30,"('Europe', 'Kosovo', 'None')",13.856,38.039,1602.613,153.839,3076826.806,28065.129
2020-08-01,30,"('Europe', 'Latvia', 'None')",6.63,2.694,88.258,0.871,9135.29,0.935
2020-08-01,30,"('Europe', 'Lithuania', 'None')",17.413,2.421,445.452,1.968,256559.581,5.065
2020-08-01,30,"('Europe', 'Luxembourg', 'None')",6.171,10.951,452.935,13.387,232838.097,184.419
2020-08-01,30,"('Europe', 'Malta', 'None')",43.82,8.244,640.516,0.774,521754.903,0.903
2020-08-01,30,"('Europe', 'Moldova', 'None')",7.601,1.039,2498.194,9.742,9399255.097,162.387
2020-08-01,30,"('Europe', 'Monaco', 'None')",12.718,0.0,18.871,0.0,459.774,0.0
2020-08-01,30,"('Europe', 'Montenegro', 'None')",12.123,22.256,519.387,18.323,388071.71,467.419
2020-08-01,30,"('Europe', 'Netherlands', 'None')",16.733,1.104,10809.806,68.097,140963801.484,5305.774
2020-08-01,30,"('Europe', 'North Macedonia', 'None')",1.485,5.664,194.806,31.645,48010.871,1270.032
2020-08-01,30,"('Europe', 'Norway', 'None')",9.53,1.391,970.71,3.645,1144599.613,17.323
2020-08-01,30,"('Europe', 'Poland', 'None')",18.239,4.841,10788.226,94.097,142381429.774,12938.419
2020-08-01,30,"('Europe', 'Portugal', 'None')",0.869,4.545,488.194,80.839,553529.419,6603.419
2020-08-01,30,"('Europe', 'Romania', 'None')",16.163,4.959,11981.226,161.71,180356020.516,44334.226
2020-08-01,30,"('Europe', 'San Marino', 'None')",0.538,0.0,3.806,0.0,30.387,0.0
2020-08-01,30,"('Europe', 'Serbia', 'None')",12.822,16.054,3812.129,108.194,16187273.29,12598.0
2020-08-01,30,"('Europe', 'Slovakia', 'None')",26.702,6.118,852.71,1.871,967458.065,4.581
2020-08-01,30,"('Europe', 'Slovenia', 'None')",23.644,6.324,596.903,8.226,408533.226,79.194
2020-08-01,30,"('Europe', 'Spain', 'None')",9.628,5.374,38337.613,1545.645,2566094963.871,2600860.548
2020-08-01,30,"('Europe', 'Sweden', 'None')",1.887,4.048,1500.516,234.935,3666702.0,55462.613
2020-08-01,30,"('Europe', 'Switzerland', 'None')",10.089,2.354,3964.774,46.903,19917578.71,2210.581
