key,date,new_cases,new_deaths,cumulative_cases,cumulative_deaths,population,country,state_province,county,aggregation_level
AR_C_002,2020-08-07,19,0,633,20,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-04,0,0,0,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-07,22,0,45,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-30,10,0,206,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-22,2,1,64,2,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-30,4,0,80,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-10,1,0,48,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-17,1,0,53,1,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-13,1,0,18,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-07,9,0,251,12,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-29,0,0,21,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-15,0,0,52,1,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-26,2,0,179,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-22,6,0,163,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-08-15,9,0,733,22,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-12,2,1,50,1,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-27,13,0,470,19,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-08-09,9,0,649,20,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-26,2,1,70,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-03,6,0,226,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-19,0,0,19,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-09,1,0,1,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-17,3,1,140,9,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-25,8,0,177,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-08-12,14,0,687,21,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-08-02,11,0,558,20,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-28,15,0,485,19,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-24,29,0,437,19,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-21,16,3,377,18,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-09,0,0,47,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-21,1,0,62,1,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-11,7,1,268,14,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-19,5,0,149,9,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-26,3,0,11,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-25,0,0,20,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-11,4,0,116,6,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-29,0,0,12,0,157932,Argentina,City of Buenos Aires,Recoleta,2
