date,country,country_population,state_province,state_province_population,county,county_population,city,city_population,new_cases,new_deaths,new_recovered,cumulative_cases,cumulative_deaths,cumulative_recovered
2020-01-23,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-01-25,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-01-27,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-01-29,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-01-31,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-02,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-04,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-06,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-08,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-10,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-12,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-14,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-16,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-18,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-20,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-22,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-24,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-26,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-02-28,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-03-01,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-03-03,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-03-05,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-03-07,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-03-09,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-03-11,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,0,0,NA
2020-03-13,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,1,0,NA,1,0,NA
2020-03-15,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,1,0,NA
2020-03-17,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,2,0,NA
2020-03-19,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,1,0,NA,3,0,NA
2020-03-21,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,3,0,NA
2020-03-23,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,1,0,NA,4,0,NA
2020-03-25,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,4,0,NA,13,0,NA
2020-03-27,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,1,0,NA,18,0,NA
2020-03-29,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,4,0,NA,22,0,NA
2020-03-31,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,2,1,NA,31,1,NA
2020-04-02,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,11,0,NA,46,1,NA
2020-04-04,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,2,0,NA,63,1,NA
2020-04-06,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,0,0,NA,71,1,NA
2020-04-08,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,7,0,NA,81,1,NA
2020-04-10,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,2,0,NA,92,1,NA
2020-04-12,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,14,0,NA,120,1,NA
2020-04-14,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,12,0,NA,161,1,NA
2020-04-16,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,12,0,NA,201,1,NA
2020-04-18,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,10,0,NA,217,1,NA
2020-04-20,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,5,0,NA,231,1,NA
2020-04-22,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,8,0,NA,253,3,NA
2020-04-24,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,11,1,NA,274,4,NA
2020-04-26,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,5,0,NA,289,4,NA
2020-04-28,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,10,0,NA,302,5,NA
2020-04-30,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,19,0,NA,337,6,NA
2020-05-02,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,24,0,NA,379,6,NA
2020-05-04,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,29,1,NA,438,8,NA
2020-05-06,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,21,4,NA,477,12,NA
2020-05-08,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,18,2,NA,533,15,NA
2020-05-10,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,32,0,NA,608,15,NA
2020-05-12,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,42,3,NA,684,18,NA
2020-05-14,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,48,1,NA,753,20,NA
2020-05-16,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,29,0,NA,816,20,NA
2020-05-18,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,40,0,NA,863,20,NA
2020-05-20,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,87,3,NA,994,27,NA
2020-05-22,USA,328239523,AL,4903185,AL_Montgomery County,226486,NA,NA,44,1,NA,1096,29,NA
