date,country,country_population,state_province,state_province_population,county,county_population,city,city_population,new_cases,new_deaths,new_recovered,cumulative_cases,cumulative_deaths,cumulative_recovered
2020-02-25,Peru,32626000,Amazonas,426800,,,,,,,,0,0,0
2020-02-26,Peru,32626000,Amazonas,426800,,,,,,,,0,0,0
2020-02-27,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-02-28,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-02-29,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-01,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-02,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-03,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-04,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-05,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-06,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-07,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-08,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-09,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-10,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-11,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-12,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-13,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-14,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-15,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-16,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-17,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-18,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-19,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-20,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-21,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-22,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-23,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-24,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-25,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-26,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-27,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-28,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-29,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-30,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-03-31,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-04-01,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-04-02,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-04-03,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-04-04,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-04-05,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-04-06,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-04-07,Peru,32626000,Amazonas,426800,,,,,0,0,0,0,0,0
2020-04-08,Peru,32626000,Amazonas,426800,,,,,11,0,0,11,0,0
2020-04-09,Peru,32626000,Amazonas,426800,,,,,0,0,0,10,0,0
2020-04-10,Peru,32626000,Amazonas,426800,,,,,6,0,0,16,0,0
2020-04-11,Peru,32626000,Amazonas,426800,,,,,6,0,0,22,0,0
2020-04-12,Peru,32626000,Amazonas,426800,,,,,0,0,0,19,0,0
2020-04-13,Peru,32626000,Amazonas,426800,,,,,6,0,0,25,0,0
2020-04-14,Peru,32626000,Amazonas,426800,,,,,0,0,0,25,0,0
2020-04-15,Peru,32626000,Amazonas,426800,,,,,0,0,0,25,0,0
2020-04-16,Peru,32626000,Amazonas,426800,,,,,0,0,0,23,0,0
2020-04-17,Peru,32626000,Amazonas,426800,,,,,23,0,0,46,0,0
2020-04-18,Peru,32626000,Amazonas,426800,,,,,5,0,0,51,0,0
2020-04-19,Peru,32626000,Amazonas,426800,,,,,0,0,0,51,0,0
2020-04-20,Peru,32626000,Amazonas,426800,,,,,4,0,0,55,0,0
2020-04-21,Peru,32626000,Amazonas,426800,,,,,3,0,0,58,0,0
2020-04-22,Peru,32626000,Amazonas,426800,,,,,2,0,0,60,0,0
2020-04-23,Peru,32626000,Amazonas,426800,,,,,4,0,0,64,0,0
2020-04-24,Peru,32626000,Amazonas,426800,,,,,1,0,0,65,0,0
2020-04-25,Peru,32626000,Amazonas,426800,,,,,2,0,0,67,0,0
2020-04-26,Peru,32626000,Amazonas,426800,,,,,11,0,0,78,0,0
2020-04-27,Peru,32626000,Amazonas,426800,,,,,6,0,0,84,0,0
2020-04-28,Peru,32626000,Amazonas,426800,,,,,24,0,0,108,0,0
2020-04-29,Peru,32626000,Amazonas,426800,,,,,11,0,0,119,0,0
2020-04-30,Peru,32626000,Amazonas,426800,,,,,3,0,0,122,0,0
2020-05-01,Peru,32626000,Amazonas,426800,,,,,7,0,0,129,0,0
2020-05-02,Peru,32626000,Amazonas,426800,,,,,7,1,0,136,1,0
2020-05-03,Peru,32626000,Amazonas,426800,,,,,19,0,0,155,1,0
2020-05-04,Peru,32626000,Amazonas,426800,,,,,9,0,0,164,1,0
2020-05-05,Peru,32626000,Amazonas,426800,,,,,6,3,0,170,4,0
2020-05-06,Peru,32626000,Amazonas,426800,,,,,6,1,0,176,5,0
2020-05-07,Peru,32626000,Amazonas,426800,,,,,10,2,0,186,7,0
2020-05-08,Peru,32626000,Amazonas,426800,,,,,21,0,0,207,7,0
2020-05-09,Peru,32626000,Amazonas,426800,,,,,14,0,0,221,7,0
2020-05-10,Peru,32626000,Amazonas,426800,,,,,16,1,0,237,8,0
2020-05-11,Peru,32626000,Amazonas,426800,,,,,5,0,0,242,8,0
2020-05-12,Peru,32626000,Amazonas,426800,,,,,7,3,0,249,11,0
2020-05-13,Peru,32626000,Amazonas,426800,,,,,10,0,0,259,11,0
2020-05-14,Peru,32626000,Amazonas,426800,,,,,10,0,0,269,11,0
2020-05-15,Peru,32626000,Amazonas,426800,,,,,1,0,0,270,11,0
2020-05-16,Peru,32626000,Amazonas,426800,,,,,9,1,0,279,12,0
2020-05-17,Peru,32626000,Amazonas,426800,,,,,32,3,0,311,15,0
2020-05-18,Peru,32626000,Amazonas,426800,,,,,6,2,0,317,17,0
2020-05-19,Peru,32626000,Amazonas,426800,,,,,8,0,0,325,17,0
2020-05-20,Peru,32626000,Amazonas,426800,,,,,24,0,0,349,17,0
2020-05-21,Peru,32626000,Amazonas,426800,,,,,22,0,0,371,17,0
2020-05-22,Peru,32626000,Amazonas,426800,,,,,28,1,0,399,18,0
2020-05-23,Peru,32626000,Amazonas,426800,,,,,38,0,0,437,18,0
2020-05-24,Peru,32626000,Amazonas,426800,,,,,14,0,0,451,18,0
2020-05-25,Peru,32626000,Amazonas,426800,,,,,9,2,0,460,20,0
2020-05-26,Peru,32626000,Amazonas,426800,,,,,51,0,0,511,20,0
2020-05-27,Peru,32626000,Amazonas,426800,,,,,22,0,0,533,20,0
2020-05-28,Peru,32626000,Amazonas,426800,,,,,13,1,0,546,21,0
2020-05-29,Peru,32626000,Amazonas,426800,,,,,17,0,0,563,21,0
2020-05-30,Peru,32626000,Amazonas,426800,,,,,19,0,0,582,21,0
2020-05-31,Peru,32626000,Amazonas,426800,,,,,23,0,0,605,21,0
2020-06-01,Peru,32626000,Amazonas,426800,,,,,3,0,0,608,21,0
2020-06-02,Peru,32626000,Amazonas,426800,,,,,29,5,0,637,26,0
2020-06-03,Peru,32626000,Amazonas,426800,,,,,17,0,0,654,26,0
2020-06-04,Peru,32626000,Amazonas,426800,,,,,26,1,0,680,27,0
2020-06-05,Peru,32626000,Amazonas,426800,,,,,52,0,0,732,27,0
