date,country,country_population,state_province,state_province_population,new_cases,new_deaths,cumulative_cases,cumulative_deaths
2020-03-14,Argentina,NA,Buenos Aires Province,17370144,2,0,12,3
2020-03-15,Argentina,NA,Buenos Aires Province,17370144,0,0,12,3
2020-03-16,Argentina,NA,Buenos Aires Province,17370144,3,0,15,3
2020-03-17,Argentina,NA,Buenos Aires Province,17370144,3,3,18,6
2020-03-18,Argentina,NA,Buenos Aires Province,17370144,10,0,28,6
2020-03-19,Argentina,NA,Buenos Aires Province,17370144,11,2,39,8
2020-03-20,Argentina,NA,Buenos Aires Province,17370144,8,0,47,8
2020-03-21,Argentina,NA,Buenos Aires Province,17370144,14,2,61,10
2020-03-22,Argentina,NA,Buenos Aires Province,17370144,10,1,71,11
2020-03-23,Argentina,NA,Buenos Aires Province,17370144,9,1,80,12
2020-03-24,Argentina,NA,Buenos Aires Province,17370144,31,4,111,16
2020-03-25,Argentina,NA,Buenos Aires Province,17370144,42,1,153,17
2020-03-26,Argentina,NA,Buenos Aires Province,17370144,35,8,188,25
2020-03-27,Argentina,NA,Buenos Aires Province,17370144,25,5,213,30
2020-03-28,Argentina,NA,Buenos Aires Province,17370144,12,10,225,40
2020-03-29,Argentina,NA,Buenos Aires Province,17370144,19,9,244,49
2020-03-30,Argentina,NA,Buenos Aires Province,17370144,22,6,266,55
2020-03-31,Argentina,NA,Buenos Aires Province,17370144,21,8,287,63
2020-04-01,Argentina,NA,Buenos Aires Province,17370144,29,5,316,68
2020-04-02,Argentina,NA,Buenos Aires Province,17370144,31,11,347,79
2020-04-03,Argentina,NA,Buenos Aires Province,17370144,32,9,379,88
2020-04-04,Argentina,NA,Buenos Aires Province,17370144,31,8,410,96
2020-04-05,Argentina,NA,Buenos Aires Province,17370144,13,18,423,114
2020-04-06,Argentina,NA,Buenos Aires Province,17370144,32,16,455,130
2020-04-07,Argentina,NA,Buenos Aires Province,17370144,17,12,472,142
2020-04-08,Argentina,NA,Buenos Aires Province,17370144,23,14,495,156
2020-04-09,Argentina,NA,Buenos Aires Province,17370144,20,12,515,168
2020-04-10,Argentina,NA,Buenos Aires Province,17370144,43,9,558,177
2020-04-11,Argentina,NA,Buenos Aires Province,17370144,18,9,576,186
2020-04-12,Argentina,NA,Buenos Aires Province,17370144,35,12,611,198
2020-04-13,Argentina,NA,Buenos Aires Province,17370144,23,16,634,214
2020-04-14,Argentina,NA,Buenos Aires Province,17370144,63,11,697,225
2020-04-15,Argentina,NA,Buenos Aires Province,17370144,50,18,747,243
2020-04-16,Argentina,NA,Buenos Aires Province,17370144,41,15,788,258
2020-04-17,Argentina,NA,Buenos Aires Province,17370144,35,15,823,273
2020-04-18,Argentina,NA,Buenos Aires Province,17370144,59,18,882,291
2020-04-19,Argentina,NA,Buenos Aires Province,17370144,26,14,908,305
2020-04-20,Argentina,NA,Buenos Aires Province,17370144,48,13,956,318
2020-04-21,Argentina,NA,Buenos Aires Province,17370144,62,16,1018,334
2020-04-22,Argentina,NA,Buenos Aires Province,17370144,59,18,1077,352
2020-04-23,Argentina,NA,Buenos Aires Province,17370144,69,18,1146,370
2020-04-24,Argentina,NA,Buenos Aires Province,17370144,77,14,1223,384
2020-04-25,Argentina,NA,Buenos Aires Province,17370144,79,13,1302,397
2020-04-26,Argentina,NA,Buenos Aires Province,17370144,30,17,1332,414
2020-04-27,Argentina,NA,Buenos Aires Province,17370144,67,32,1399,446
2020-04-28,Argentina,NA,Buenos Aires Province,17370144,62,16,1461,462
2020-04-29,Argentina,NA,Buenos Aires Province,17370144,89,11,1550,473
2020-04-30,Argentina,NA,Buenos Aires Province,17370144,47,16,1597,489
2020-05-01,Argentina,NA,Buenos Aires Province,17370144,48,17,1645,506
2020-05-02,Argentina,NA,Buenos Aires Province,17370144,39,9,1684,515
2020-05-03,Argentina,NA,Buenos Aires Province,17370144,31,17,1715,532
2020-05-04,Argentina,NA,Buenos Aires Province,17370144,46,14,1761,546
2020-05-05,Argentina,NA,Buenos Aires Province,17370144,77,10,1838,556
2020-05-06,Argentina,NA,Buenos Aires Province,17370144,58,13,1896,569
2020-05-07,Argentina,NA,Buenos Aires Province,17370144,58,22,1954,591
2020-05-08,Argentina,NA,Buenos Aires Province,17370144,74,11,2028,602
2020-05-09,Argentina,NA,Buenos Aires Province,17370144,57,18,2085,620
2020-05-10,Argentina,NA,Buenos Aires Province,17370144,39,17,2124,637
2020-05-11,Argentina,NA,Buenos Aires Province,17370144,57,15,2181,652
2020-05-12,Argentina,NA,Buenos Aires Province,17370144,89,18,2270,670
2020-05-13,Argentina,NA,Buenos Aires Province,17370144,95,14,2365,684
2020-05-14,Argentina,NA,Buenos Aires Province,17370144,92,15,2457,699
2020-05-15,Argentina,NA,Buenos Aires Province,17370144,97,17,2554,716
2020-05-16,Argentina,NA,Buenos Aires Province,17370144,118,21,2672,737
2020-05-17,Argentina,NA,Buenos Aires Province,17370144,53,13,2725,750
2020-05-18,Argentina,NA,Buenos Aires Province,17370144,156,17,2881,767
2020-05-19,Argentina,NA,Buenos Aires Province,17370144,154,15,3035,782
2020-05-20,Argentina,NA,Buenos Aires Province,17370144,194,24,3229,806
2020-05-21,Argentina,NA,Buenos Aires Province,17370144,266,18,3495,824
2020-05-22,Argentina,NA,Buenos Aires Province,17370144,297,25,3792,849
2020-05-23,Argentina,NA,Buenos Aires Province,17370144,224,14,4016,863
2020-05-24,Argentina,NA,Buenos Aires Province,17370144,153,12,4169,875
2020-05-25,Argentina,NA,Buenos Aires Province,17370144,245,23,4414,898
2020-05-26,Argentina,NA,Buenos Aires Province,17370144,270,16,4684,914
2020-05-27,Argentina,NA,Buenos Aires Province,17370144,268,17,4952,931
2020-05-28,Argentina,NA,Buenos Aires Province,17370144,260,18,5212,949
2020-05-29,Argentina,NA,Buenos Aires Province,17370144,331,15,5543,964
