date,country,country_population,state_province,state_province_population,new_cases,new_deaths,cumulative_cases,cumulative_deaths
2019-12-30,Australia,,None,25364307,0,0,0,0
2019-12-30,China,,None,1397715000,27,0,27,0
2019-12-30,Canada,,None,37589262,0,0,0,0
2019-12-30,Taiwan,,None,23593794,0,0,0,0
2019-12-31,Australia,,None,25364307,0,0,0,0
2019-12-31,Canada,,None,37589262,0,0,0,0
2019-12-31,Taiwan,,None,23593794,0,0,0,0
2019-12-31,China,,None,1397715000,0,0,27,0
2020-01-01,Taiwan,,None,23593794,0,0,0,0
2020-01-01,Australia,,None,25364307,0,0,0,0
2020-01-01,Canada,,None,37589262,0,0,0,0
2020-01-01,China,,None,1397715000,0,0,0,0
2020-01-02,Taiwan,,None,23593794,0,0,0,0
2020-01-02,Canada,,None,37589262,0,0,0,0
2020-01-02,Australia,,None,25364307,0,0,0,0
2020-01-02,China,,None,1397715000,1,0,1,0
2020-01-03,Australia,,None,25364307,0,0,0,0
2020-01-03,Taiwan,,None,23593794,0,0,0,0
2020-01-03,Canada,,None,37589262,0,0,0,0
2020-01-03,China,,None,1397715000,0,0,1,0
2020-01-04,Canada,,None,37589262,0,0,0,0
2020-01-04,Taiwan,,None,23593794,0,0,0,0
2020-01-04,China,,None,1397715000,3,0,4,0
2020-01-04,Australia,,None,25364307,0,0,0,0
2020-01-05,Taiwan,,None,23593794,0,0,0,0
2020-01-05,Australia,,None,25364307,0,0,0,0
2020-01-05,China,,None,1397715000,0,0,4,0
2020-01-05,Canada,,None,37589262,0,0,0,0
2020-01-06,China,,None,1397715000,0,0,4,0
2020-01-06,Canada,,None,37589262,0,0,0,0
2020-01-06,Australia,,None,25364307,0,0,0,0
2020-01-06,Taiwan,,None,23593794,0,0,0,0
2020-01-07,Taiwan,,None,23593794,0,0,0,0
2020-01-07,China,,None,1397715000,0,0,4,0
2020-01-07,Australia,,None,25364307,0,0,0,0
2020-01-07,Canada,,None,37589262,0,0,0,0
2020-01-08,Canada,,None,37589262,0,0,0,0
2020-01-08,China,,None,1397715000,0,0,4,0
2020-01-08,Taiwan,,None,23593794,0,0,0,0
2020-01-08,Australia,,None,25364307,0,0,0,0
2020-01-09,China,,None,1397715000,41,1,45,1
2020-01-09,Australia,,None,25364307,0,0,0,0
2020-01-09,Taiwan,,None,23593794,0,0,0,0
2020-01-09,Canada,,None,37589262,0,0,0,0
2020-01-10,Australia,,None,25364307,0,0,0,0
2020-01-10,China,,None,1397715000,0,0,45,1
2020-01-10,Taiwan,,None,23593794,0,0,0,0
2020-01-10,Canada,,None,37589262,0,0,0,0
2020-01-11,China,,None,1397715000,0,0,45,1
2020-01-11,Australia,,None,25364307,0,0,0,0
2020-01-11,Canada,,None,37589262,0,0,0,0
2020-01-11,Taiwan,,None,23593794,0,0,0,0
2020-01-12,Canada,,None,37589262,0,0,0,0
2020-01-12,China,,None,1397715000,0,0,45,1
2020-01-12,Australia,,None,25364307,0,0,0,0
2020-01-12,Taiwan,,None,23593794,0,0,0,0
2020-01-13,Taiwan,,None,23593794,0,0,0,0
2020-01-13,Canada,,None,37589262,0,0,0,0
2020-01-13,China,,None,1397715000,0,0,45,1
2020-01-13,Australia,,None,25364307,0,0,0,0
2020-01-14,Canada,,None,37589262,0,0,0,0
2020-01-14,Taiwan,,None,23593794,0,0,0,0
2020-01-14,Australia,,None,25364307,0,0,0,0
2020-01-14,China,,None,1397715000,0,0,45,1
2020-01-15,Australia,,None,25364307,0,0,0,0
2020-01-15,Taiwan,,None,23593794,0,0,0,0
2020-01-15,China,,None,1397715000,4,1,49,2
2020-01-15,Canada,,None,37589262,0,0,0,0
2020-01-16,Canada,,None,37589262,0,0,0,0
2020-01-16,Australia,,None,25364307,0,0,0,0
2020-01-16,China,,None,1397715000,17,0,66,2
2020-01-16,Taiwan,,None,23593794,0,0,0,0
2020-01-17,Taiwan,,None,23593794,0,0,0,0
2020-01-17,Australia,,None,25364307,0,0,0,0
2020-01-17,Canada,,None,37589262,0,0,0,0
2020-01-17,China,,None,1397715000,59,1,125,3
2020-01-18,China,,None,1397715000,77,1,202,4
2020-01-18,Canada,,None,37589262,0,0,0,0
2020-01-18,Taiwan,,None,23593794,0,0,0,0
2020-01-18,Australia,,None,25364307,0,0,0,0
2020-01-19,Australia,,None,25364307,0,0,0,0
2020-01-19,Taiwan,,None,23593794,0,0,0,0
2020-01-19,China,,None,1397715000,93,2,295,6
2020-01-19,Canada,,None,37589262,0,0,0,0
2020-01-20,Taiwan,,None,23593794,1,0,1,0
2020-01-20,Australia,,None,25364307,0,0,0,0
2020-01-20,Canada,,None,37589262,0,0,0,0
2020-01-20,China,,None,1397715000,152,3,447,9
2020-01-21,Taiwan,,None,23593794,0,0,1,0
2020-01-21,Australia,,None,25364307,0,0,0,0
2020-01-21,Canada,,None,37589262,0,0,0,0
2020-01-21,China,,None,1397715000,131,8,548,17
2020-01-22,Canada,,None,37589262,0,0,0,0
2020-01-22,USA,,None,328239523,0,0,0,0
2020-01-22,Taiwan,,None,23593794,0,0,1,0
2020-01-22,Australia,,None,25364307,0,0,0,0
2020-01-22,China,,None,1397715000,95,1,643,18
2020-01-23,China,,None,1397715000,277,8,920,26
2020-01-23,Australia,,None,25364307,0,0,7,0
2020-01-23,Canada,,None,37589262,0,0,0,0
2020-01-23,USA,,None,328239523,0,0,0,0
2020-01-23,Taiwan,,None,23593794,2,0,3,0
2020-01-24,Canada,,None,37589262,0,0,5,0
2020-01-24,Taiwan,,None,23593794,0,0,1,0
2020-01-24,USA,,None,328239523,1,0,1,0
2020-01-24,Australia,,None,25364307,0,0,8,0
2020-01-24,China,,None,1397715000,486,16,1406,42
2020-01-25,Australia,,None,25364307,4,0,4,0
2020-01-25,USA,,None,328239523,0,0,1,0
2020-01-25,Canada,,None,37589262,0,0,0,0
2020-01-25,Taiwan,,None,23593794,2,0,3,0
2020-01-25,China,,None,1397715000,669,14,2075,56
2020-01-26,USA,,None,328239523,3,0,4,0
2020-01-26,Canada,,None,37589262,0,0,0,0
2020-01-26,China,,None,1397715000,802,26,2877,82
2020-01-26,Taiwan,,None,23593794,1,0,5,0
2020-01-26,Australia,,None,25364307,1,0,5,0
2020-01-27,Taiwan,,None,23593794,2,0,5,0
2020-01-27,China,,None,1397715000,2632,49,5509,131
2020-01-27,Canada,,None,37589262,0,0,0,0
2020-01-27,Australia,,None,25364307,0,0,5,0
2020-01-27,USA,,None,328239523,1,0,5,0
2020-01-28,China,,None,1397715000,578,2,6087,133
2020-01-28,Canada,,None,37589262,0,0,0,0
2020-01-28,USA,,None,328239523,0,0,5,0
2020-01-28,Taiwan,,None,23593794,2,0,7,0
2020-01-28,Australia,,None,25364307,1,0,6,0
2020-01-29,USA,,None,328239523,1,0,6,0
2020-01-29,China,,None,1397715000,2054,38,8141,171
2020-01-29,Australia,,None,25364307,3,0,9,0
2020-01-29,Taiwan,,None,23593794,1,0,8,0
2020-01-29,Canada,,None,37589262,0,0,0,0
2020-01-30,China,,None,1397715000,1661,42,9802,213
2020-01-30,Taiwan,,None,23593794,1,0,10,0
2020-01-30,USA,,None,328239523,0,0,6,0
2020-01-30,Australia,,None,25364307,0,0,9,0
2020-01-30,Canada,,None,37589262,0,0,0,0
2020-01-31,Canada,,None,37589262,4,0,4,0
2020-01-31,USA,,None,328239523,1,0,7,0
2020-01-31,Australia,,None,25364307,3,0,12,0
2020-01-31,Taiwan,,None,23593794,1,0,9,0
2020-01-31,China,,None,1397715000,2089,46,11891,259
2020-02-01,Taiwan,,None,23593794,1,0,10,0
2020-02-01,China,,None,1397715000,4739,102,16630,361
2020-02-01,Canada,,None,37589262,0,0,0,0
2020-02-01,Australia,,None,25364307,0,0,12,0
2020-02-01,USA,,None,328239523,1,0,8,0
2020-02-02,China,,None,1397715000,3086,64,19716,425
2020-02-02,USA,,None,328239523,0,0,8,0
2020-02-02,Taiwan,,None,23593794,0,0,10,0
2020-02-02,Australia,,None,25364307,0,0,12,0
2020-02-02,Canada,,None,37589262,0,0,0,0
2020-02-03,Australia,,None,25364307,1,0,13,0
2020-02-03,China,,None,1397715000,3991,66,23707,491
2020-02-03,Canada,,None,37589262,0,0,0,0
2020-02-03,Taiwan,,None,23593794,1,0,11,0
2020-02-03,USA,,None,328239523,2,0,10,0
2020-02-04,China,,None,1397715000,3733,72,27440,563
2020-02-04,USA,,None,328239523,0,0,10,0
2020-02-04,Taiwan,,None,23593794,0,0,11,0
2020-02-04,Canada,,None,37589262,0,0,0,0
2020-02-04,Australia,,None,25364307,0,0,13,0
2020-02-05,Taiwan,,None,23593794,1,0,11,0
2020-02-05,China,,None,1397715000,3147,70,30587,633
2020-02-05,Canada,,None,37589262,0,0,0,0
2020-02-05,Australia,,None,25364307,1,0,14,0
2020-02-05,USA,,None,328239523,0,0,10,0
2020-02-06,Australia,,None,25364307,1,0,15,0
2020-02-06,Canada,,None,37589262,0,0,0,0
2020-02-06,China,,None,1397715000,3523,85,34110,718
2020-02-06,USA,,None,328239523,0,1,10,1
2020-02-06,Taiwan,,None,23593794,2,0,13,0
2020-02-07,USA,,None,328239523,0,0,10,1
2020-02-07,Australia,,None,25364307,0,0,15,0
2020-02-07,Taiwan,,None,23593794,3,0,16,0
2020-02-07,China,,None,1397715000,2704,87,36814,805
2020-02-07,Canada,,None,37589262,0,0,0,0
2020-02-08,Canada,,None,37589262,3,0,7,0
2020-02-08,Taiwan,,None,23593794,1,0,17,0
2020-02-08,China,,None,1397715000,3015,100,39829,905
2020-02-08,Australia,,None,25364307,0,0,15,0
2020-02-08,USA,,None,328239523,0,0,10,1
2020-02-09,Canada,,None,37589262,0,0,0,0
2020-02-09,Taiwan,,None,23593794,1,0,18,0
2020-02-09,USA,,None,328239523,0,0,10,1
2020-02-09,China,,None,1397715000,2525,107,42354,1012
2020-02-09,Australia,,None,25364307,0,0,15,0
2020-02-10,Taiwan,,None,23593794,0,0,18,0
2020-02-10,China,,None,1397715000,2032,100,44386,1112
2020-02-10,USA,,None,328239523,0,0,10,1
2020-02-10,Canada,,None,37589262,0,0,0,0
2020-02-10,Australia,,None,25364307,0,0,15,0
2020-02-11,China,,None,1397715000,373,5,44759,1117
2020-02-11,Taiwan,,None,23593794,0,0,18,0
2020-02-11,USA,,None,328239523,1,0,11,1
2020-02-11,Australia,,None,25364307,0,0,15,0
2020-02-11,Canada,,None,37589262,0,0,0,0
2020-02-12,Taiwan,,None,23593794,0,0,18,0
2020-02-12,USA,,None,328239523,0,0,11,1
2020-02-12,Australia,,None,25364307,0,0,15,0
2020-02-12,China,,None,1397715000,15136,252,59895,1369
2020-02-12,Canada,,None,37589262,0,0,0,0
2020-02-13,Canada,,None,37589262,0,0,0,0
2020-02-13,USA,,None,328239523,1,0,12,1
2020-02-13,China,,None,1397715000,6463,152,66358,1521
2020-02-13,Australia,,None,25364307,0,0,15,0
2020-02-13,Taiwan,,None,23593794,0,0,18,0
2020-02-14,Australia,,None,25364307,0,0,15,0
2020-02-14,Canada,,None,37589262,0,0,0,0
2020-02-14,USA,,None,328239523,0,0,12,1
2020-02-14,China,,None,1397715000,2055,142,68413,1663
2020-02-14,Taiwan,,None,23593794,0,0,18,0
2020-02-15,China,,None,1397715000,2100,103,70513,1766
2020-02-15,USA,,None,328239523,0,0,12,1
2020-02-15,Taiwan,,None,23593794,2,1,20,1
2020-02-15,Canada,,None,37589262,0,0,0,0
2020-02-15,Australia,,None,25364307,0,0,15,0
2020-02-16,Australia,,None,25364307,0,0,15,0
2020-02-16,Taiwan,,None,23593794,2,0,22,1
2020-02-16,China,,None,1397715000,1921,98,72434,1864
2020-02-16,USA,,None,328239523,0,0,12,1
2020-02-16,Canada,,None,37589262,1,0,8,0
2020-02-17,Canada,,None,37589262,0,0,0,0
2020-02-17,Australia,,None,25364307,0,0,15,0
2020-02-17,China,,None,1397715000,1777,139,74211,2003
2020-02-17,Taiwan,,None,23593794,2,1,20,1
2020-02-17,USA,,None,328239523,0,1,12,2
2020-02-18,USA,,None,328239523,1,0,13,2
2020-02-18,Canada,,None,37589262,0,0,0,0
2020-02-18,Australia,,None,25364307,0,0,15,0
2020-02-18,China,,None,1397715000,408,113,74619,2116
2020-02-18,Taiwan,,None,23593794,2,0,22,1
2020-02-19,USA,,None,328239523,0,0,13,2
2020-02-19,China,,None,1397715000,458,122,75077,2238
2020-02-19,Australia,,None,25364307,0,0,15,0
2020-02-19,Taiwan,,None,23593794,1,0,23,1
2020-02-19,Canada,,None,37589262,0,0,0,0
2020-02-20,Canada,,None,37589262,0,0,0,0
2020-02-20,Taiwan,,None,23593794,1,0,24,1
2020-02-20,USA,,None,328239523,0,0,13,2
2020-02-20,Australia,,None,25364307,0,0,15,0
2020-02-20,China,,None,1397715000,473,0,75550,2238
2020-02-21,Taiwan,,None,23593794,2,0,26,1
2020-02-21,USA,,None,328239523,3,0,16,2
2020-02-21,China,,None,1397715000,1451,205,77001,2443
