Country,Province_State,Date,Cum_Cases,Cum_Deaths, Population
Russia,Altayskiy Kray,2020-06-01,1848,12,2317052
Russia,Amursk Oblast,2020-03-22,0,0,790676
Russia,Amursk Oblast,2020-03-23,0,0,790676
Russia,Amursk Oblast,2020-03-24,0,0,790676
Russia,Amursk Oblast,2020-03-25,0,0,790676
Russia,Amursk Oblast,2020-03-26,0,0,790676
Russia,Amursk Oblast,2020-03-27,0,0,790676
Russia,Amursk Oblast,2020-03-28,0,0,790676
Russia,Amursk Oblast,2020-03-29,1,0,790676
Russia,Amursk Oblast,2020-03-30,1,0,790676
Russia,Amursk Oblast,2020-03-31,1,0,790676
Russia,Amursk Oblast,2020-04-01,1,0,790676
Russia,Amursk Oblast,2020-04-02,1,0,790676
Russia,Amursk Oblast,2020-04-03,1,0,790676
Russia,Amursk Oblast,2020-04-04,4,0,790676
Russia,Amursk Oblast,2020-04-05,4,0,790676
Russia,Amursk Oblast,2020-04-06,4,0,790676
Russia,Amursk Oblast,2020-04-07,4,0,790676
Russia,Amursk Oblast,2020-04-08,4,0,790676
Russia,Amursk Oblast,2020-04-09,4,0,790676
Russia,Amursk Oblast,2020-04-10,4,0,790676
Russia,Amursk Oblast,2020-04-11,6,0,790676
Russia,Amursk Oblast,2020-04-12,17,0,790676
Russia,Amursk Oblast,2020-04-13,6,0,790676
Russia,Amursk Oblast,2020-04-14,6,0,790676
Russia,Amursk Oblast,2020-04-15,6,0,790676
Russia,Amursk Oblast,2020-04-16,9,0,790676
Russia,Amursk Oblast,2020-04-17,11,0,790676
Russia,Amursk Oblast,2020-04-18,14,0,790676
Russia,Amursk Oblast,2020-04-19,16,0,790676
Russia,Amursk Oblast,2020-04-20,20,0,790676
Russia,Amursk Oblast,2020-04-21,20,0,790676
Russia,Amursk Oblast,2020-04-22,23,0,790676
Russia,Amursk Oblast,2020-04-23,25,0,790676
Russia,Amursk Oblast,2020-04-24,28,0,790676
Russia,Amursk Oblast,2020-04-25,33,0,790676
Russia,Amursk Oblast,2020-04-26,36,0,790676
Russia,Amursk Oblast,2020-04-27,40,0,790676
Russia,Amursk Oblast,2020-04-28,41,0,790676
Russia,Amursk Oblast,2020-04-29,46,0,790676
Russia,Amursk Oblast,2020-04-30,56,1,790676
Russia,Amursk Oblast,2020-05-01,67,1,790676
Russia,Amursk Oblast,2020-05-02,72,1,790676
Russia,Amursk Oblast,2020-05-03,79,1,790676
Russia,Amursk Oblast,2020-05-04,84,1,790676
Russia,Amursk Oblast,2020-05-05,98,1,790676
Russia,Amursk Oblast,2020-05-06,106,1,790676
Russia,Amursk Oblast,2020-05-07,123,1,790676
Russia,Amursk Oblast,2020-05-08,123,1,790676
Russia,Amursk Oblast,2020-05-09,123,1,790676
Russia,Amursk Oblast,2020-05-10,123,1,790676
Russia,Amursk Oblast,2020-05-11,152,1,790676
Russia,Amursk Oblast,2020-05-12,169,1,790676
Russia,Amursk Oblast,2020-05-13,182,1,790676
Russia,Amursk Oblast,2020-05-14,194,1,790676
Russia,Amursk Oblast,2020-05-15,204,1,790676
Russia,Amursk Oblast,2020-05-16,204,1,790676
