Date,Cumulative Cases,Cumulative Deaths,Population,City
1/24/2020,1,0,8865000,Chicago
1/25/2020,1,0,8865000,Chicago
1/26/2020,1,0,8865000,Chicago
1/27/2020,1,0,8865000,Chicago
1/28/2020,1,0,8865000,Chicago
1/29/2020,1,0,8865000,Chicago
1/30/2020,2,0,8865000,Chicago
1/31/2020,2,0,8865000,Chicago
2/1/2020,2,0,8865000,Chicago
2/2/2020,2,0,8865000,Chicago
2/3/2020,2,0,8865000,Chicago
2/4/2020,2,0,8865000,Chicago
2/5/2020,2,0,8865000,Chicago
2/6/2020,2,0,8865000,Chicago
2/7/2020,2,0,8865000,Chicago
2/8/2020,2,0,8865000,Chicago
2/9/2020,2,0,8865000,Chicago
2/10/2020,2,0,8865000,Chicago
2/11/2020,2,0,8865000,Chicago
2/12/2020,2,0,8865000,Chicago
2/13/2020,2,0,8865000,Chicago
2/14/2020,2,0,8865000,Chicago
2/15/2020,2,0,8865000,Chicago
2/16/2020,2,0,8865000,Chicago
2/17/2020,2,0,8865000,Chicago
2/18/2020,2,0,8865000,Chicago
2/19/2020,2,0,8865000,Chicago
2/20/2020,2,0,8865000,Chicago
2/21/2020,2,0,8865000,Chicago
2/22/2020,2,0,8865000,Chicago
2/23/2020,2,0,8865000,Chicago
2/24/2020,2,0,8865000,Chicago
2/25/2020,2,0,8865000,Chicago
2/26/2020,2,0,8865000,Chicago
2/27/2020,2,0,8865000,Chicago
2/28/2020,2,0,8865000,Chicago
2/29/2020,3,0,8865000,Chicago
3/1/2020,3,0,8865000,Chicago
3/2/2020,4,0,8865000,Chicago
3/3/2020,4,0,8865000,Chicago
3/4/2020,4,0,8865000,Chicago
3/5/2020,5,0,8865000,Chicago
3/6/2020,6,0,8865000,Chicago
3/7/2020,6,0,8865000,Chicago
3/8/2020,7,0,8865000,Chicago
3/9/2020,11,0,8865000,Chicago
3/10/2020,19,0,8865000,Chicago
3/11/2020,25,0,8865000,Chicago
3/12/2020,32,0,8865000,Chicago
3/13/2020,46,0,8865000,Chicago
3/14/2020,60,0,8865000,Chicago
3/15/2020,85,0,8865000,Chicago
3/16/2020,93,0,8865000,Chicago
3/17/2020,147,1,8865000,Chicago
3/18/2020,262,1,8865000,Chicago
3/19/2020,396,3,8865000,Chicago
3/20/2020,552,4,8865000,Chicago
3/21/2020,713,5,8865000,Chicago
3/22/2020,1003,7,8865000,Chicago
3/23/2020,1176,10,8865000,Chicago
3/24/2020,1474,14,8865000,Chicago
3/25/2020,1801,17,8865000,Chicago
3/26/2020,2429,24,8865000,Chicago
3/27/2020,2902,34,8865000,Chicago
3/28/2020,3383,46,8865000,Chicago
3/29/2020,4378,64,8865000,Chicago
3/30/2020,4797,74,8865000,Chicago
3/31/2020,5679,97,8865000,Chicago
4/1/2020,6581,135,8865000,Chicago
4/2/2020,7218,150,8865000,Chicago
4/3/2020,8351,195,8865000,Chicago
4/4/2020,9700,227,8865000,Chicago
4/5/2020,10511,258,8865000,Chicago
4/6/2020,11388,285,8865000,Chicago
4/7/2020,12541,351,8865000,Chicago
4/8/2020,13905,426,8865000,Chicago
4/9/2020,15096,489,8865000,Chicago
4/10/2020,16424,555,8865000,Chicago
4/11/2020,17621,626,8865000,Chicago
4/12/2020,19163,668,8865000,Chicago
4/13/2020,20276,740,8865000,Chicago
4/14/2020,21425,807,8865000,Chicago
4/15/2020,22679,879,8865000,Chicago
4/16/2020,23699,989,8865000,Chicago
4/17/2020,25398,1043,8865000,Chicago
4/18/2020,26770,1165,8865000,Chicago
4/19/2020,27852,1188,8865000,Chicago
4/20/2020,28897,1240,8865000,Chicago
4/21/2020,30266,1348,8865000,Chicago
4/22/2020,32012,1437,8865000,Chicago
4/23/2020,33736,1549,8865000,Chicago
4/24/2020,36173,1646,8865000,Chicago
4/25/2020,38062,1712,8865000,Chicago
4/26/2020,39963,1767,8865000,Chicago
4/27/2020,41775,1806,8865000,Chicago
4/28/2020,43726,1941,8865000,Chicago
4/29/2020,45756,2019,8865000,Chicago
4/30/2020,48008,2148,8865000,Chicago
5/1/2020,50931,2241,8865000,Chicago
5/2/2020,53217,2341,8865000,Chicago
5/3/2020,55942,2391,8865000,Chicago
5/4/2020,58067,2422,8865000,Chicago
5/5/2020,60003,2572,8865000,Chicago
5/6/2020,62097,2701,8865000,Chicago
5/7/2020,64468,2834,8865000,Chicago
5/8/2020,67094,2948,8865000,Chicago
5/9/2020,69144,3040,8865000,Chicago
5/10/2020,70556,3094,8865000,Chicago
5/11/2020,71704,3143,8865000,Chicago
5/12/2020,75244,3266,8865000,Chicago
5/13/2020,76671,3442,8865000,Chicago
5/14/2020,79588,3568,8865000,Chicago
5/15/2020,81786,3682,8865000,Chicago
5/16/2020,83664,3747,8865000,Chicago
5/17/2020,85137,3789,8865000,Chicago
5/18/2020,87291,3843,8865000,Chicago
5/19/2020,88656,3966,8865000,Chicago
5/20/2020,90847,4103,8865000,Chicago
5/21/2020,92874,4169,8865000,Chicago
5/22/2020,95280,4267,8865000,Chicago
5/23/2020,97425,4333,8865000,Chicago
5/24/2020,99616,4392,8865000,Chicago
5/25/2020,101210,4412,8865000,Chicago
5/26/2020,102272,4449,8865000,Chicago
