Date,Cumulative Cases,Cumulative Deaths,Population,City
3/13/20,13,0,3880899,Detroit
3/14/20,19,0,3880899,Detroit
3/15/20,32,0,3880899,Detroit
3/16/20,33,0,3880899,Detroit
3/17/20,41,0,3880899,Detroit
3/18/20,56,1,3880899,Detroit
3/19/20,279,3,3880899,Detroit
3/20/20,486,4,3880899,Detroit
3/21/20,679,5,3880899,Detroit
3/22/20,894,7,3880899,Detroit
3/23/20,1142,14,3880899,Detroit
3/24/20,1526,20,3880899,Detroit
3/25/20,1946,38,3880899,Detroit
3/26/20,2431,54,3880899,Detroit
3/27/20,3038,77,3880899,Detroit
3/28/20,3868,94,3880899,Detroit
3/29/20,4494,110,3880899,Detroit
3/30/20,5314,169,3880899,Detroit
3/31/20,6208,233,3880899,Detroit
4/1/20,7468,296,3880899,Detroit
4/2/20,8628,372,3880899,Detroit
4/3/20,10196,424,3880899,Detroit
4/4/20,11385,472,3880899,Detroit
4/5/20,12595,541,3880899,Detroit
4/6/20,13809,631,3880899,Detroit
4/7/20,15195,728,3880899,Detroit
4/8/20,16259,821,3880899,Detroit
4/9/20,17123,915,3880899,Detroit
4/10/20,18023,1088,3880899,Detroit
4/11/20,18917,1177,3880899,Detroit
4/12/20,19333,1250,3880899,Detroit
4/13/20,20139,1347,3880899,Detroit
4/14/20,21193,1477,3880899,Detroit
4/15/20,21912,1606,3880899,Detroit
4/16/20,22772,1755,3880899,Detroit
4/17/20,23279,1859,3880899,Detroit
4/18/20,23743,1912,3880899,Detroit
4/19/20,24161,1981,3880899,Detroit
4/20/20,24515,2030,3880899,Detroit
4/21/20,25105,2229,3880899,Detroit
4/22/20,25652,2321,3880899,Detroit
4/23/20,26490,2456,3880899,Detroit
4/24/20,27233,2532,3880899,Detroit
4/25/20,27568,2689,3880899,Detroit
4/26/20,27879,2720,3880899,Detroit
4/27/20,28030,2780,3880899,Detroit
4/28/20,28524,2908,3880899,Detroit
4/29/20,29083,2992,3880899,Detroit
4/30/20,29509,3081,3880899,Detroit
5/1/20,30016,3121,3880899,Detroit
5/2/20,30247,3254,3880899,Detroit
5/3/20,30572,3278,3880899,Detroit
5/4/20,30549,3329,3880899,Detroit
5/5/20,30702,3364,3880899,Detroit
5/6/20,30976,3409,3880899,Detroit
5/7/20,31167,3479,3880899,Detroit
5/8/20,31451,3515,3880899,Detroit
5/9/20,31671,3620,3880899,Detroit
5/10/20,31853,3638,3880899,Detroit
5/11/20,32010,3653,3880899,Detroit
5/12/20,32155,3722,3880899,Detroit
5/13/20,32356,3747,3880899,Detroit
5/14/20,32954,3799,3880899,Detroit
5/15/20,33150,3817,3880899,Detroit
5/16/20,33343,3861,3880899,Detroit
5/17/20,33453,3865,3880899,Detroit
5/18/20,33535,3879,3880899,Detroit
5/19/20,33737,3956,3880899,Detroit
5/20/20,33941,3982,3880899,Detroit
5/21/20,34083,4030,3880899,Detroit
5/22/20,34178,4043,3880899,Detroit
5/23/20,34371,4093,3880899,Detroit
5/24/20,34485,4092,3880899,Detroit
5/25/20,34558,4097,3880899,Detroit
5/26/20,34694,4105,3880899,Detroit
